# BEAST v10.5.0-beta5 Prerelease #fb0d1ded5
# Generated Thu Jun 05 20:22:06 CEST 2025 [seed=1749147714102]
# -overwrite B32_RRW_pols.xml
state	joint	prior	likelihood	Current Tree	location.precision.col11	location.precision.col12	location.precision.col21	location.precision.col22	correlation	location.varCovar.location.precision.col11	location.varCovar.location.precision.col12	location.varCovar.location.precision.col21	location.varCovar.location.precision.col22	location.diffusionRate	location.traitLikelihood
0	-963430.6225167254	-1503.6593365182023	-961926.9631802073	995.0	0.05	0.002	0.002	0.05	-0.04	20.03205128205128	-0.8012820512820512	-0.8012820512820512	20.03205128205128	3176.428886208263	-961926.9631802073
10000	-4192.9444160941075	-951.8206374864144	-3241.1237786076936	185.0	5.27677742102072E-5	1.4606027820778539E-5	1.4606027820778539E-5	2.7861735198726344E-5	-0.38092866575100104	22167.631055593214	-11620.993222760582	-11620.993222760584	41983.621693820154	3714.3576189728647	-3241.1237786076936
20000	-4003.664242456546	-833.302377488925	-3170.361864967621	31.0	5.510249187382282E-5	1.4952422941864804E-5	1.4952422941864804E-5	2.905151612257273E-5	-0.37371587997570593	21094.07288265376	-10856.834389544712	-10856.834389544716	40009.47746403955	3616.68174412476	-3170.361864967621
30000	-3940.3966883714397	-777.6263434372269	-3162.770344934213	862.0	4.734964056357419E-5	1.2846094857180144E-5	1.2846094857180144E-5	2.5921197798277626E-5	-0.36667833297308006	24400.15908744028	-12092.294523070666	-12092.294523070665	44571.19503023483	3531.206850929811	-3162.770344934213
40000	-3828.13925045682	-762.2929108993163	-3065.8463395575036	891.0	6.536570604197709E-5	1.8512733634962393E-5	1.8512733634962393E-5	3.360576529898961E-5	-0.3949923451628665	18126.641660023994	-9985.598773390411	-9985.598773390413	35257.662479509374	3418.7874382320806	-3065.8463395575036
50000	-3823.172723493727	-792.3974481910038	-3030.7752753027235	810.0	5.66245412029593E-5	1.6137587510032236E-5	1.6137587510032236E-5	3.210358222501684E-5	-0.3784944491445147	20613.193037933648	-10361.685003850593	-10361.685003850595	36357.7058260954	3336.9476960832194	-3030.7752753027235
60000	-4018.5494625612096	-890.1758730445348	-3128.3735895166747	953.0	5.886506081206466E-5	1.797050753495128E-5	1.797050753495128E-5	3.0995452947711995E-5	-0.42070972464647977	20641.478988119747	-11967.492596875443	-11967.492596875443	39201.29568476968	3658.126134285161	-3128.3735895166747
70000	-3995.386876772167	-764.4158729575958	-3230.9710038145713	541.0	3.945241348149842E-5	1.0989308675185314E-5	1.0989308675185314E-5	2.5408324953436875E-5	-0.3470927695056186	28818.90269703169	-12464.411487108802	-12464.411487108804	44748.139335039894	3551.7794209237695	-3230.9710038145713
80000	-4019.8345812123534	-736.501508955918	-3283.3330722564356	743.0	5.231396615796983E-5	1.5537866200045322E-5	1.5537866200045322E-5	2.6103936197308672E-5	-0.4204647131093214	23220.524155848034	-13821.570613005308	-13821.570613005308	46535.423074800376	3582.6817863730753	-3283.3330722564356
90000	-3790.154959096236	-814.7942614758064	-2975.3606976204296	695.0	7.909004508448797E-5	2.0497857240053784E-5	2.0497857240053784E-5	3.843736889059451E-5	-0.3717669056672035	14671.585373899128	-7824.054329406364	-7824.054329406363	30188.755946990335	3298.0452151082	-2975.3606976204296
100000	-3899.233037408036	-789.100779403018	-3110.1322580050182	549.0	5.563021985089912E-5	1.8242104336528864E-5	1.8242104336528864E-5	2.8731851154982223E-5	-0.45628662989811103	22702.430187309965	-14413.97207356259	-14413.97207356259	43956.1368899387	3691.380065615853	-3110.1322580050182
110000	-3919.4602024935034	-736.3551412730161	-3183.105061220487	351.0	4.863347564955394E-5	1.2877378369051198E-5	1.2877378369051198E-5	2.2705348916570953E-5	-0.3875214196071971	24195.471552037685	-13722.504029251395	-13722.504029251395	51825.22765359075	3486.786473412159	-3183.105061220487
120000	-3941.8969315199597	-820.4777946628951	-3121.4191368570646	540.0	5.428265363757569E-5	1.7008517457370586E-5	1.7008517457370586E-5	2.9260349462546555E-5	-0.42677224812463266	22524.599022466646	-13093.146279208995	-13093.146279208997	41786.75338881003	3541.021296440246	-3121.4191368570646
130000	-3938.209281536479	-774.5486329006554	-3163.6606486358237	88.0	4.732787470182805E-5	1.1922825058594792E-5	1.1922825058594792E-5	2.2861184464207862E-5	-0.36246936454718537	24325.131276381428	-12686.319258292102	-12686.319258292102	50358.57905597761	3575.797592397867	-3163.6606486358237
140000	-4055.7527978695052	-741.1400860504671	-3314.612711819038	687.0	3.4749810440789865E-5	1.3462126355941385E-5	1.3462126355941385E-5	2.0199846325729693E-5	-0.5081166309687889	38792.74324029228	-25853.306147641728	-25853.30614764173	66735.18463164313	3819.561567750699	-3314.612711819038
150000	-4103.205463479938	-839.445301517762	-3263.760161962176	731.0	4.56633654414605E-5	9.228297288224053E-6	9.228297288224053E-6	1.9304574245550125E-5	-0.3108189612472333	24241.30793773537	-11588.237764755351	-11588.237764755351	57340.798562027165	3661.147392719682	-3263.760161962176
160000	-4029.5304208741936	-811.947296510933	-3217.5831243632606	348.0	4.48413779171816E-5	1.2208875583693286E-5	1.2208875583693286E-5	2.405747589371415E-5	-0.371715921729911	25876.2189262572	-13131.865489248128	-13131.86548924813	48231.382089556675	3671.1968937738943	-3217.5831243632606
170000	-4101.4375962411605	-885.0579888221062	-3216.3796074190545	455.0	4.802378204317893E-5	1.332781729915737E-5	1.332781729915737E-5	2.5088516334328145E-5	-0.38396652338529746	24423.82852658996	-12974.714009012207	-12974.714009012207	46751.45401946474	3747.445154931443	-3216.3796074190545
180000	-4105.408519160554	-926.5609856669236	-3178.8475334936297	219.0	5.540092097327866E-5	1.6481218389054433E-5	1.6481218389054433E-5	2.8723593089250437E-5	-0.4131535027657575	21765.525623203503	-12488.771165708577	-12488.771165708577	41980.47790351969	3665.403857699793	-3178.8475334936297
190000	-3912.3210016117214	-770.9331153403458	-3141.3878862713755	332.0	4.632797019992738E-5	9.693772273541945E-6	9.693772273541945E-6	2.703047918307127E-5	-0.27393296887744867	23336.377059463644	-8368.979453594933	-8368.979453594933	39996.58954112039	3670.243109740209	-3141.3878862713755
200000	-4012.741019228794	-732.2479142655676	-3280.4931049632264	370.0	3.86396268482675E-5	1.3844941859212772E-5	1.3844941859212772E-5	2.2531969058243977E-5	-0.46921847250089965	33186.76318391652	-20391.862139925903	-20391.8621399259	56911.32197162239	3692.7424597432955	-3280.4931049632264
210000	-3971.6968475093663	-783.3748314781617	-3188.3220160312044	160.0	4.7840478911026934E-5	1.7376732065110142E-5	1.7376732065110142E-5	2.887883864652782E-5	-0.4674987815686867	26748.91226520394	-16095.130664870847	-16095.130664870847	44312.058001344114	3662.575546493358	-3188.3220160312044
220000	-3802.430137358521	-777.733335048791	-3024.6968023097297	165.0	6.865669050646787E-5	2.233400249912924E-5	2.233400249912924E-5	4.0848679985170086E-5	-0.42173157165585134	17716.178419930766	-9686.31479032861	-9686.31479032861	29776.584682201134	3457.70175895682	-3024.6968023097297
230000	-3867.7329091926154	-778.0299157951175	-3089.7029933974977	626.0	6.400066637679493E-5	1.7555066623764272E-5	1.7555066623764272E-5	3.1538141397860816E-5	-0.39074388130306076	18440.31972548949	-10264.429893336708	-10264.429893336706	37421.12560610608	3482.191637601225	-3089.7029933974977
240000	-3976.5591734167715	-801.057997048134	-3175.5011763686375	774.0	5.148856065501303E-5	1.3657034033821314E-5	1.3657034033821314E-5	2.8077351477727357E-5	-0.3591889326205533	22298.693350494566	-10846.251443588759	-10846.25144358876	40891.59285608684	3540.6490441878896	-3175.5011763686375
250000	-3799.5065436559426	-689.706091206862	-3109.8004524490807	712.0	4.844185716653897E-5	1.5910504952428512E-5	1.5910504952428512E-5	2.8944477266874506E-5	-0.4249038980952587	25191.452951556417	-13847.503040012183	-13847.503040012183	42160.74639888136	3768.6457371550323	-3109.8004524490807
260000	-3887.942531997315	-763.4867805903222	-3124.455751406993	578.0	5.326227558098837E-5	1.6286444039135837E-5	1.6286444039135837E-5	2.6775675897417137E-5	-0.43126696394138403	23064.878948138616	-14029.33250676737	-14029.33250676737	45880.74428016212	3610.203251243265	-3124.455751406993
270000	-3960.243920551325	-837.2377124300909	-3123.006208121234	630.0	6.59513529823825E-5	2.016443003728357E-5	2.016443003728357E-5	3.0599137426383244E-5	-0.44886888742233794	18988.570673276176	-12513.218902672488	-12513.21890267249	40926.706843192726	3396.44034270366	-3123.006208121234
280000	-3798.5768175667836	-764.862608629869	-3033.7142089369145	146.0	6.425241155295809E-5	1.2286294022211054E-5	1.2286294022211054E-5	2.9942006996201614E-5	-0.28011459270156364	16888.78274592054	-6930.081557991348	-6930.081557991348	36241.5592166899	3395.766669289728	-3033.7142089369145
290000	-3860.431078332043	-816.4402708263575	-3043.9908075056856	200.0	7.118504497950293E-5	2.180996963544449E-5	2.180996963544449E-5	3.485821696064938E-5	-0.4378325997160602	17379.49898939288	-10873.94532158066	-10873.945321580659	35491.213411109326	3531.9462269733035	-3043.9908075056856
300000	-3778.519932179363	-686.0314357696898	-3092.488496409673	995.0	6.538250749838573E-5	2.1289659309860422E-5	2.1289659309860422E-5	3.062219416383574E-5	-0.4757948890553114	19770.205099782994	-13744.963173067506	-13744.963173067508	42212.049739654285	3472.3161037415616	-3092.488496409673
310000	-3938.7079301911	-720.5129942622306	-3218.194935928869	492.0	4.433294105676123E-5	1.3814007458345927E-5	1.3814007458345927E-5	2.1515210070567264E-5	-0.44728426357363477	28197.966285224305	-18104.72290517614	-18104.72290517614	58103.024471674595	3672.125046819129	-3218.194935928869
320000	-3992.0650756039886	-901.2990617460225	-3090.7660138579663	744.0	6.159189941098045E-5	2.0619839441117143E-5	2.0619839441117143E-5	3.371884269039275E-5	-0.4524672504737039	20415.496815221544	-12484.54077459926	-12484.540774599262	37291.58909201194	3648.164723784396	-3090.7660138579663
330000	-3961.7563208357287	-770.8432918930232	-3190.9130289427053	307.0	4.430639742100012E-5	1.4053664450905618E-5	1.4053664450905618E-5	2.8719114046195997E-5	-0.3939769751695472	26717.070476602486	-13073.966800835273	-13073.966800835273	41217.7458036179	3699.830311493964	-3190.9130289427053
