label,,host,date,country,location,county,latitude,longitude
A/avian/Veracruz/CENAPA-18079/2023|H5N1|Mexico|2023-10-22|avian|B3.6,CENAPA-18079,avian,10/22/2023,Mexico,Veracruz,,19.527222,-96.9225
A/avian/Guanajuato/CENAPA-18539/2023|H5N1|Mexico|2023-10-26|avian|B3.6,CENAPA-18539,avian,10/26/2023,Mexico,Guanajuato,,21.016667,-101.266667
A/chicken/Florida/24-004150-001-original/2024|H5N1|USA-FL|2024-02-05|avian|B3.6,24-004150-001-original,chicken,2/5/2024,USA-FL,Florida,Miami-Dade,25.61058,-80.497099
A/chicken/Florida/24-004649-001-original/2024|H5N1|USA-FL|2024-02-07|avian|B3.6,24-004649-001-original,chicken,2/7/2024,USA-FL,Florida,Miami-Dade,25.61058,-80.497099
A/chicken/Florida/24-010928-001-original/2024|H5N1|USA-FL|2024-04-10|avian|B3.6,24-010928-001-original,chicken,4/10/2024,USA-FL,Florida,Miami-Dade,25.61058,-80.497099
A/chicken/Florida/24-010928-002-original/2024|H5N1|USA-FL|2024-04-10|avian|B3.6,24-010928-002-original,chicken,4/10/2024,USA-FL,Florida,Miami-Dade,25.61058,-80.497099
A/chicken/Florida/24-020698-001-original/2024|H5N1|USA-FL|2024-07-16|avian|B3.6,24-020698-001-original,chicken,7/16/2024,USA-FL,Florida,Miami-Dade,25.61058,-80.497099
A/chicken/Florida/24-020699-001-original/2024|H5N1|USA-FL|2024-07-16|avian|B3.6,24-020699-001-original,chicken,7/16/2024,USA-FL,Florida,Miami-Dade,25.61058,-80.497099
A/chicken/Florida/24-020700-001-original/2024|H5N1|USA-FL|2024-07-16|avian|B3.6,24-020700-001-original,chicken,7/16/2024,USA-FL,Florida,Miami-Dade,25.61058,-80.497099
A/chicken/Florida/24-022130-001-original/2024|H5N1|USA-FL|2024-07-31|avian|B3.6,24-022130-001-original,chicken,7/31/2024,USA-FL,Florida,Miami-Dade,25.61058,-80.497099
