trait	country	admin1	admin2	latitude	longitude
A/avian/Veracruz/CENAPA-18079/2023|H5N1|Mexico|2023-10-22|avian|B3.6	Mexico	Veracruz	NA	17.2312231408543	-94.009777943113
A/avian/Guanajuato/CENAPA-18539/2023|H5N1|Mexico|2023-10-26|avian|B3.6	Mexico	Guanajuato	NA	20.3388513527709	-101.49015099361
A/chicken/Florida/24-004150-001-original/2024|H5N1|USA-FL|2024-02-05|avian|B3.6	USA-FL	Florida	Miami-Dade	25.8090617634159	-80.1269426605912
A/chicken/Florida/24-004649-001-original/2024|H5N1|USA-FL|2024-02-07|avian|B3.6	USA-FL	Florida	Miami-Dade	25.5877950617312	-80.3110482865565
A/chicken/Florida/24-010928-001-original/2024|H5N1|USA-FL|2024-04-10|avian|B3.6	USA-FL	Florida	Miami-Dade	25.69323266208	-80.2994757510444
A/chicken/Florida/24-010928-002-original/2024|H5N1|USA-FL|2024-04-10|avian|B3.6	USA-FL	Florida	Miami-Dade	25.9259447721001	-80.5084494836053
A/chicken/Florida/24-020698-001-original/2024|H5N1|USA-FL|2024-07-16|avian|B3.6	USA-FL	Florida	Miami-Dade	25.7045014494103	-80.6381442653302
A/chicken/Florida/24-020699-001-original/2024|H5N1|USA-FL|2024-07-16|avian|B3.6	USA-FL	Florida	Miami-Dade	25.7737295786739	-80.4674949742565
A/chicken/Florida/24-020700-001-original/2024|H5N1|USA-FL|2024-07-16|avian|B3.6	USA-FL	Florida	Miami-Dade	25.7456064616127	-80.4604029580951
A/chicken/Florida/24-022130-001-original/2024|H5N1|USA-FL|2024-07-31|avian|B3.6	USA-FL	Florida	Miami-Dade	25.895376265599	-80.1676661361608
A/chicken/Florida/24-022130-002-original/2024|H5N1|USA-FL|2024-07-31|avian|B3.6	USA-FL	Florida	Miami-Dade	25.7305114077872	-80.8706343622074
A/chicken/Florida/24-022130-003-original/2024|H5N1|USA-FL|2024-07-31|avian|B3.6	USA-FL	Florida	Miami-Dade	25.8533385662419	-80.4673224676671
A/chicken/Florida/23-036761-002/2023|H5N1|USA-FL|2023-11-17|avian|B3.6	USA-FL	Florida	Broward	25.9889215261142	-80.817967108106
A/chicken/Florida/24-021103-001-original/2024|H5N1|USA-FL|2024-07-22|avian|B3.6	USA-FL	Florida	Hendry	26.329855223096	-81.2532814700295
A/chicken/Florida/24-021103-002-original/2024|H5N1|USA-FL|2024-07-22|avian|B3.6	USA-FL	Florida	Hendry	26.6428054742827	-80.9599897422079
A/chicken/Florida/24-002738-001-original/2024|H5N1|USA-FL|2024-01-23|avian|B3.6	USA-FL	Florida	Desoto	27.250698768542	-81.943304115258
A/chicken/Florida/24-002738-002-original/2024|H5N1|USA-FL|2024-01-23|avian|B3.6	USA-FL	Florida	Desoto	27.277760288033	-81.8809310755566
A/domestic_goose/Florida/23-035656-001/2023|H5N1|USA-FL|2023-11-14|avian|B3.6	USA-FL	Florida	Saint Lucie	27.4000906038208	-80.5827582431451
A/blue-winged_teal/Florida/23-038112-008-original/2023|H5N1|USA-FL|2023-11-18|avian|B3.6	USA-FL	Florida	Brevard	28.0394507797072	-80.7378147125809
A/blue-winged_teal/Florida/23-038112-025-original/2023|H5N1|USA-FL|2023-11-18|avian|B3.6	USA-FL	Florida	Brevard	28.4158447248847	-80.7788666652657
A/blue-winged_teal/Florida/23-038112-033-original/2023|H5N1|USA-FL|2023-11-18|avian|B3.6	USA-FL	Florida	Brevard	28.7796891699007	-80.9354529816311
A/blue-winged_teal/Florida/23-038112-061-original/2023|H5N1|USA-FL|2023-11-18|avian|B3.6	USA-FL	Florida	Brevard	27.8553867962318	-80.7724037864763
A/ring-necked_duck/Florida/23-038112-067-original/2023|H5N1|USA-FL|2023-11-18|avian|B3.6	USA-FL	Florida	Brevard	28.6002036117438	-80.9342898705488
A/ring-necked_duck/Florida/23-038112-112-original/2023|H5N1|USA-FL|2023-11-18|avian|B3.6	USA-FL	Florida	Brevard	28.0896665397931	-80.790325050524
A/blue-winged_teal/Florida/23-038109-006-original/2023|H5N1|USA-FL|2023-11-25|avian|B3.6	USA-FL	Florida	Brevard	28.24050606224	-80.6807268380992
A/green-winged_teal/Florida/23-038109-005-original/2023|H5N1|USA-FL|2023-11-25|avian|B3.6	USA-FL	Florida	Brevard	28.1389348861865	-80.6379851139765
A/ring-necked_duck/Florida/23-038109-032-original/2023|H5N1|USA-FL|2023-11-25|avian|B3.6	USA-FL	Florida	Brevard	28.4063650634348	-80.8387274662305
A/chicken/Florida/24-027090-001/2024|H5N1|USA-FL|2024-09-16|avian|B3.6	USA-FL	Florida	Orange	28.6014228176205	-81.6311870546703
A/duck/Florida/24-027844-002-R2/2024|H5N1|USA-FL|2024-09-19|avian|B3.6	USA-FL	Florida	Orange	28.4499821489524	-80.9583070168039
A/pigeon/Florida/24-027845-002/2024|H5N1|USA-FL|2024-09-19|avian|B3.6	USA-FL	Florida	Orange	28.5362008809765	-81.4366655392682
A/peregrine_falcon/Texas/23-032452-001/2023|H5N1|USA-TX|2023-10-17|avian|B3.6	USA-TX	Texas	Bexar	29.454223975317	-98.1649100165711
A/chicken/Sonora/CENAPA-18486/2023|H5N1|Mexico|2023-10-25|avian|B3.6	Mexico	Sonora	NA	26.5930118726762	-109.257593111274
A/greater_white-fronted_goose/Louisiana/W23-857A/2023|H5N1|USA-LA|2023-10-27|avian|B3.6	USA-LA	Louisiana	Cameron	29.8004035046809	-92.7963810752438
A/greater_white-fronted_goose/Louisiana/W23-857B/2023|H5N1|USA-LA|2023-10-27|avian|B3.6	USA-LA	Louisiana	Cameron	30.013075069735	-92.719171353444
A/blue-winged_teal/Louisiana/23-028760-020/2023|H5N1|USA-LA|2023-09-20|avian|B3.6	USA-LA	Louisiana	Jefferson Davis	30.2606518705969	-92.9602893124565
A/chicken/Florida/23-035663-001/2023|H5N1|USA-FL|2023-11-15|avian|B3.6	USA-FL	Florida	Duval	30.3168719305995	-81.6800242235829
A/Canada_goose/Louisiana/W23-902/2023|H5N1|USA-LA|2023-11-21|avian|B3.6	USA-LA	Louisiana	Livingston	30.5279325455097	-90.6715203289904
A/chicken/Texas/23-036713-001/2023|H5N1|USA-TX|2023-11-20|avian|B3.6	USA-TX	Texas	Grimes	30.8211236849762	-95.9209389632782
A/snow_goose/Mississippi/23-038132-001/2023|H5N1|USA-MS|2023-11-29|avian|B3.6	USA-MS	Mississippi	Smith	32.2200490545939	-89.6003866930496
A/mallard/Georgia/23-036743-002-original/2023|H5N1|USA-GA|2023-11-19|avian|B3.6	USA-GA	Georgia	Sumter	32.0497087586855	-84.0624357318176
A/king_vulture/Arizona/23-033233-001/2023|H5N1|Arizona|2023-10-24|avian|B3.6	USA	Arizona	Pima	31.8635801796986	-112.442598702544
A/domestic_goose/Texas/23-034913-001/2023|H5N1|USA-TX|2023-11-06|avian|B3.6	USA-TX	Texas	Ellis	32.3954398405881	-96.5237330417884
A/snow_goose/Mississippi/23-038133-001-original/2023|H5N1|USA-MS|2023-11-28|avian|B3.6	USA-MS	Mississippi	Madison	32.5353443633294	-90.1334337453898
A/green-winged_teal/South_Carolina/23-037736-010-original/2023|H5N1|USA-SC|2023-11-25|avian|B3.6	USA-SC	South_Carolina	Colleton	32.9884779181964	-80.9510849744346
A/green-winged_teal/South_Carolina/23-037736-011-original/2023|H5N1|USA-SC|2023-11-25|avian|B3.6	USA-SC	South_Carolina	Colleton	32.8630871928604	-80.5983268330004
A/canada_goose/New_Mexico/24_005749-001/2024|H5N1|USA-NM|2024-02-15|avian|B3.6	USA-NM	New_Mexico	Chaves	33.7821949814763	-104.150223090284
