# BEAST v10.5.0-beta5 Prerelease #fb0d1ded5
# Generated Tue Jul 08 11:47:57 CEST 2025 [seed=1751968056805]
# A1_RRW_pols.xml
state	joint	prior	likelihood	Current Tree	location.precision.col11	location.precision.col12	location.precision.col21	location.precision.col22	correlation	location.varCovar.location.precision.col11	location.varCovar.location.precision.col12	location.varCovar.location.precision.col21	location.varCovar.location.precision.col22	location.diffusionRate	location.traitLikelihood
0	-920371.2654056544	-1648.3910669039694	-918722.8743387505	217.0	0.05	0.002	0.002	0.05	-0.04	20.03205128205128	-0.8012820512820512	-0.8012820512820512	20.03205128205128	4949.30042312638	-918722.8743387505
10000	-3707.2030327904395	-1129.7863388208846	-2577.4166939695547	799.0	2.2597347140378824E-4	3.193962822560665E-5	3.193962822560665E-5	9.83026501893833E-5	-0.2142981958881373	4638.306490092006	-1507.0375478641665	-1507.0375478641665	10662.319042076142	5033.190791048051	-2577.4166939695547
20000	-4081.036994694825	-1030.7414528588085	-3050.2955418360166	757.0	2.887920619756401E-4	3.139902033433524E-5	3.139902033433524E-5	9.465346142472638E-5	-0.1899132307861037	3592.261268386289	-1191.6466964285878	-1191.6466964285878	10960.1542641683	5035.079911374112	-3050.2955418360166
30000	-3647.013105537893	-1025.5761526575388	-2621.436952880354	25.0	1.8033011205957858E-4	9.628586860145261E-6	9.628586860145261E-6	7.638881349420908E-5	-0.08203771285097018	5582.959923616856	-703.715794267835	-703.715794267835	13179.623332234192	4923.099627304202	-2621.436952880354
40000	-3578.3188342334197	-979.5722224428374	-2598.7466117905824	296.0	1.864970371878382E-4	1.3964339869615358E-5	1.3964339869615358E-5	8.156371969636574E-5	-0.11322333168974046	5431.646595572416	-929.9399217516567	-929.9399217516567	12419.565965072085	4994.547386490868	-2598.7466117905824
50000	-3476.29492789471	-970.0857219300584	-2506.2092059646516	827.0	2.4123475081597884E-4	3.534470951591175E-5	3.534470951591175E-5	9.092644152932236E-5	-0.23864887109350694	4395.688645581831	-1708.6816077628948	-1708.6816077628948	11662.095615383787	4782.972868003942	-2506.2092059646516
60000	-3638.584098705663	-1036.6626452995392	-2601.921453406124	528.0	2.3020095526262043E-4	2.315687045753873E-5	2.315687045753873E-5	7.717767231422192E-5	-0.17373225926432648	4479.226668124991	-1343.9751238080466	-1343.9751238080464	13360.369999785124	4757.6081723945335	-2601.921453406124
70000	-3749.459335571986	-1029.4694407040624	-2719.9898948679233	688.0	1.5575316267015004E-4	5.966315107741088E-6	5.966315107741088E-6	7.242521529369098E-5	-0.05617497039303626	6440.739947797688	-530.58156471817	-530.58156471817	13851.054673949357	5233.8247469848175	-2719.9898948679233
80000	-3514.0297400571453	-1044.001418279073	-2470.028321778072	469.0	2.4925084721096313E-4	3.5859454668713944E-5	3.5859454668713944E-5	1.2410822183286037E-4	-0.2038849093992074	4186.031865506334	-1209.4994006526958	-1209.4994006526956	8406.95300859823	4784.146830295507	-2470.028321778072
90000	-3654.166658938521	-1074.0153449452691	-2580.1513139932517	726.0	2.537905994365384E-4	3.7968973284023864E-5	3.7968973284023864E-5	8.842022640059061E-5	-0.25346341182132537	4210.771834526962	-1808.1686713392812	-1808.1686713392812	12086.084275938383	4757.475211453426	-2580.1513139932517
100000	-3595.9562844560874	-945.6509964752872	-2650.3052879808	301.0	1.6751345598813722E-4	7.788700744308243E-6	7.788700744308243E-6	6.98709891329115E-5	-0.07199324060510348	6000.771845401751	-668.9216328367298	-668.9216328367299	14386.658080758052	5033.53991002507	-2650.3052879808
110000	-3748.5503729361008	-969.7914546966886	-2778.758918239412	481.0	1.694577968691291E-4	9.361125203284944E-6	9.361125203284944E-6	4.961070736781162E-5	-0.10209619723503564	5963.333931958789	-1125.2311956003896	-1125.2311956003894	20369.260664086214	5232.116183898611	-2778.758918239412
120000	-3687.853135032862	-1104.1868233809057	-2583.6663116519567	347.0	2.4309660369703368E-4	8.9355042354647E-6	8.9355042354647E-6	8.441755290915885E-5	-0.062375385107067735	4129.658209877268	-437.1197358100199	-437.11973581001996	11892.14624985673	5148.972380633724	-2583.6663116519567
130000	-3866.9567787705423	-1090.3405425826586	-2776.6162361878837	379.0	3.059696869010617E-4	2.296329379884244E-5	2.296329379884244E-5	1.1020920763078777E-4	-0.12505067528680558	3320.218101273745	-691.8037555555813	-691.8037555555812	9217.796903987266	4582.684002488472	-2776.6162361878837
140000	-3620.312968005085	-969.1414458512144	-2651.1715221538707	142.0	2.011114033894365E-4	1.2680513674836908E-5	1.2680513674836908E-5	6.326232303175559E-5	-0.11242060825279339	5036.0156094081685	-1009.4359761296964	-1009.4359761296965	16009.531711170213	4773.005295431111	-2651.1715221538707
150000	-3451.3811947962936	-937.3068877215045	-2514.074307074789	621.0	2.414702881157293E-4	1.3913345232010321E-5	1.3913345232010321E-5	7.132900699787179E-5	-0.10601483023601568	4188.369949499873	-816.9781063755461	-816.9781063755462	14178.900576467759	4737.275387590832	-2514.074307074789
160000	-3479.16478352017	-971.0956348723284	-2508.0691486478418	895.0	2.7495730359752276E-4	3.871588902241706E-5	3.871588902241706E-5	1.0740382535765302E-4	-0.22529249847807836	3831.397432439328	-1381.1049774171292	-1381.1049774171295	9808.502662972653	4586.176689688298	-2508.0691486478418
170000	-3720.993055723023	-946.9921190503509	-2774.000936672672	175.0	1.5049232589112738E-4	3.4147642247217577E-7	3.4147642247217577E-7	3.975181278521193E-5	-0.004414942751367839	6644.986620931684	-57.08183098345024	-57.08183098345024	25156.575814611646	5526.5183558938	-2774.000936672672
180000	-3774.9730440038225	-995.5785187745382	-2779.394525229284	241.0	2.0033484424962538E-4	2.014923128551792E-5	2.014923128551792E-5	8.889437222876825E-5	-0.15098823277238121	5108.094393748284	-1157.8255494399339	-1157.8255494399339	11511.74443473683	5189.120464324396	-2779.394525229284
190000	-3518.7966233081715	-974.1963357207273	-2544.600287587444	637.0	2.0755201642385276E-4	1.7893074588722985E-5	1.7893074588722985E-5	9.765127574574897E-5	-0.12568473480301004	4895.400244110654	-897.0058101195657	-897.0058101195656	10404.883951669406	4469.371170659147	-2544.600287587444
200000	-3532.3286794793767	-946.9745245770811	-2585.3541549022957	971.0	2.0217623146459257E-4	1.3622621448373726E-5	1.3622621448373726E-5	7.030163681009576E-5	-0.11426492042666475	5011.61383493559	-971.1198944511041	-971.1198944511041	14412.597553597583	5148.707920834218	-2585.3541549022957
210000	-3606.108187749861	-962.5696785387739	-2643.538509211087	71.0	2.2234045102138817E-4	9.091510749190391E-6	9.091510749190391E-6	7.750567754559264E-5	-0.0692564229582579	4519.283667622133	-530.1175003425748	-530.1175003425748	12964.464033768549	5115.310121458369	-2643.538509211087
220000	-3482.0810738172595	-919.1635057233381	-2562.9175680939215	616.0	2.1261065511711164E-4	1.564209225042398E-5	1.564209225042398E-5	8.015522698491778E-5	-0.1198219562836113	4771.945391714931	-931.2332188297042	-931.2332188297042	12657.520589474432	4726.1350332233915	-2562.9175680939215
230000	-3546.008816815113	-958.6115857284491	-2587.397231086664	838.0	1.7571503450766678E-4	-4.505121360742697E-6	-4.505121360742697E-6	9.285465923180475E-5	0.03526957150095961	5698.120794272826	276.4613635841966	276.4613635841966	10782.93216816367	4639.228173259859	-2587.397231086664
240000	-3576.266716296424	-1023.4184320832951	-2552.848284213129	124.0	2.0609151640901542E-4	2.8654353638852523E-5	2.8654353638852523E-5	9.075155796955129E-5	-0.2095238734826909	5075.007427755611	-1602.4083862395385	-1602.4083862395382	11525.047062267446	4758.635702624843	-2552.848284213129
250000	-3698.6937798256595	-942.172127066465	-2756.5216527591942	950.0	1.2130292995434979E-4	-2.3483600497344153E-6	-2.3483600497344153E-6	5.7366061151661296E-5	0.028151498829458624	8250.362425938787	337.7401398656682	337.74013986566825	17445.735603248224	5162.418388474355	-2756.5216527591942
260000	-3862.604144695412	-920.559767951405	-2942.044376744007	766.0	1.290065110981592E-4	1.5352260975280362E-5	1.5352260975280362E-5	7.88731890590217E-5	-0.15219550601221288	7935.357159576006	-1544.5764967701105	-1544.5764967701102	12979.223405162978	4967.637564330523	-2942.044376744007
270000	-3484.4337070098354	-917.5410877686347	-2566.8926192412005	898.0	2.0389468583619581E-4	8.73805162735913E-6	8.73805162735913E-6	8.391988934628997E-5	-0.06680042132495924	4926.476104611415	-512.9630517672834	-512.9630517672836	11969.537918291806	5016.3707280813105	-2566.8926192412005
280000	-3674.333255434295	-1006.269299000393	-2668.063956433902	717.0	1.7056172082316327E-4	1.925350849314208E-5	1.925350849314208E-5	7.510288984611503E-5	-0.17011428032400724	6037.704584764198	-1547.8365311911318	-1547.8365311911318	13711.872950685854	4887.332865551712	-2668.063956433902
