time	diffusion_coefficient	number_of_branches
2022.38432100886	247088.797380013	4.29
2022.38957254963	343763.914135261	6.65
2022.39482409039	486975.208453626	8.048
2022.40007563116	561184.662266256	9.036
2022.40532717193	573972.212680591	10.882
2022.41057871269	880690.190504409	12.048
2022.41583025346	848129.649021098	12.855
2022.42108179422	809769.979607656	13.765
2022.42633333499	738934.057246587	14.483
2022.43158487576	643434.318209042	15.459
2022.43683641652	613208.698401648	14.403
2022.44208795729	632651.948242927	13.113
2022.44733949805	593981.399341941	12.974
2022.45259103882	405971.591259765	11.024
2022.45784257959	379104.594565038	13.125
2022.46309412035	480063.758332274	13.923
2022.46834566112	466190.61300591	13.325
2022.47359720188	450521.037735635	12.632
2022.47884874265	427634.601383345	12.058
2022.48410028342	384722.42205668	11.636
2022.48935182418	312793.43744774	11.447
2022.49460336495	208297.938335892	11.395
2022.49985490571	447430.936674019	4.232
2022.50510644648	116765.614415756	0.887
2022.51035798724	121368.174856596	1.041
2022.51560952801	126868.303384833	1.21
2022.52086106878	137554.305472083	1.398
2022.52611260954	141234.592492535	1.605
2022.53136415031	148201.065935257	1.83
2022.53661569107	165490.601685023	1.99
2022.54186723184	160784.097281659	2.227
2022.54711877261	160545.155486514	2.438
2022.55237031337	166599.660711922	2.626
2022.55762185414	167043.741786747	2.845
2022.5628733949	170354.486251043	3.069
2022.56812493567	176612.71240786	3.253
2022.57337647644	185596.914349041	3.498
2022.5786280172	192646.758333058	3.656
2022.58387955797	205559.716341065	3.748
2022.58913109873	205018.841117908	3.904
2022.5943826395	209952.350937773	4.143
2022.59963418026	220740.032770396	4.322
2022.60488572103	236680.728891348	4.442
2022.6101372618	251678.215077165	4.596
2022.61538880256	268001.16914837	4.725
2022.62064034333	300751.675753327	4.859
2022.62589188409	340171.725550987	5.222
2022.63114342486	394219.716171845	5.674
2022.63639496563	489486.741208959	6.602
2022.64164650639	666962.29145698	7.376
2022.64689804716	739283.160656994	8.367
2022.65214958792	876967.80381275	8.411
2022.65740112869	1001567.28937774	8.347
2022.66265266946	1092512.01738782	8.331
2022.66790421022	1058928.86616693	8.684
2022.67315575099	964379.893798254	8.293
2022.67840729175	586189.432742102	7.592
2022.68365883252	260302.344212348	5.898
2022.68891037329	291389.328266117	4.543
2022.69416191405	255974.433502556	4.005
2022.69941345482	218566.368347296	4.485
2022.70466499558	171304.951414463	3.959
2022.70991653635	3861601.8135955	3.382
2022.71516807711	3654962.3417267	3.01
2022.72041961788	2406029.61249132	3.547
2022.72567115865	2047723.70633153	3.362
2022.73092269941	1625191.61092905	3.314
2022.73617424018	1265862.02020314	3.321
2022.74142578094	783258.671754609	3.578
2022.74667732171	334379.009057378	3.866
2022.75192886248	139722.336148375	3.398
2022.75718040324	172873.387241112	4.211
2022.76243194401	596440.193248058	3.925
2022.76768348477	641220.18619761	3.96
2022.77293502554	626162.34424953	3.939
2022.77818656631	827012.160477604	2.901
2022.78343810707	617848.482971834	3.811
2022.78868964784	609232.489491496	3.693
2022.7939411886	591531.683388463	3.502
2022.79919272937	516650.594181524	3.22
2022.80444427014	11368.3123375543	1
2022.8096958109	8250.0136956428	1
2022.81494735167	5129.65981174595	1
2022.82019889243	2007.25545510299	1
2022.8254504332	NA	0
2022.83070197396	NA	0
2022.83595351473	NA	0
2022.8412050555	NA	0
2022.84645659626	NA	0
2022.85170813703	NA	0
2022.85695967779	NA	0
2022.86221121856	NA	0
2022.86746275933	NA	0
2022.87271430009	NA	0
2022.87796584086	NA	0
2022.88321738162	NA	0
2022.88846892239	102772.288347238	0.101
2022.89372046316	89069.2883458206	0.101
2022.89897200392	75347.5209586043	0.101
2022.90422354469	61607.0404076208	0.101
