time	95%HPD_lower_value	95%HPD_higher_value
2021.76827683566	5688.21992844323	200670.807569441
2021.77444049088	83.8000294744791	252315.603046056
2021.7806041461	1505.61302423214	303927.999303755
2021.78676780132	693.433694926949	341676.063564442
2021.79293145655	4346.88941725103	590290.244496825
2021.79909511177	5766.35043268741	577972.859693236
2021.80525876699	4287.62553776549	1100921.77181195
2021.81142242221	169.640849141534	1687219.01899644
2021.81758607743	67.4262470935178	1464987.44289772
2021.82374973265	654.896390100664	1778252.85342198
2021.82991338787	57.7257286852364	2204233.67482495
2021.83607704309	497.683434140228	2142958.16044057
2021.84224069832	450.323627606026	2188357.67212443
2021.84840435354	134.963108693197	2361136.68452112
2021.85456800876	323.917248020696	2530430.47103463
2021.86073166398	718.777223308888	2577032.63022494
2021.8668953192	114328.441114358	1786845.70949034
2021.87305897442	201793.757332493	1038433.8269136
2021.87922262964	203394.393904469	1019621.51718043
2021.88538628487	216785.59196853	1013727.99215255
2021.89154994009	231534.193822089	1011770.93211222
2021.89771359531	200165.47417269	964255.891405172
2021.90387725053	198637.159560449	913383.921430221
2021.91004090575	127005.459331596	766230.401635966
2021.91620456097	78031.8718157976	750609.142991339
2021.92236821619	72761.7677734258	665903.427235689
2021.92853187141	81434.7586205283	648172.429970962
2021.93469552664	93188.9461899764	635182.704672703
2021.94085918186	98156.0199414307	614634.43256347
2021.94702283708	101840.366052657	598239.681850124
2021.9531864923	103219.407874789	557941.115672377
2021.95935014752	108942.244268346	535164.376332324
2021.96551380274	116721.609105137	525389.680054666
2021.97167745796	113068.230322223	527352.25851413
2021.97784111318	126652.375539729	610076.974537928
2021.98400476841	126412.501225012	604531.777422299
2021.99016842363	137452.865815232	588279.645395466
2021.99633207885	174929.338124906	589714.767656913
2022.00249573407	170710.983017879	1246582.25215613
2022.00865938929	193117.310641413	1246693.28236476
2022.01482304451	206618.555275466	1225847.62004196
2022.02098669973	203921.43346205	1063987.01052934
2022.02715035496	196965.960056031	984382.783110061
2022.03331401018	227417.360172115	922677.605232307
2022.0394776654	195803.117562582	796212.486511422
2022.04564132062	278505.677985017	1824307.11999971
2022.05180497584	305305.258472563	1779887.32766679
2022.05796863106	269976.413236089	1684106.67393809
2022.06413228628	285916.769691603	1970124.74981015
2022.0702959415	261847.545904276	1971762.26315089
2022.07645959673	233438.702769829	1960601.16950726
2022.08262325195	194125.759596306	2054890.98602113
2022.08878690717	175321.312484976	839388.614718411
2022.09495056239	203096.182353899	906069.596005297
2022.10111421761	195583.882124455	873413.083082957
2022.10727787283	195213.981004603	764804.728019326
2022.11344152805	201547.962976165	795826.83945134
2022.11960518327	206821.041646601	759696.38758484
2022.1257688385	209646.843506673	720843.085413212
2022.13193249372	190747.027652386	676469.924305554
2022.13809614894	203893.553636328	599802.49908912
2022.14425980416	161733.508334676	828420.658724578
2022.15042345938	191794.69930537	886918.68393758
2022.1565871146	374694.932176094	1800249.08337634
2022.16275076982	360986.274333601	2177494.04751832
2022.16891442505	392796.522841165	2392832.88026562
2022.17507808027	376848.162430354	2502072.79384329
2022.18124173549	357309.48090997	2656645.05348292
2022.18740539071	347298.00975726	2573542.24133668
2022.19356904593	272812.655672838	2746083.92179679
2022.19973270115	154377.768192768	918607.589630077
2022.20589635637	165122.926829796	914025.281575269
2022.21206001159	153575.599867834	971859.302264325
2022.21822366682	198466.432231134	1095174.91991179
2022.22438732204	210373.973815986	1562824.57741669
2022.23055097726	244825.188707657	1991743.05750843
2022.23671463248	267520.192698557	2285599.1817015
2022.2428782877	311889.200247532	2364417.96510487
2022.24904194292	274231.046769994	2205472.00761151
2022.25520559814	238356.07310139	2145320.02326464
2022.26136925336	222035.32833742	2146117.54370153
2022.26753290859	168149.027725647	1152400.40492209
2022.27369656381	143593.596608157	1027894.52161519
2022.27986021903	174035.635410197	1160165.2303514
2022.28602387425	168978.561872034	1267162.57145918
2022.29218752947	129958.725009747	1192147.37184011
2022.29835118469	141291.989750764	1682149.14056797
2022.30451483991	132782.824720611	1462437.64648008
2022.31067849514	125265.830555468	1460429.40164725
2022.31684215036	126032.926437717	1054450.32059103
2022.32300580558	112179.774011477	1054550.08836101
2022.3291694608	122217.296312711	1132039.99559345
2022.33533311602	100381.386894004	990014.957574878
2022.34149677124	94020.622926808	909664.384701064
2022.34766042646	88159.8986767998	933056.728354855
2022.35382408168	86006.0268634851	1292288.2868767
2022.35998773691	91759.2716677675	1597612.16750883
2022.36615139213	79778.7290881493	1809664.9230008
2022.37231504735	55739.7919413506	1599438.84950055
2022.37847870257	36550.1135236839	1483890.82277961
