time	95%HPD_lower_value	95%HPD_higher_value
2021.76827683566	8919.36704301727	400730.372550837
2021.77444049088	115.366290817333	503901.298045679
2021.7806041461	2072.82685218732	607022.170134989
2021.78676780132	1156.16828140174	346779.673434258
2021.79293145655	5984.91683328816	970147.49044695
2021.79909511177	7939.54334040646	1749022.61488254
2021.80525876699	7555.04627065745	1977486.52640108
2021.81142242221	303.674305805294	2227912.82367342
2021.81758607743	93.6817579208896	2459250.37536297
2021.82374973265	909.910590863771	2871669.0379672
2021.82991338787	105.64440995356	3530380.48239832
2021.83607704309	910.843389041123	4373862.60588206
2021.84224069832	798.682345228263	4727711.90099875
2021.84840435354	269.457839888781	5377599.96845975
2021.85456800876	612.880902805418	6693846.73667132
2021.86073166398	1045.8150665326	8932452.20834624
2021.8668953192	557018.37946871	14451127.5029974
2021.87305897442	2662473.89280466	13336700.0656844
2021.87922262964	2938837.03712245	11910115.3725262
2021.88538628487	3242881.41711734	11500853.0582649
2021.89154994009	3932913.22316659	12043914.4767059
2021.89771359531	4247508.95790552	11903010.041015
2021.90387725053	4104247.1512079	11850214.5406596
2021.91004090575	2515566.15297512	9574476.231795
2021.91620456097	1446801.64676387	8387237.20644404
2021.92236821619	1463895.65101123	8431810.73106541
2021.92853187141	1542602.96278406	8731562.51334006
2021.93469552664	1705513.60083517	9191291.62443893
2021.94085918186	1707461.80931561	9455119.59483545
2021.94702283708	1994692.72612492	9567416.71874685
2021.9531864923	2564732.45255405	10483982.5068324
2021.95935014752	2861016.80925407	10838403.8027929
2021.96551380274	2997358.77411182	11404886.4978886
2021.97167745796	3420286.60761621	12491257.8429259
2021.97784111318	4199435.57516839	14308403.6442956
2021.98400476841	4764377.88328385	15385096.5022692
2021.99016842363	6232245.26410543	17538968.9964638
2021.99633207885	7390267.67610612	19771966.9013472
2022.00249573407	8600877.06476991	21607681.2641084
2022.00865938929	9872159.56783699	24398869.6740417
2022.01482304451	11245674.3464541	26770811.6277018
2022.02098669973	12841313.2857412	29466832.1925955
2022.02715035496	14140204.7168296	32700192.3161323
2022.03331401018	17258622.6181453	37386655.002892
2022.0394776654	20273705.3235379	41561520.631996
2022.04564132062	27205307.1981604	52716915.5452233
2022.05180497584	26278395.6297039	52356496.5900557
2022.05796863106	26277054.2754666	50198556.777758
2022.06413228628	27794094.1892185	51771389.550724
2022.0702959415	26148984.7726045	50470918.3531391
2022.07645959673	24282299.9842875	47916394.3120285
2022.08262325195	20588842.9932768	42292104.769996
2022.08878690717	17105892.0653674	36150487.8545238
2022.09495056239	17727766.6021433	37160409.9532116
2022.10111421761	17079152.7164768	37035056.1866772
2022.10727787283	18495102.0133252	38018724.2908575
2022.11344152805	18434063.2954514	39291434.8426484
2022.11960518327	17405902.0194948	38811891.7816954
2022.1257688385	16857518.1617331	37557297.8612347
2022.13193249372	16512781.4399883	37149617.940914
2022.13809614894	16882194.5941592	37114423.9369518
2022.14425980416	16918468.9555359	37865134.3799682
2022.15042345938	16919416.2869262	38166822.4398803
2022.1565871146	19729677.9977939	42127545.5345628
2022.16275076982	21738366.0637444	42948674.9515554
2022.16891442505	21107454.1573823	42761741.1818562
2022.17507808027	20959507.8753663	42750598.8478363
2022.18124173549	19058833.2149182	39169652.570941
2022.18740539071	19333530.3424154	38976400.2345892
2022.19356904593	16195417.4766834	34162747.6636583
2022.19973270115	11700405.6359312	25469232.1858783
2022.20589635637	9952392.60502203	23320777.6126368
2022.21206001159	10515998.2741243	23839172.6996755
2022.21822366682	11114443.7777148	24939498.9639783
2022.22438732204	13923075.1796394	30444003.8848644
2022.23055097726	16328172.7818276	34227348.4336252
2022.23671463248	17436760.7451766	35283987.7651907
2022.2428782877	16429627.5642279	34544159.6253611
2022.24904194292	16126116.9656945	33951781.4573181
2022.25520559814	14647175.6102	31240808.0488916
2022.26136925336	12159801.6527576	26035137.0882331
2022.26753290859	8392118.91225024	19833880.2732678
2022.27369656381	7511326.490486	18367116.9991217
2022.27986021903	6697168.14306009	16296660.1260641
2022.28602387425	6531759.5839207	15532823.613497
2022.29218752947	5546285.91865513	14169459.8978364
2022.29835118469	5435958.09841775	13776854.3955747
2022.30451483991	4747282.68398002	13019001.9569248
2022.31067849514	4728476.76612966	13266166.28527
2022.31684215036	3718056.09975028	11228662.4236539
2022.32300580558	3802379.28221959	11852269.3169762
2022.3291694608	3635122.27826274	11565355.6676306
2022.33533311602	3373771.41248108	10718669.3850443
2022.34149677124	2460763.03044867	9600623.88529665
2022.34766042646	2471527.01798778	9418720.68634036
2022.35382408168	2087233.20147472	9026226.62176558
2022.35998773691	1511499.78391159	8309584.16904615
2022.36615139213	1189497.02398385	7468525.05394417
2022.37231504735	865431.000046332	6107356.82423425
2022.37847870257	334158.667529599	3880887.31203287
