time	diffusion_coefficient	number_of_branches
2021.76827683566	128248.82451008	0.008
2021.77444049088	84286.0338750969	0.016
2021.7806041461	110684.170184211	0.016
2021.78676780132	44737.3569319115	0.032
2021.79293145655	180985.987049869	0.03
2021.79909511177	219551.453195865	0.074
2021.80525876699	303823.834915406	0.094
2021.81142242221	345393.713584759	0.147
2021.81758607743	346418.415530937	0.241
2021.82374973265	465072.6094049	0.313
2021.82991338787	511782.77594753	0.494
2021.83607704309	537073.843142649	0.857
2021.84224069832	575375.655569016	1.378
2021.84840435354	650957.494953672	2.441
2021.85456800876	770664.733261706	4.325
2021.86073166398	834436.234593646	8.186
2021.8668953192	781217.734409649	23.082
2021.87305897442	625177.41799567	61.425
2021.87922262964	643310.340016712	64.129
2021.88538628487	641036.546648859	67.408
2021.89154994009	635675.916672048	70.791
2021.89771359531	617164.977489152	73.829
2021.90387725053	574368.088960769	75.464
2021.91004090575	473024.492351469	56.55
2021.91620456097	372767.52352839	37.387
2021.92236821619	340006.998043842	41.075
2021.92853187141	326711.121004414	43.539
2021.93469552664	316435.184458185	46.419
2021.94085918186	309943.18331466	49.774
2021.94702283708	306685.81604668	53.157
2021.9531864923	301950.159345455	56.378
2021.95935014752	300376.200091027	60.161
2021.96551380274	302635.220431327	63.999
2021.97167745796	305478.717232794	69.884
2021.97784111318	350719.522848117	75.764
2021.98400476841	359349.383035402	81.263
2021.99016842363	369172.971249358	90.075
2021.99633207885	380688.312074934	108.534
2022.00249573407	630934.44874715	131.612
2022.00865938929	622123.082322212	141.452
2022.01482304451	605545.721260486	152.48
2022.02098669973	575924.083445656	166.836
2022.02715035496	553508.911939661	187.173
2022.03331401018	515659.182443043	219.308
2022.0394776654	471103.279332867	262.318
2022.04564132062	980601.751061353	249.323
2022.05180497584	945126.126981782	258.409
2022.05796863106	906671.312810295	276.212
2022.06413228628	967333.839686616	281.625
2022.0702959415	966245.332426205	277.632
2022.07645959673	963361.654010294	267.592
2022.08262325195	970678.909217672	252.64
2022.08878690717	463527.02383022	222.532
2022.09495056239	493331.502661894	217.446
2022.10111421761	456727.131721309	207.865
2022.10727787283	433611.842643959	209.972
2022.11344152805	445911.098193022	211.929
2022.11960518327	441739.551446183	213.533
2022.1257688385	431218.786394881	203.839
2022.13193249372	409118.766342224	205.031
2022.13809614894	381787.080688376	203.209
2022.14425980416	483282.84075763	202.304
2022.15042345938	526745.087102183	201.761
2022.1565871146	1016093.56088563	198.671
2022.16275076982	1124487.79667794	209.405
2022.16891442505	1211069.63220477	198.685
2022.17507808027	1219161.17388521	201.501
2022.18124173549	1278132.33606814	195.36
2022.18740539071	1170878.72844011	192.462
2022.19356904593	1129606.17587744	175.84
2022.19973270115	460166.699193738	163.876
2022.20589635637	464819.169066356	143.453
2022.21206001159	508623.135250388	152.584
2022.21822366682	513295.889657152	156.255
2022.22438732204	734025.0016044	163.542
2022.23055097726	872398.728668449	159.426
2022.23671463248	955105.682326573	167.861
2022.2428782877	974105.036844131	164.182
2022.24904194292	892928.536548725	163.893
2022.25520559814	858849.787021908	155.498
2022.26136925336	846724.755494231	143.699
2022.26753290859	652268.071500462	109.857
2022.27369656381	577341.741874042	109.959
2022.27986021903	593855.172564072	96.397
2022.28602387425	627637.437540571	87.479
2022.29218752947	617898.150761962	86.318
2022.29835118469	804869.776250613	82.74
2022.30451483991	734855.324081109	75.18
2022.31067849514	749637.933892135	72.7
2022.31684215036	623380.192941539	62.071
2022.32300580558	617422.244210976	60.199
2022.3291694608	612572.727258291	63.401
2022.33533311602	577241.217239821	64.337
2022.34149677124	448709.83473637	49.946
2022.34766042646	445248.204170958	46.686
2022.35382408168	554854.700934558	40.252
2022.35998773691	648864.525503478	31.182
2022.36615139213	702868.748495127	25.981
2022.37231504735	633759.629566686	21.458
2022.37847870257	586108.303814283	17.129
