time	diffusion_coefficient	number_of_branches
2021.76827683566	194796.24814992	0.008
2021.77444049088	126692.649860828	0.016
2021.7806041461	163123.820973377	0.016
2021.78676780132	55303.8050527627	0.032
2021.79293145655	296729.271227108	0.03
2021.79909511177	427788.517093942	0.074
2021.80525876699	548033.344979343	0.094
2021.81142242221	625224.334359005	0.147
2021.81758607743	658392.440348114	0.241
2021.82374973265	817451.484411693	0.313
2021.82991338787	905341.246788832	0.494
2021.83607704309	1013513.82128305	0.857
2021.84224069832	1148758.87263422	1.378
2021.84840435354	1437866.47337141	2.441
2021.85456800876	2008817.53860855	4.325
2021.86073166398	3169169.71162836	8.186
2021.8668953192	6641641.66318844	23.082
2021.87305897442	7657563.50443408	61.425
2021.87922262964	7325795.09544832	64.129
2021.88538628487	7466724.86733467	67.408
2021.89154994009	7668580.18922225	70.791
2021.89771359531	7764494.51649957	73.829
2021.90387725053	7534309.88669904	75.464
2021.91004090575	5739004.87389074	56.55
2021.91620456097	4870552.46429709	37.387
2021.92236821619	4894287.97640398	41.075
2021.92853187141	4972483.05399177	43.539
2021.93469552664	5182216.11787399	46.419
2021.94085918186	5462015.20073486	49.774
2021.94702283708	5793044.46345093	53.157
2021.9531864923	6133797.83998527	56.378
2021.95935014752	6536813.74472081	60.161
2021.96551380274	7066901.03732017	63.999
2021.97167745796	7823066.77414077	69.884
2021.97784111318	8746691.02807555	75.764
2021.98400476841	9772234.6109459	81.263
2021.99016842363	11330148.606702	90.075
2021.99633207885	13702414.4547664	108.534
2022.00249573407	15439732.1201808	131.612
2022.00865938929	17019474.9914334	141.452
2022.01482304451	18648079.615515	152.48
2022.02098669973	20670517.5837385	166.836
2022.02715035496	23310723.2586131	187.173
2022.03331401018	26365238.9738253	219.308
2022.0394776654	29992172.9315435	262.318
2022.04564132062	38471725.0222892	249.323
2022.05180497584	39017065.5970554	258.409
2022.05796863106	38104079.4427191	276.212
2022.06413228628	38791384.4844777	281.625
2022.0702959415	37626549.3310926	277.632
2022.07645959673	35778233.5160615	267.592
2022.08262325195	30916391.3655892	252.64
2022.08878690717	25946328.9280657	222.532
2022.09495056239	26955693.0499078	217.446
2022.10111421761	26487806.4730651	207.865
2022.10727787283	27716669.32829	209.972
2022.11344152805	28025809.5771992	211.929
2022.11960518327	28286468.3461003	213.533
2022.1257688385	27219660.2553638	203.839
2022.13193249372	26060279.9598779	205.031
2022.13809614894	25895938.0864613	203.209
2022.14425980416	26292373.7396502	202.304
2022.15042345938	26560832.6743896	201.761
2022.1565871146	30571861.573817	198.671
2022.16275076982	31792792.2312272	209.405
2022.16891442505	31722563.2168018	198.685
2022.17507808027	31605527.5046839	201.501
2022.18124173549	29586368.2371923	195.36
2022.18740539071	28493070.3687416	192.462
2022.19356904593	24696686.1024253	175.84
2022.19973270115	18206241.3559357	163.876
2022.20589635637	16437484.5361952	143.453
2022.21206001159	16505276.5070517	152.584
2022.21822366682	17657268.9951955	156.255
2022.22438732204	22526279.5284562	163.542
2022.23055097726	24363516.9391588	159.426
2022.23671463248	25853607.2279534	167.861
2022.2428782877	25843792.9282958	164.182
2022.24904194292	24699323.3199019	163.893
2022.25520559814	22657069.8003254	155.498
2022.26136925336	18965355.3398005	143.699
2022.26753290859	13886801.4474679	109.857
2022.27369656381	12376548.4075057	109.959
2022.27986021903	11078396.1608737	96.397
2022.28602387425	10412846.0482461	87.479
2022.29218752947	9658252.51483006	86.318
2022.29835118469	9322520.21786403	82.74
2022.30451483991	8816202.37371473	75.18
2022.31067849514	8785810.99575457	72.7
2022.31684215036	7334459.03653479	62.071
2022.32300580558	7462612.74063744	60.199
2022.3291694608	7331882.46650397	63.401
2022.33533311602	6708529.24791748	64.337
2022.34149677124	5954927.19788227	49.946
2022.34766042646	5389167.03921775	46.686
2022.35382408168	5222837.67420149	40.252
2022.35998773691	4592604.4954445	31.182
2022.36615139213	3948498.10968546	25.981
2022.37231504735	3092220.85884344	21.458
2022.37847870257	1926745.59557471	17.129
