trait,country,admin1
A/Eared_Grebe/AB/FAV-0833-67/2022|H5N1|Canada-AB|2022-06-23|avian|A1,Canada,AB
A/Eared_Grebe/AB/FAV-0833-83/2022|H5N1|Canada-AB|2022-06-23|avian|A1,Canada,AB
A/Eared_Grebe/AB/FAV-0833-82/2022|H5N1|Canada-AB|2022-06-23|avian|A1,Canada,AB
A/Eared_Grebe/AB/FAV-0833-85/2022|H5N1|Canada-AB|2022-06-23|avian|A1,Canada,AB
A/Eared_Grebe/AB/FAV-0833-81/2022|H5N1|Canada-AB|2022-06-23|avian|A1,Canada,AB
A/Eared_Grebe/AB/FAV-0833-84/2022|H5N1|Canada-AB|2022-06-23|avian|A1,Canada,AB
A/Eared_Grebe/AB/FAV-0833-80/2022|H5N1|Canada-AB|2022-06-23|avian|A1,Canada,AB
A/Red-Tailed_Hawk/AB/FAV-0505-35/2022|H5N1|Canada-AB|2022-04-27|avian|A1,Canada,AB
A/Canada_Goose/AB/FAV-0505-36/2022|H5N1|Canada-AB|2022-04-27|avian|A1,Canada,AB
A/Great_Horned_Owl/AB/FAV-0505-38/2022|H5N1|Canada-AB|2022-04-27|avian|A1,Canada,AB
A/Bald_Eagle/MB/FAV-0687-1/2022|H5N1|Canada-MB|2022-05-28|avian|A1,Canada,MB
A/Swainsons_Hawk/MB/FAV-0469-8/2022|H5N1|Canada-MB|2022-05-05|avian|A1,Canada,MB
A/Herring_Gull/NS/FAV-0111-1/2022|H5N1|Canada-NS|2022-02-12|avian|A1,Canada,NS
A/American_Crow/NS/FAV-0322-1/2022|H5N1|Canada-NS|2022-03-16|avian|A1,Canada,NS
A/Mixed/NS/FAV-0066-1/2021|H5N1|Canada-NS|2022-01-28|avian|A1,Canada,NS
A/Mixed/NS/FAV-0065-10/2022|H5N1|Canada-NS|2022-01-28|avian|A1,Canada,NS
A/Mixed/NS/FAV-0066-3/2021|H5N1|Canada-NS|2022-01-28|avian|A1,Canada,NS
A/Mixed/NS/FAV-0065-11/2022|H5N1|Canada-NS|2022-01-28|avian|A1,Canada,NS
A/Mixed/NS/FAV-0127-141B/2022|H5N1|Canada-NS|2022-03-12|avian|A1,Canada,NS
A/Mixed/NS/FAV-0127-154/2022|H5N1|Canada-NS|2022-03-12|avian|A1,Canada,NS
A/Mixed/NS/FAV-0127-153/2022|H5N1|Canada-NS|2022-03-12|avian|A1,Canada,NS
A/Canada_Goose/NS/FAV-0054-1/2022|H5N1|Canada-NS|2022-01-12|avian|A1,Canada,NS
A/Red-Tailed_Hawk/NS/FAV-0326-1/2022|H5N1|Canada-NS|2022-04-19|avian|A1,Canada,NS
A/Blue_Jay/NS/FAV-0122-1/2022|H5N1|Canada-NS|2022-02-18|avian|A1,Canada,NS
A/Blue_Jay/NS/FAV-0095-1/2022|H5N1|Canada-NS|2022-02-08|avian|A1,Canada,NS
A/Mallard/NS/FAV-0094-78/2022|H5N1|Canada-NS|2022-01-27|avian|A1,Canada,NS
A/Mixed/NS/FAV-0083-155/2022|H5N1|Canada-NS|2022-02-07|avian|A1,Canada,NS
A/Mixed/NS/FAV-0083-126/2022|H5N1|Canada-NS|2022-02-07|avian|A1,Canada,NS
A/Mixed/NS/FAV-0083-125/2022|H5N1|Canada-NS|2022-02-07|avian|A1,Canada,NS
A/Mixed/NS/FAV-0083-154/2022|H5N1|Canada-NS|2022-02-07|avian|A1,Canada,NS
A/Red-Tailed_Hawk/NS/FAV-0095-2/2022|H5N1|Canada-NS|2022-02-08|avian|A1,Canada,NS
A/Broad-winged_Hawk/NS/FAV-0124-1/2022|H5N1|Canada-NS|2022-02-16|avian|A1,Canada,NS
A/Common_Merganser/NS/FAV-0102-4/2022|H5N1|Canada-NS|2022-02-04|avian|A1,Canada,NS
A/Red-breasted_Merganser/NS/FAV-0113-1/2022|H5N1|Canada-NS|2022-02-15|avian|A1,Canada,NS
A/Great_Black-Backed_Gull/NS/FAV-0330-1/2022|H5N1|Canada-NS|2022-03-23|avian|A1,Canada,NS
A/American_Crow/NS/FAV-0467-1/2022|H5N1|Canada-NS|2022-04-07|avian|A1,Canada,NS
A/Canada_Goose/NS/FAV-0248-1/2022|H5N1|Canada-NS|2022-03-09|avian|A1,Canada,NS
A/Herring_Gull/NT/FAV-0912-22/2022|H5N1|Canada-NT|2022-06-19|avian|A1,Canada,NT
A/Canada_Goose/ON/FAV-0235-2/2022|H5N1|Canada-ON|2022-03-31|avian|A1,Canada,ON
A/Redhead/ON/FAV-0161-1/2022|H5N1|Canada-ON|2022-03-15|avian|A1,Canada,ON
A/Mixed/ON/FAV-0209-1/2022|H5N1|Canada-ON|2022-04-07|avian|A1,Canada,ON
A/Common_Raven/ON/FAV-0473-2/2022|H5N1|Canada-ON|2022-05-04|avian|A1,Canada,ON
A/Canada_Goose/ON/FAV-0244-3/2022|H5N1|Canada-ON|2022-04-06|avian|A1,Canada,ON
A/Common_Raven/ON/FAV-0320-3/2022|H5N1|Canada-ON|2022-04-20|avian|A1,Canada,ON
A/Snowy_Owl/ON/FAV-0242-2/2022|H5N1|Canada-ON|2022-04-07|avian|A1,Canada,ON
A/Great_Horned_Owl/ON/FAV-0527-1/2022|H5N1|Canada-ON|2022-05-03|avian|A1,Canada,ON
A/Turkey/ON/FAV-0163-136/2022|H5N1|Canada-ON|2022-03-27|avian|A1,Canada,ON
A/Mixed/ON/FAV-0182-3/2022|H5N1|Canada-ON|2022-04-03|avian|A1,Canada,ON
A/Mixed/ON/FAV-0182-4/2022|H5N1|Canada-ON|2022-04-03|avian|A1,Canada,ON
A/Mixed/ON/FAV-0189-1/2022|H5N1|Canada-ON|2022-04-04|avian|A1,Canada,ON
A/Mixed/ON/FAV-0189-5/2022|H5N1|Canada-ON|2022-04-04|avian|A1,Canada,ON
A/Mixed/ON/FAV-0189-3/2022|H5N1|Canada-ON|2022-04-04|avian|A1,Canada,ON
A/Mixed/ON/FAV-0189-4/2022|H5N1|Canada-ON|2022-04-04|avian|A1,Canada,ON
A/Mixed/ON/FAV-0182-1/2022|H5N1|Canada-ON|2022-04-03|avian|A1,Canada,ON
A/Mixed/ON/FAV-0189-2/2022|H5N1|Canada-ON|2022-04-04|avian|A1,Canada,ON
A/Mixed/ON/FAV-0167-102/2022|H5N1|Canada-ON|2022-03-30|avian|A1,Canada,ON
A/Mixed/ON/FAV-0167-101/2022|H5N1|Canada-ON|2022-03-30|avian|A1,Canada,ON
A/Mixed/ON/FAV-0167-103/2022|H5N1|Canada-ON|2022-03-30|avian|A1,Canada,ON
A/American_Crow/PE/FAV-0109-1/2022|H5N1|Canada-PE|2022-02-16|avian|A1,Canada,PE
A/Snowy_Owl/PE/FAV-0121-1/2022|H5N1|Canada-PE|2022-02-23|avian|A1,Canada,PE
A/American_Crow/QC/FAV-0855-5/2022|H5N1|Canada-QC|2022-05-12|avian|A1,Canada,QC
A/American_Crow/QC/FAV-0855-4/2022|H5N1|Canada-QC|2022-05-12|avian|A1,Canada,QC
A/American_Crow/QC/FAV-0855-6/2022|H5N1|Canada-QC|2022-05-12|avian|A1,Canada,QC
