time	diffusion_coefficient	number_of_branches
2021.32302891414	3350.70547654692	0.002
2021.36058916599	NA	0
2021.39814941783	NA	0
2021.43570966967	NA	0
2021.47326992152	NA	0
2021.51083017336	13188.831688736	0.004
2021.5483904252	NA	0
2021.58595067705	26461.6001040554	0.006
2021.62351092889	NA	0
2021.66107118074	NA	0
2021.69863143258	14180.6104641923	0.002
2021.73619168442	9249.09055929308	0.004
2021.77375193627	79023.9163708244	0.01
2021.81131218811	34185.001003211	0.004
2021.84887243996	7714.41481973109	0.006
2021.8864326918	79262.4412025028	0.008
2021.92399294364	2065.45856227884	0.002
2021.96155319549	130930.704512903	0.062
2021.99911344733	350914.067042198	0.279
2022.03667369917	136291.89440913	0.132
2022.07423395102	242532.323603719	0.211
2022.11179420286	367405.391006476	0.378
2022.14935445471	1095789.03198197	2.08
2022.18691470655	808880.421167156	5.184
2022.22447495839	343292.178582571	1.294
2022.26203521024	444028.950967477	2.124
2022.29959546208	670510.156109358	3.882
2022.33715571392	1171526.33646491	14.889
2022.37471596577	466291.228608155	2.96
2022.41227621761	349690.883231854	3.596
2022.44983646946	453845.4102246	4.627
2022.4873967213	599772.715527325	6.632
2022.52495697314	373935.879560234	4.167
2022.56251722499	284029.009172841	1.611
2022.60007747683	349459.925364042	1.793
2022.63763772867	351768.818073281	1.809
2022.67519798052	316098.504994123	1.838
2022.71275823236	279868.603335962	1.689
2022.75031848421	210986.817572373	2.72
2022.78787873605	128192.153498654	3.058
2022.82543898789	292699.426668208	3.226
2022.86299923974	165027.069849271	8.713
2022.90055949158	379604.421367048	8.24
2022.93811974343	178130.477077764	5.299
2022.97567999527	173075.912911922	3.344
2023.01324024711	170151.433146315	4.18
2023.05080049896	192375.373509781	5.945
2023.0883607508	183446.988772995	4.555
2023.12592100264	288687.866688536	4.015
2023.16348125449	414317.861966226	3.058
2023.20104150633	663767.690814857	10.897
2023.23860175818	1855796.42733967	19.474
2023.27616201002	1748596.3325767	20.509
2023.31372226186	2090207.027188	26.011
2023.35128251371	2322906.76170149	38.356
2023.38884276555	510798.739113187	7.015
2023.42640301739	414102.015193876	7.882
2023.46396326924	439394.57318076	8.181
2023.50152352108	403051.711812757	9.121
2023.53908377293	353360.411819468	9.076
2023.57664402477	137838.613924127	7.817
2023.61420427661	196264.307497536	2.557
2023.65176452846	233100.470700006	2.233
2023.6893247803	255498.046839338	3.152
2023.72688503215	636625.688764375	12.432
2023.76444528399	833395.478362242	16.869
2023.80200553583	2817406.59458895	30.104
2023.83956578768	3150373.38390923	47.213
2023.87712603952	2354704.08824314	25.259
2023.91468629136	1384976.92080036	13.293
2023.95224654321	339596.19001119	7.886
2023.98980679505	704230.932680341	2.849
2024.0273670469	344943.402972123	4.26
2024.06492729874	860991.03667477	3.506
2024.10248755058	116374.027265973	2.11
2024.14004780243	443434.211105709	1.496
2024.17760805427	233697.977719562	3.15
2024.21516830611	425244.910062334	2.424
2024.25272855796	439743.754445634	2.139
2024.2902888098	470962.624182056	2.956
2024.32784906165	544404.73343968	4.13
2024.36540931349	535995.559663148	7.207
2024.40296956533	307914.110430155	1.844
2024.44052981718	267849.728332598	2.108
2024.47809006902	268598.597100814	2.573
2024.51565032087	278338.802006126	3.192
2024.55321057271	147361.306205231	2.462
2024.59077082455	117568.472125421	1.219
2024.6283310764	96172.9586623098	1.421
2024.66589132824	76003.6462054688	1.375
2024.70345158008	76724.5475794701	1.75
2024.74101183193	85852.0526281728	3.266
2024.77857208377	116890.263440626	3.068
2024.81613233562	199428.839317772	3.215
2024.85369258746	782082.960946279	9.779
2024.8912528393	413728.334638036	9.7
2024.92881309115	397527.040645903	4.396
2024.96637334299	297869.747901366	6.828
2025.00393359483	898167.201245701	13.867
2025.04149384668	2090982.26212622	17.355
