time	diffusion_coefficient	number_of_branches
2021.31701927281	1908.55145075336	0
2021.34256024199	NA	0
2021.36810121116	NA	0
2021.39364218034	NA	0
2021.41918314952	NA	0
2021.4447241187	NA	0
2021.47026508788	NA	0
2021.49580605705	545.342486870884	0
2021.52134702623	11307.9841739348	0
2021.54688799541	NA	0
2021.57242896459	5489.26948750454	0
2021.59796993376	34746.1251313291	0
2021.62351090294	NA	0
2021.64905187212	NA	0
2021.6745928413	NA	0
2021.70013381047	9287.69943989739	0
2021.72567477965	40545.8517096672	0
2021.75121574883	15924.4685187745	0
2021.77675671801	46322.7915541048	0
2021.80229768719	20748.7499276702	0
2021.82783865636	15026.2450375198	0
2021.85337962554	6546.41432612894	0
2021.87892059472	4037.73662718245	0
2021.9044615639	3936.92926600129	0
2021.93000253307	2198.66604129936	0
2021.95554350225	23610.6424103244	0
2021.98108447143	17333.0738123992	0
2022.00662544061	43926.2631968148	0
2022.03216640978	23531.7868421485	0
2022.05770737896	51020.7926256515	0
2022.08324834814	40056.9476830306	0
2022.10878931732	85948.4417280807	0
2022.1343302865	142879.580316326	0
2022.15987125567	191984.509126034	0
2022.18541222485	196913.930302094	0
2022.21095319403	72632.3300031977	0
2022.23649416321	67575.5521453806	0
2022.26203513238	80181.4712892473	0
2022.28757610156	111491.07360324	2
2022.31311707074	154215.893691514	5
2022.33865803992	194685.413586273	16.5
2022.36419900909	146740.315785597	9
2022.38973997827	79288.5435022183	3
2022.41528094745	65272.9842372846	3
2022.44082191663	68271.5782710883	3
2022.46636288581	83152.389239964	5
2022.49190385498	86083.4917445407	6
2022.51744482416	77090.7116667709	3
2022.54298579334	57695.0317542376	0
2022.56852676252	51406.3795127862	0
2022.59406773169	55323.7041773837	0
2022.61960870087	59419.8092715032	0
2022.64514967005	56910.0172936056	0
2022.67069063923	52326.4656889522	0
2022.6962316084	53004.123362262	0
2022.72177257758	34118.5023342082	0
2022.74731354676	27617.9745120851	0
2022.77285451594	35785.5427993365	1
2022.79839548512	224236.890602758	1
2022.82393645429	88512.9152762664	1
2022.84947742347	21759.6894280253	5
2022.87501839265	27119.1237446568	11
2022.90055936183	47892.5188116192	8
2022.926100331	24023.4220244274	6
2022.95164130018	25187.2997444236	5
2022.97718226936	13120.9825379171	4
2023.00272323854	20907.6902923169	1
2023.02826420771	27511.4795193455	4
2023.05380517689	17552.7497490526	4
2023.07934614607	12633.3177174854	5
2023.10488711525	29688.1094397985	4
2023.13042808443	78925.9642694269	3
2023.1559690536	76953.6047782608	3
2023.18151002278	68971.3383210755	5
2023.20705099196	106005.116262917	12
2023.23259196114	179646.127552147	20
2023.25813293031	195258.185228501	20
2023.28367389949	185497.691013745	19
2023.30921486867	191006.807940679	23
2023.33475583785	218095.049161675	30
2023.36029680702	175446.852306519	31
2023.3858377762	77645.6975074932	6
2023.41137874538	62973.5526625173	6
2023.43691971456	50500.6076487782	6
2023.46246068374	53494.0927412037	6
2023.48800165291	50064.3248527176	6
2023.51354262209	43171.4638019181	7
2023.53908359127	68883.5466354122	8
2023.56462456045	22671.9797240288	9
2023.59016552962	12797.9452030949	6
2023.6157064988	50196.5066725016	2
2023.64124746798	57228.4987004193	0
2023.66678843716	57698.8689244422	0
2023.69232940633	48723.4093381859	3
2023.71787037551	68513.5691672622	8
2023.74341134469	78102.8284573274	11
2023.76895231387	97048.8845465663	13
2023.79449328305	197179.034798705	20
2023.82003425222	297712.618294549	27
2023.8455752214	216676.602661194	30
