trait	country	admin1	latitude	longitude
EPI_ISL_19775616|A/Chicken/AB/FAV-0190-2/2023|H5N1|Canada-AB|2023-04-20|avian|A3	Canada	AB	59.3658826934267	-112.992806891928
EPI_ISL_19775615|A/Chicken/AB/FAV-0190-1/2023|H5N1|Canada-AB|2023-04-20|avian|A3	Canada	AB	58.9081538679207	-110.807952106887
EPI_ISL_19776110|A/Great_Horned_Owl/AB/FAV-0046-1/2024|H5N1|Canada-AB|2023-12-01|avian|A3	Canada	AB	57.3024191684632	-118.899469544109
EPI_ISL_19154703|A/Black-billed_Magpie/AB/FAV-1655-1/2022|H5N1|Canada-AB|2022-11-14|avian|A3	Canada	AB	57.7192449491765	-117.557942264113
EPI_ISL_18665599|A/American_Wigeon/BC/AIVPHL-1411/2023|H5N1|Canada-BC|2023-11-14|avian|A3	Canada	BC	52.9255780730111	-125.706830942255
EPI_ISL_19776030|A/American_Wigeon/BC/FAV-0432-21/2023|H5N1|Canada-BC|2023-11-14|avian|A3	Canada	BC	57.9792969156258	-124.8367260409
EPI_ISL_18665689|A/Red_Tailed_Hawk/BC/AIVPHL-1450/2023|H5N1|Canada-BC|2023-11-27|avian|A3	Canada	BC	51.3662468729616	-117.94679917784
EPI_ISL_19776018|A/Red-tailed_Hawk/BC/FAV-0015-22/2024|H5N1|Canada-BC|2023-11-10|avian|A3	Canada	BC	56.2784441834163	-129.221807864267
EPI_ISL_19710874|A/Chicken/BC/FAV-0337-22022|H5N1|Canada-BC|2023-11-05|avian|A3	Canada	BC	59.0930224782582	-124.501988699219
EPI_ISL_19775512|A/Snow_Goose/BC/FAV-0014-48/2023|H5N1|Canada-BC|2022-11-21|avian|A3	Canada	BC	59.8213029033695	-127.994826131671
EPI_ISL_19154868|A/Red-tailed_Hawk/BC/FAV-0053-38/2022|H5N1|Canada-BC|2022-11-26|avian|A3	Canada	BC	51.3066145278696	-124.229966378135
EPI_ISL_17051482|A/canada_goose/BC/AIVPHL-371/2023|H5N1|Canada-BC|2023-01-16|avian|A3	Canada	BC	53.9550475256767	-124.237385892702
EPI_ISL_18665607|A/Red_Tailed_Hawk/BC/AIVPHL-1236/2023|H5N1|Canada-BC|2023-07-24|avian|A3	Canada	BC	50.582877489085	-121.716886033825
