time	diffusion_coefficient	number_of_branches
2021.92310385647	120019.562486651	0
2021.95361554026	51911.430405041	0
2021.98412722405	51575.5245273879	0
2022.01463890784	154427.061172368	0
2022.04515059163	517817.595086353	6
2022.07566227542	560393.699157284	37
2022.10617395921	270164.329690236	10
2022.13668564299	274266.576866187	13
2022.16719732678	344687.628516973	20
2022.19770901057	328214.665271584	29
2022.22822069436	364430.044970508	43
2022.25873237815	403172.097017044	32
2022.28924406194	741592.734302339	30
2022.31975574573	769781.143493261	47
2022.35026742951	429098.908984989	34
2022.3807791133	469213.449563119	31
2022.41129079709	540106.844069425	40
2022.44180248088	568820.970513167	45
2022.47231416467	672698.533888461	37
2022.50282584846	548037.451162808	45
2022.53333753225	783882.226599213	74
2022.56384921603	639950.998574824	191
2022.59436089982	605196.74659094	128
2022.62487258361	330239.179202253	32
2022.6553842674	341422.264618052	35
2022.68589595119	465949.570295087	36
2022.71640763498	408204.399795971	36
2022.74691931877	328273.620100707	62
2022.77743100255	417120.136785351	105
2022.80794268634	558843.948147804	111
2022.83845437013	507429.132694811	120
2022.86896605392	456664.180483096	99
2022.89947773771	291795.62886015	106
2022.9299894215	205049.588482268	90
2022.96050110529	187289.904219519	79
2022.99101278908	154929.633732413	68
2023.02152447286	161454.893588513	55
2023.05203615665	155800.226358704	53
2023.08254784044	256791.892087081	48
2023.11305952423	274084.011900847	36
2023.14357120802	537489.715627373	35
2023.17408289181	233929.461683039	40
2023.2045945756	322685.093404352	37
2023.23510625938	212746.55232323	28
2023.26561794317	78105.3026979938	19
2023.29612962696	123210.812780186	18
2023.32664131075	24989.2602439143	9
2023.35715299454	39720.8523677583	4
2023.38766467833	130268.807592861	8
2023.41817636212	103872.103540621	8
2023.4486880459	195569.192031697	15
2023.47919972969	205691.196227383	17
2023.50971141348	195538.159668282	13
2023.54022309727	237368.793395098	11
2023.57073478106	254423.091510709	24
2023.60124646485	269010.010789926	28
2023.63175814864	152445.125389502	26
2023.66226983242	80288.5891134594	23
2023.69278151621	105072.397007813	17
2023.7232932	23860.8011730649	10
2023.75380488379	40840.976710022	13
2023.78431656758	25831.4264978922	11
2023.81482825137	44418.0442395322	13
2023.84533993516	51371.0501934507	19
2023.87585161894	48014.3147153146	7
2023.90636330273	7960.4491341285	4
2023.93687498652	14970.6400794313	8
2023.96738667031	44016.0868958908	4
2023.9978983541	102149.165894346	3
2024.02841003789	74974.7544853077	4
2024.05892172168	30238.4005519442	3
2024.08943340546	20746.1287147179	5
2024.11994508925	3540.90797175447	1
2024.15045677304	17145.1374521189	3
2024.18096845683	6265.28219542209	3
2024.21148014062	5079.37304995215	1
2024.24199182441	NA	0
2024.2725035082	NA	0
2024.30301519198	NA	0
2024.33352687577	NA	0
2024.36403855956	NA	0
2024.39455024335	NA	0
2024.42506192714	NA	0
2024.45557361093	NA	0
2024.48608529472	NA	0
2024.51659697851	NA	0
2024.54710866229	NA	0
2024.57762034608	NA	0
2024.60813202987	NA	0
2024.63864371366	NA	0
2024.66915539745	NA	0
2024.69966708124	NA	0
2024.73017876503	NA	0
2024.76069044881	NA	0
2024.7912021326	NA	0
2024.82171381639	NA	0
2024.85222550018	NA	0
2024.88273718397	NA	0
2024.91324886776	NA	0
2024.94376055155	15874.3537162145	1
