time	diffusion_coefficient	number_of_branches
2021.91395018777	479152.861507906	0.01
2021.92615453416	701339.381002516	0.01
2021.93835888055	135056.224718192	0.018
2021.95056322694	293835.553319693	0.018
2021.96276757332	358805.33079307	0.028
2021.97497191971	168607.49795468	0.044
2021.9871762661	270184.659647918	0.106
2021.99938061248	360099.540304201	0.228
2022.01158495887	667665.170710038	0.572
2022.02378930526	956865.034659333	1.453
2022.03599365165	1573171.0584314	3.389
2022.04819799803	3187576.5541974	8.766
2022.06040234442	5803788.96559572	35.036
2022.07260669081	5270585.90814617	36.496
2022.08481103719	4873510.85150892	36.814
2022.09701538358	2886364.52734959	24.143
2022.10921972997	1654965.21501219	10.662
2022.12142407636	1701709.00272385	11.27
2022.13362842274	1917820.31484066	12.783
2022.14583276913	2320151.23783968	14.763
2022.15803711552	2867157.48693715	17.752
2022.1702414619	3510334.643622	20.698
2022.18244580829	3949788.64698471	23.834
2022.19465015468	4315436.51747518	28.171
2022.20685450107	4498259.34748173	35.379
2022.21905884745	5285430.41165849	40.58
2022.23126319384	5924290.72043287	43.362
2022.24346754023	5975778.77268179	37.26
2022.25567188662	5576469.00094209	33.445
2022.267876233	4508958.5302959	28.129
2022.28008057939	4924753.35241765	28.028
2022.29228492578	6275009.08050978	32.64
2022.30448927216	9000522.43504216	40.247
2022.31669361855	8881246.86823131	43.547
2022.32889796494	8221784.20411689	44.371
2022.34110231133	5954652.08442587	40.805
2022.35330665771	5592125.01018198	33.852
2022.3655110041	5149681.36527598	29.391
2022.37771535049	4957275.86432825	30.09
2022.38991969687	5925203.56937199	29.937
2022.40212404326	7900904.87946049	35.006
2022.41432838965	7129323.07778794	43.516
2022.42653273604	9513724.46826468	46.061
2022.43873708242	9330967.58858387	45.35
2022.45094142881	9721288.62289475	41.217
2022.4631457752	11013185.5150775	38.256
2022.47535012158	9546158.14252894	37.949
2022.48755446797	8715807.66711836	40.014
2022.49975881436	9221089.868467	43.801
2022.51196316075	12261275.3443148	47.974
2022.52416750713	17063784.5632785	57.688
2022.53637185352	24760944.4609181	79.113
2022.54857619991	33057711.4350261	112.313
2022.5607805463	40682588.093386	164.469
2022.57298489268	39778179.8387394	182.876
2022.58518923907	33929354.2973454	156.979
2022.59739358546	22326486.4852257	108.648
2022.60959793184	7119754.25729961	31.63
2022.62180227823	6407438.03792326	32.433
2022.63400662462	6219205.39877083	31.584
2022.64621097101	6140153.74862728	34.362
2022.65841531739	6132430.2151209	34.42
2022.67061966378	6096962.62460561	36.579
2022.68282401017	6693729.27415243	37.149
2022.69502835655	6466266.8120817	37.144
2022.70723270294	7191488.14347072	39.79
2022.71943704933	8311514.06834071	38.683
2022.73164139572	9201437.12221362	42.581
2022.7438457421	9180487.06973805	59.09
2022.75605008849	9990817.02957734	74.814
2022.76825443488	16893289.8583955	94.127
2022.78045878126	18652437.3184357	105.953
2022.79266312765	18849518.5937001	108.77
2022.80486747404	22168731.8978096	111.748
2022.81707182043	24427196.3385812	110.24
2022.82927616681	21665659.4126819	115.567
2022.8414805132	20069906.5611613	112.354
2022.85368485959	17361415.1375772	106.28
2022.86588920598	18034133.1979242	91.72
2022.87809355236	16893804.6865833	102.42
2022.89029789875	15633751.9099647	95.555
2022.90250224514	12996939.4713624	98.481
2022.91470659152	9876352.50448278	84.386
2022.92691093791	7304760.49036262	78.885
2022.9391152843	7215705.64249998	77.201
2022.95131963069	6651686.44821433	72.295
2022.96352397707	5876394.73894507	69.836
2022.97572832346	4436935.37398622	62.702
2022.98793266985	4157586.24792444	58.992
2023.00013701623	4041041.19145871	53.586
2023.01234136262	4716803.82191944	51.4
2023.02454570901	3623374.8346406	45.495
2023.0367500554	2729123.78806951	44.916
2023.04895440178	2750118.04273892	44.474
2023.06115874817	2521446.97120857	44.99
2023.07336309456	2651521.30736212	42.108
2023.08556744094	2555903.34335314	39.505
2023.09777178733	2339761.9745624	30.654
2023.10997613372	1845867.08907147	20.469
2023.12218048011	759666.884100333	13.24
