time	diffusion_coefficient	number_of_branches
2021.91395018777	89783.3795910055	0
2021.92615453416	130065.166565728	0
2021.93835888055	37754.1409549705	0
2021.95056322694	66938.0119654159	0
2021.96276757332	40159.7962694529	0
2021.97497191971	32063.9600803286	0
2021.9871762661	60384.6276218889	0
2021.99938061248	88936.4333670084	0
2022.01158495887	157979.995803241	0
2022.02378930526	226630.066975944	0
2022.03599365165	363185.051597802	2
2022.04819799803	577612.045895814	8
2022.06040234442	537912.467076972	36
2022.07260669081	562031.068914838	37
2022.08481103719	542470.822959093	37
2022.09701538358	368335.152799102	24
2022.10921972997	256864.029923069	11
2022.12142407636	245919.105930373	11
2022.13362842274	260289.18350414	13
2022.14583276913	287845.535469527	15
2022.15803711552	317767.202218728	17
2022.1702414619	348412.765724052	21
2022.18244580829	335855.175372912	24
2022.19465015468	328496.146329788	28
2022.20685450107	319824.121467737	36
2022.21905884745	350793.923769781	40
2022.23126319384	370352.510651329	43
2022.24346754023	424472.337116105	37
2022.25567188662	401044.546323581	33
2022.267876233	360743.568661927	27
2022.28008057939	502510.474670696	28
2022.29228492578	782082.85387936	33
2022.30448927216	967392.388542469	40
2022.31669361855	841485.807393787	44
2022.32889796494	648651.746027146	44
2022.34110231133	442625.658229505	41
2022.35330665771	443697.430538445	34
2022.3655110041	479270.106071441	29
2022.37771535049	426556.519143606	29
2022.38991969687	528863.002707446	29
2022.40212404326	613526.348899352	35
2022.41432838965	495836.098860615	43
2022.42653273604	524575.377682238	46
2022.43873708242	565895.712661579	46
2022.45094142881	625899.921002341	41
2022.4631457752	702649.052699203	38
2022.47535012158	653505.841378646	38
2022.48755446797	574560.47974724	40
2022.49975881436	540982.115105276	44
2022.51196316075	635911.838368435	48
2022.52416750713	721149.710545	58
2022.53637185352	800850.744292352	79
2022.54857619991	787277.286872214	112
2022.5607805463	707313.802579029	165
2022.57298489268	659827.911208268	183
2022.58518923907	656871.872325874	157
2022.59739358546	604857.208791886	109
2022.60959793184	414327.332568605	31
2022.62180227823	347651.572101957	32.5
2022.63400662462	329371.183230731	31
2022.64621097101	325426.370487795	33
2022.65841531739	359610.588634178	34
2022.67061966378	406821.962944919	36
2022.68282401017	461401.421052429	36
2022.69502835655	437060.215822373	37
2022.70723270294	416010.027596896	39
2022.71943704933	419990.676949517	38
2022.73164139572	398464.875614461	42
2022.7438457421	330881.852831723	59
2022.75605008849	324278.641573352	75
2022.76825443488	400398.142670954	93
2022.78045878126	431052.006843038	106
2022.79266312765	458019.563375272	109
2022.80486747404	543086.482643593	112
2022.81707182043	671832.886722674	110.5
2022.82927616681	571369.164395416	115
2022.8414805132	521970.917007679	113
2022.85368485959	484306.094865215	106
2022.86588920598	509103.470543672	92
2022.87809355236	422823.172824648	103
2022.89029789875	399691.147709791	96
2022.90250224514	300672.199692797	98
2022.91470659152	291798.196968464	85
2022.92691093791	230583.895654644	79
2022.9391152843	226848.294552275	77
2022.95131963069	221576.654293819	73
2022.96352397707	208252.20807665	69.5
2022.97572832346	185166.753185538	63
2022.98793266985	175862.080225905	59
2023.00013701623	184593.344740921	54
2023.01234136262	204283.922119581	51
2023.02454570901	167924.520490711	45
2023.0367500554	134702.893804227	45
2023.04895440178	143173.729822952	44
2023.06115874817	126324.613159101	45
2023.07336309456	156099.086788071	42
2023.08556744094	188343.811562539	40
2023.09777178733	206675.831673799	31
2023.10997613372	235747.603768461	20
2023.12218048011	104041.766329428	13
