time	diffusion_coefficient	number_of_branches
2022.46072480512	19176.8168141066	0.014
2022.48338934974	20303.6303377512	0.02
2022.50605389435	31309.8736162334	0.074
2022.52871843897	40383.2663231534	0.119
2022.55138298359	57346.6046823952	0.189
2022.57404752821	73742.1290454415	0.364
2022.59671207282	110572.126021081	0.553
2022.61937661744	145002.815881869	0.794
2022.64204116206	178994.989240246	1.522
2022.66470570667	197160.060502468	4.733
2022.68737025129	169748.750756451	4.089
2022.71003479591	178623.73252035	1.06
2022.73269934053	175135.668001378	1.14
2022.75536388514	173238.399932563	1.578
2022.77802842976	199760.537956991	1.841
2022.80069297438	207159.972434084	1.855
2022.823357519	208647.768489075	1.957
2022.84602206361	233567.676962263	1.392
2022.86868660823	176574.004646253	0.514
2022.89135115285	164186.111677405	1.438
2022.91401569746	35216.9223704906	0.582
2022.93668024208	182757.189415494	1.597
2022.9593447867	24883.3149082012	2.609
2022.98200933132	10521.9350558816	1.717
2023.00467387593	37377.7288944385	0.723
2023.02733842055	36242.6269727059	0.909
2023.05000296517	44753.5725041829	0.945
2023.07266750979	53093.0603817102	0.888
2023.0953320544	55931.5536748704	0.996
2023.11799659902	62379.9088115131	1.068
2023.14066114364	52793.1534105744	1.335
2023.16332568825	22942.872632355	3.388
2023.18599023287	47453.4851207233	4.325
2023.20865477749	47363.6076379298	2.744
2023.23131932211	138217.437274133	0.224
2023.25398386672	128289.398115946	0.66
2023.27664841134	130539.835892442	2.771
2023.29931295596	324293.133757458	4.573
2023.32197750058	703286.312603871	6.189
2023.34464204519	712265.469742929	9.294
2023.36730658981	658056.788633516	7.711
2023.38997113443	626923.002884377	4.537
2023.41263567905	766436.923635084	5.172
2023.43530022366	1029810.59631908	8.101
2023.45796476828	1769065.48347528	14.035
2023.4806293129	4735110.84810885	31.01
2023.50329385751	18643542.7279325	120.571
2023.52595840213	25436436.866482	229.269
2023.54862294675	12045654.6287569	106.618
2023.57128749137	5973572.78207474	53.129
2023.59395203598	6703267.29764656	67.415
2023.6166165806	7980262.66621682	85.144
2023.63928112522	8564701.09125736	97.791
2023.66194566984	7928495.72135831	100.328
2023.68461021445	6792613.5417202	92.07
2023.70727475907	5850558.01710406	75.62
2023.72993930369	4716669.46792393	79.017
2023.7526038483	5492580.72358231	104.089
2023.77526839292	7163473.08705538	141.341
2023.79793293754	6475382.05288709	165.887
2023.82059748216	5181237.74647625	161.917
2023.84326202677	3145144.0762972	116.097
2023.86592657139	7294134.10623086	187.793
2023.88859111601	7168120.65275451	216.406
2023.91125566063	4143863.18444786	157.307
2023.93392020524	2233728.76489899	122.325
2023.95658474986	1373485.85622348	80.739
2023.97924929448	732345.293073339	52.661
2024.0019138391	497359.999921427	32.811
2024.02457838371	377455.698288887	27.274
2024.04724292833	423273.649043462	21.984
2024.06990747295	427593.641156233	20.627
2024.09257201756	629299.511487607	26.117
2024.11523656218	1114697.69694257	42.564
2024.1379011068	1088656.38650854	55.351
2024.16056565142	709919.926583766	50.597
2024.18323019603	354425.771623166	40.694
2024.20589474065	44574.128716285	13.287
2024.22855928527	40190.2246788371	4.193
2024.25122382989	72692.2553544508	4.531
2024.2738883745	34910.4404653298	9.081
2024.29655291912	9710.0943442207	6.275
2024.31921746374	33175.1872847246	0.894
2024.34188200835	59419.3252250997	0.408
2024.36454655297	65979.202684253	0.359
2024.38721109759	54320.8194181633	0.582
2024.40987564221	69221.7038677073	1.283
2024.43254018682	112349.137794092	2.024
2024.45520473144	158563.289767093	3.059
2024.47786927606	234382.35805082	3.825
2024.50053382068	249923.408154609	4.534
2024.52319836529	156245.589851318	6.296
2024.54586290991	110379.630891902	9.266
2024.56852745453	170175.566730075	7.685
2024.59119199914	100661.621727091	5.08
2024.61385654376	49419.6158578056	1.719
2024.63652108838	72218.8433268427	0.867
2024.659185633	54787.0567212007	1.05
2024.68185017761	51176.395398465	2.778
2024.70451472223	57266.8046363175	3.604
