time	diffusion_coefficient	number_of_branches
2022.46072480512	4418.70014169895	0
2022.48338934974	6502.1374159967	0
2022.50605389435	18742.3787298662	0
2022.52871843897	18101.5698458346	0
2022.55138298359	29224.4666520895	0
2022.57404752821	32978.2371549423	0
2022.59671207282	40328.1841222964	0
2022.61937661744	60659.139605238	0
2022.64204116206	92090.0472872674	0
2022.66470570667	123354.932295228	5
2022.68737025129	122770.252649751	4
2022.71003479591	104152.391396467	0
2022.73269934053	108952.292843108	0
2022.75536388514	124704.278322394	0
2022.77802842976	130395.368424241	0
2022.80069297438	124704.455040373	0
2022.823357519	143480.66095647	0
2022.84602206361	170092.891759348	0
2022.86868660823	31051.9441693087	0
2022.89135115285	115360.882504014	1
2022.91401569746	14030.0505257354	0
2022.93668024208	116323.861649309	1
2022.9593447867	14486.1256337367	2
2022.98200933132	814.981687590735	1
2023.00467387593	22555.6448198797	0
2023.02733842055	22720.6357771881	0
2023.05000296517	25830.6216317579	0
2023.07266750979	28729.7792648477	0
2023.0953320544	32616.5337587892	0
2023.11799659902	39739.8244544554	0
2023.14066114364	32055.5227285117	0
2023.16332568825	4055.07516873469	4
2023.18599023287	12071.7562839444	4
2023.20865477749	9680.53525154019	2
2023.23131932211	99910.5054566263	0
2023.25398386672	65527.902337955	0
2023.27664841134	59474.4503060569	1
2023.29931295596	131328.624256967	4
2023.32197750058	439674.079623776	7
2023.34464204519	528355.786438583	10
2023.36730658981	475164.938173214	8
2023.38997113443	418237.476873903	5
2023.41263567905	494918.389545717	5
2023.43530022366	779318.922451002	8
2023.45796476828	1460868.97158858	14
2023.4806293129	4242385.88135318	31
2023.50329385751	17783747.6739189	121
2023.52595840213	24970627.1809388	230
2023.54862294675	11797279.6415721	107
2023.57128749137	5690177.03503792	52
2023.59395203598	6309601.14018873	67
2023.6166165806	7683566.13788494	85
2023.63928112522	8310362.64361905	98
2023.66194566984	7647889.57299164	100
2023.68461021445	6513254.61663342	91
2023.70727475907	5515557.4568528	76
2023.72993930369	4533833.72665436	80
2023.7526038483	5255586.68466529	104
2023.77526839292	6904500.70952225	141
2023.79793293754	6286304.3873767	167
2023.82059748216	5042889.02596376	162
2023.84326202677	3002698.8441407	115
2023.86592657139	7087963.22997398	187
2023.88859111601	6956586.23701311	217
2023.91125566063	4022261.09064871	158
2023.93392020524	2102358.11375073	122
2023.95658474986	1269349.32192977	81
2023.97924929448	632233.594872526	53
2024.0019138391	388611.611441177	33
2024.02457838371	271028.034739096	27
2024.04724292833	325301.139163989	21
2024.06990747295	326558.798902447	20
2024.09257201756	484862.924038792	26
2024.11523656218	921568.628942794	43
2024.1379011068	959062.345283747	55
2024.16056565142	608663.465581325	51
2024.18323019603	287747.60750502	41
2024.20589474065	22629.2602668531	14
2024.22855928527	28239.4475057227	3
2024.25122382989	41981.5694550223	4
2024.2738883745	18438.5076015966	8
2024.29655291912	2438.83139791914	5
2024.31921746374	14708.7769668147	0
2024.34188200835	16010.9816832593	0
2024.36454655297	18185.7565385017	0
2024.38721109759	23558.5299607161	0
2024.40987564221	34197.9184816166	0
2024.43254018682	51772.3239237302	3
2024.45520473144	88107.2986732181	3
2024.47786927606	141802.156325245	3
2024.50053382068	156492.211678322	5
2024.52319836529	101062.726320067	6
2024.54586290991	74200.372774991	10
2024.56852745453	95783.7050054168	7
2024.59119199914	58847.6842204661	6
2024.61385654376	25827.721080842	3
2024.63652108838	31081.2845348462	0
2024.659185633	22335.3651322097	0
2024.68185017761	21721.2107610206	3
2024.70451472223	25477.9133733538	4
