node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,genotype
532,1046,0.00112853523425782,-97.6576272074604,46.2212889070566,-97.5862821717512,45.7430919049962,0.00112853523425782,0,2022.04288377191,2022.04401230714,NA,B32
1046,1047,0.00306189743696716,-97.5862821717512,45.7430919049962,-99.5119307235122,45.7631951915466,0.00419043267122499,0.00112853523425782,2022.04401230714,2022.04707420458,NA,B32
532,533,0.0110393938048783,-97.6576272074604,46.2212889070566,-98.2429095952313,46.5344224053879,0.0110393938048783,0,2022.04288377191,2022.05392316571,NA,B32
1046,1049,0.0154843137223613,-97.5862821717512,45.7430919049962,-101.573528288816,46.1455584267119,0.0166128489566191,0.00112853523425782,2022.04401230714,2022.05949662086,NA,B32
533,944,0.00819328565993693,-98.2429095952313,46.5344224053879,-98.406482348847,46.4554880199323,0.0192326794648152,0.0110393938048783,2022.05392316571,2022.06211645137,NA,B32
533,534,0.0154156177374118,-98.2429095952313,46.5344224053879,-97.7754371990908,48.4892590847694,0.0264550115422901,0.0110393938048783,2022.05392316571,2022.06933878345,NA,B32
534,535,0.000177400057423061,-97.7754371990908,48.4892590847694,-97.7077618590223,48.7142675852118,0.0266324115997132,0.0264550115422901,2022.06933878345,2022.06951618351,NA,B32
944,1033,0.00793075933751775,-98.406482348847,46.4554880199323,-97.8082157129926,46.311904761299,0.027163438802333,0.0192326794648152,2022.06211645137,2022.07004721071,NA,B32
944,945,0.010664177742393,-98.406482348847,46.4554880199323,-96.7509907678001,46.6448434628694,0.0298968572072082,0.0192326794648152,2022.06211645137,2022.07278062911,NA,B32
945,1032,0.00139786248162155,-96.7509907678001,46.6448434628694,-96.7654879991026,47.0996960566949,0.0312947196888298,0.0298968572072082,2022.07278062911,2022.0741784916,NA,B32
1033,1034,0.00454467888387633,-97.8082157129926,46.311904761299,-97.7186439945527,46.0961016054061,0.0317081176862093,0.027163438802333,2022.07004721071,2022.07459188959,NA,B32
1033,1036,0.00544431616565166,-97.8082157129926,46.311904761299,-97.8825612399875,45.5853682959203,0.0326077549679846,0.027163438802333,2022.07004721071,2022.07549152688,NA,B32
1047,1048,0.0295739093404279,-99.5119307235122,45.7631951915466,-94.1513824847942,42.1808340881884,0.0337643420116529,0.00419043267122499,2022.04707420458,2022.07664811392,NA,B32
535,536,0.00723112061972131,-97.7077618590223,48.7142675852118,-97.3371927384631,48.8476946962819,0.0338635322194345,0.0266324115997132,2022.06951618351,2022.07674730413,NA,B32
1036,1037,0.00189412883811579,-97.8825612399875,45.5853682959203,-99.5319268909994,46.2727633660838,0.0345018838061004,0.0326077549679846,2022.07549152688,2022.07738565571,NA,B32
