time	diffusion_coefficient	number_of_branches
2024.00500538894	29842.4735864855	16
2024.00888182103	111626.05234577	18
2024.01275825313	232803.420618796	20
2024.01663468523	354401.121427841	24
2024.02051111732	445103.038185081	26
2024.02438754942	485577.565658474	28
2024.02826398152	466493.684407566	28
2024.03214041361	433890.608563185	30
2024.03601684571	377386.420649587	35
2024.0398932778	331810.063865002	41
2024.0437697099	298789.386968815	45
2024.047646142	254506.182867874	51
2024.05152257409	186484.678398239	57
2024.05539900619	117952.544959469	65
2024.05927543828	66705.2059655603	76
2024.06315187038	28434.4802879428	87
2024.06702830248	21898.3784742447	100
2024.07090473457	21712.3434367758	104
2024.07478116667	21640.5920446134	109
2024.07865759877	21236.4293262155	116
2024.08253403086	21221.9312712123	119
2024.08641046296	21298.2107955704	122
2024.09028689505	20604.8132837434	125
2024.09416332715	20298.4268747416	130
2024.09803975925	19889.1608137831	126
2024.10191619134	19302.3616780182	124
2024.10579262344	18104.7123892245	124
2024.10966905554	16466.531402529	104
2024.11354548763	16353.2983728557	103
2024.11742191973	18035.0328244093	95
2024.12129835182	19126.4219350525	95
2024.12517478392	19417.2878851599	89
2024.12905121602	18724.0591236754	91
2024.13292764811	19709.5403406425	91.5
2024.13680408021	20410.6902283369	88
2024.14068051231	19622.2593892947	86
2024.1445569444	19746.9182111121	80
2024.1484333765	19155.906028697	80
2024.15230980859	18945.4755689742	78
2024.15618624069	18023.3084093905	77
2024.16006267279	16839.1737163303	77
2024.16393910488	14714.9674969937	73
2024.16781553698	14286.2694506948	63
2024.17169196907	14984.8726839505	63
2024.17556840117	12785.3362060083	60
2024.17944483327	13130.3828339137	53
2024.18332126536	12408.5896075478	53
2024.18719769746	12062.6801454637	51
2024.19107412956	11326.7752636256	47
2024.19495056165	10769.0848365935	44
2024.19882699375	9560.60795045584	45
2024.20270342584	9300.24663001327	36
2024.20657985794	9375.93443403198	35
2024.21045629004	8598.08024914343	33
2024.21433272213	6741.61302457624	27
2024.21820915423	5777.794900438	23
2024.22208558633	4664.64981100592	23
2024.22596201842	4984.38422083508	23
2024.22983845052	4853.84172003617	23
2024.23371488261	4808.2177028905	22
2024.23759131471	6287.89705379356	21
2024.24146774681	7391.38573184037	22
2024.2453441789	7053.35994927567	22
2024.249220611	6002.17254008115	20
2024.25309704309	6152.20417860939	18
2024.25697347519	6393.51913308505	16
2024.26084990729	5662.27126935973	18
2024.26472633938	5285.87953814542	18
2024.26860277148	4881.82073514173	19
2024.27247920358	4299.28868022572	19
2024.27635563567	3222.07621230803	18
2024.28023206777	1326.9816336145	17
2024.28410849986	1778.35188880689	9
2024.28798493196	1767.47261695413	9
2024.29186136406	1621.11187417522	9
2024.29573779615	1554.397706547	11
2024.29961422825	2357.82313494795	8
2024.30349066035	3606.54086847179	8
2024.30736709244	3647.24599050475	9
2024.31124352454	4029.86896356258	6
2024.31511995663	3780.52228469573	6
2024.31899638873	4143.47082479764	5
2024.32287282083	3650.00001034233	5
2024.32674925292	2903.77171414665	5
2024.33062568502	2563.56883215661	4
2024.33450211712	2010.00186931361	4
2024.33837854921	1442.77614361226	4
2024.34225498131	713.570479030175	4
2024.3461314134	150.461084060604	1
2024.3500078455	NA	0
2024.3538842776	NA	0
2024.35776070969	NA	0
2024.36163714179	NA	0
2024.36551357388	NA	0
2024.36939000598	NA	0
2024.37326643808	1021.43946380659	1
2024.37714287017	918.032253477541	1
2024.38101930227	814.616830261263	1
2024.38489573437	711.193195598943	1
2024.38877216646	607.761351193321	1
