time	diffusion_coefficient	number_of_branches
2024.00500538894	125275.088578205	16
2024.00888182103	253285.549663178	18
2024.01275825313	556555.226627497	20
2024.01663468523	839968.712286077	24
2024.02051111732	1116406.21112457	26
2024.02438754942	1268347.46373006	28
2024.02826398152	1236226.10920085	28
2024.03214041361	1205815.77583299	30
2024.03601684571	1194213.22546525	35
2024.0398932778	1143620.77385862	41
2024.0437697099	1113000.2623106	45
2024.047646142	1040441.46934398	51
2024.05152257409	909924.216346999	57
2024.05539900619	711633.575038832	65
2024.05927543828	565603.292615242	76
2024.06315187038	474470.637859871	87
2024.06702830248	595467.435954443	100
2024.07090473457	622706.97352992	104
2024.07478116667	657011.714143172	109
2024.07865759877	669031.649543509	116
2024.08253403086	699436.641171848	119
2024.08641046296	706370.618952937	122
2024.09028689505	695591.220878286	125
2024.09416332715	688857.314107779	130
2024.09803975925	656849.372944554	126
2024.10191619134	633221.565391557	124
2024.10579262344	587848.224861016	124
2024.10966905554	499519.698626334	104
2024.11354548763	515655.313053372	103
2024.11742191973	529157.830689435	95
2024.12129835182	552517.422002587	95
2024.12517478392	568687.728240991	89
2024.12905121602	561092.574501211	91
2024.13292764811	571364.856969668	91.5
2024.13680408021	580349.032225769	88
2024.14068051231	547802.522021963	86
2024.1445569444	510456.863132462	80
2024.1484333765	486701.111359582	80
2024.15230980859	458766.303208081	78
2024.15618624069	418091.877069848	77
2024.16006267279	349361.252761722	77
2024.16393910488	304809.819173151	73
2024.16781553698	264895.430011722	63
2024.17169196907	249324.762290124	63
2024.17556840117	210969.061850491	60
2024.17944483327	195570.979457238	53
2024.18332126536	183162.608431367	53
2024.18719769746	170423.747564763	51
2024.19107412956	152546.835640999	47
2024.19495056165	136179.901236889	44
2024.19882699375	117428.417662229	45
2024.20270342584	101186.592345003	36
2024.20657985794	97083.0091020205	35
2024.21045629004	83202.0688692389	33
2024.21433272213	63905.6154795835	27
2024.21820915423	51987.7781063467	23
2024.22208558633	46571.5341106052	23
2024.22596201842	54409.7795503823	23
2024.22983845052	51203.7500505177	23
2024.23371488261	50825.0619970572	22
2024.23759131471	51973.3494633826	21
2024.24146774681	54597.1513116426	22
2024.2453441789	49064.5625124392	22
2024.249220611	41989.2131393398	20
2024.25309704309	36939.6359626852	18
2024.25697347519	34177.3425783193	16
2024.26084990729	34705.1999987718	18
2024.26472633938	32178.8862948431	18
2024.26860277148	27736.8477862489	19
2024.27247920358	23995.6277704812	19
2024.27635563567	18529.4965757444	18
2024.28023206777	9925.32236893557	17
2024.28410849986	9346.32351735305	9
2024.28798493196	9677.59245681716	9
2024.29186136406	9370.34567786806	9
2024.29573779615	9096.59285600581	11
2024.29961422825	9822.21845873539	8
2024.30349066035	15608.1261271509	8
2024.30736709244	18128.4635607623	9
2024.31124352454	16798.206035293	6
2024.31511995663	15744.4204757967	6
2024.31899638873	14153.7234161953	5
2024.32287282083	12244.3265758005	5
2024.32674925292	9757.92354712031	5
2024.33062568502	7441.04059464238	4
2024.33450211712	6152.55197551943	4
2024.33837854921	4434.42094517999	4
2024.34225498131	2157.20546985546	4
2024.3461314134	150.461084060604	1
2024.3500078455	NA	0
2024.3538842776	NA	0
2024.35776070969	NA	0
2024.36163714179	NA	0
2024.36551357388	NA	0
2024.36939000598	NA	0
2024.37326643808	1021.43946380659	1
2024.37714287017	918.032253477541	1
2024.38101930227	814.616830261263	1
2024.38489573437	711.193195598943	1
2024.38877216646	607.761351193321	1
