time	diffusion_coefficient	number_of_branches
2023.49370310542	27393.005128197	0
2023.50271825393	24357.3870630577	0
2023.51173340244	8255.18729947957	0
2023.52074855096	10670.241461608	0
2023.52976369947	18181.522457887	0
2023.53877884798	36048.5219547962	0
2023.5477939965	35929.3923089967	0
2023.55680914501	49986.0597029659	0
2023.56582429352	49889.9334828005	0
2023.57483944204	48582.7790225469	0
2023.58385459055	42373.460157975	0
2023.59286973907	49591.0195080027	0
2023.60188488758	67567.1417412577	0
2023.61090003609	70793.5144086416	0
2023.61991518461	91866.3364629606	2
2023.62893033312	121768.056420924	2
2023.63794548163	169000.950346042	3
2023.64696063015	216093.48676504	4
2023.65597577866	313315.124425234	5
2023.66499092717	481085.008700286	8
2023.67400607569	831957.823111972	12
2023.6830212242	1517410.67636968	19
2023.69203637271	2438362.64517926	50
2023.70105152123	2465473.40580349	50
2023.71006666974	2489251.00699062	49
2023.71908181825	2293501.30260391	47
2023.72809696677	1708834.14356093	38
2023.73711211528	421863.150629616	9
2023.74612726379	341962.433998858	9
2023.75514241231	305450.22386107	9
2023.76415756082	266798.648533035	9
2023.77317270934	229196.757322665	9
2023.78218785785	365869.422737798	10
2023.79120300636	334131.755482546	10
2023.80021815488	295742.146067908	10
2023.80923330339	259789.339108496	10
2023.8182484519	234904.795949999	10
2023.82726360042	238405.348449339	11
2023.83627874893	274041.555199771	12
2023.84529389744	376464.894728282	15
2023.85430904596	486628.623143223	17
2023.86332419447	722868.574747111	20
2023.87233934298	600762.058333993	22
2023.8813544915	692515.793920789	25
2023.89036964001	526018.413113017	26
2023.89938478852	380728.716384528	26
2023.90839993704	334695.94441835	24
2023.91741508555	290056.671340634	26
2023.92643023406	270998.154142583	25
2023.93544538258	276448.858472701	25
2023.94446053109	270441.091973143	24
2023.95347567961	378576.10825233	27
2023.96249082812	358994.753567836	28
2023.97150597663	346579.2387709	26
2023.98052112515	315163.817704639	29
2023.98953627366	311555.016949062	30
2023.99855142217	335502.378504953	32
2024.00756657069	469017.430031253	37.5
2024.0165817192	770367.252065513	42.5
2024.02559686771	1096260.89892778	45
2024.03461201623	1019229.76833986	51
2024.04362716474	984278.054800557	61
2024.05264231325	811198.928117392	73
2024.06165746177	543668.162841625	97
2024.07067261028	739149.566135555	117
2024.07968775879	811977.358895531	132
2024.08870290731	798129.746644614	137
2024.09771805582	726219.964659645	136
2024.10673320433	610321.238170235	133
2024.11574835285	549401.003311203	114
2024.12476350136	603409.05775169	94
2024.13377864988	588005.810488747	96
2024.14279379839	528074.303188039	87
2024.1518089469	465744.945937035	84
2024.16082409542	337808.985962887	78
2024.16983924393	264661.125687465	67
2024.17885439244	200763.961798899	57
2024.18786954096	168468.973782717	53
2024.19688468947	126359.080996717	48
2024.20589983798	96354.0010202849	37
2024.2149149865	61544.767559342	29
2024.22393013501	45412.4551583453	22
2024.23294528352	49570.9873914081	22
2024.24196043204	54805.5777028238	22
2024.25097558055	39724.8977362348	19
2024.25999072906	30149.6341698619	18
2024.26900587758	28879.3315168544	19
2024.27802102609	18806.081721435	17
2024.2870361746	14571.3883959032	9
2024.29605132312	57343.5064303958	13
2024.30506647163	64110.8203284193	10
2024.31408162015	46329.1766804323	8
2024.32309676866	28117.4865370134	7
2024.33211191717	9614.8438016229	5
2024.34112706569	2911.10268668898	4
2024.3501422142	NA	0
2024.35915736271	NA	0
2024.36817251123	NA	0
2024.37718765974	916.83740479252	1
2024.38620280825	676.318469662064	1
