trait,latitude,longitude,state,county
A/pintail/Florida/23-038109-023-original/2023|H5N1|USA-FL|2023-11-25|avian|C2.1,28.3,-80.7,USA-FL,Brevard
A/lesser_scaup/Florida/23-038112-015-original/2023|H5N1|USA-FL|2023-11-18|avian|C2.1,28.3,-80.7,USA-FL,Brevard
A/ring-necked_duck/Florida/23-038112-052-original/2023|H5N1|USA-FL|2023-11-18|avian|C2.1,28.3,-80.7,USA-FL,Brevard
A/blue-winged_teal/Florida/23-038112-097-original/2023|H5N1|USA-FL|2023-11-18|avian|C2.1,28.3,-80.7,USA-FL,Brevard
A/domestic_duck/Florida/24-012642-001-original/2024|H5N1|USA-FL|2024-04-24|avian|C2.1,29.98,-81.86,USA-FL,Clay
A/hooded_merganser/South_Carolina/W24-028/2024|H5N1|USA-SC|2024-01-10|avian|C2.1,33.42,-79.3,USA-SC,Georgetown
A/chicken/South_Carolina/24-001707-001-original/2024|H5N1|USA-SC|2024-01-09|avian|C2.1,33.44,-80.8,USA-SC,Orangeburg
A/chicken/South_Carolina/24-001707-002-original/2024|H5N1|USA-SC|2024-01-18|avian|C2.1,33.44,-80.8,USA-SC,Orangeburg
A/wood_duck/Mississippi/24-004128-001-original/2024|H5N1|USA-MS|2024-01-29|avian|C2.1,33.55,-90.3,USA-MS,Leflore
A/wood_duck/Mississippi/24-004128-003-original/2024|H5N1|USA-MS|2024-01-29|avian|C2.1,33.55,-90.3,USA-MS,Leflore
A/wood_duck/Mississippi/24-004128-004-original/2024|H5N1|USA-MS|2024-01-29|avian|C2.1,33.55,-90.3,USA-MS,Leflore
A/wood_duck/Mississippi/24-004128-007-original/2024|H5N1|USA-MS|2024-01-29|avian|C2.1,33.55,-90.3,USA-MS,Leflore
A/wood_duck/Mississippi/24-004128-008-original/2024|H5N1|USA-MS|2024-01-29|avian|C2.1,33.55,-90.3,USA-MS,Leflore
A/wood_duck/Mississippi/24-004128-011-original/2024|H5N1|USA-MS|2024-01-29|avian|C2.1,33.55,-90.3,USA-MS,Leflore
A/wood_duck/South_Carolina/W23-970B/2023|H5N1|USA-SC|2023-12-20|avian|C2.1,33.66,-80.22,USA-SC,Clarendon
A/wood_duck/South_Carolina/W24-007C/2023|H5N1|USA-SC|2023-12-20|avian|C2.1,33.66,-80.22,USA-SC,Clarendon
A/wood_duck/South_Carolina/W24-007E/2023|H5N1|USA-SC|2023-12-20|avian|C2.1,33.66,-80.22,USA-SC,Clarendon
A/wood_duck/Mississippi/24-004235-001/2024|H5N1|USA-MS|2024-02-05|avian|C2.1,33.77,-89.8,USA-MS,Grenada
A/wood_duck/Mississippi/24-004235-002-original/2024|H5N1|USA-MS|2024-02-05|avian|C2.1,33.77,-89.8,USA-MS,Grenada
A/wood_duck/Mississippi/24-004235-003-original/2024|H5N1|USA-MS|2024-02-05|avian|C2.1,33.77,-89.8,USA-MS,Grenada
A/chicken/South_Carolina/24-001296-005/2024|H5N1|USA-SC|2024-01-11|avian|C2.1,33.91,-78.98,USA-SC,Horry
A/guinea_fowl/South_Carolina/24-001296-006/2024|H5N1|USA-SC|2024-01-11|avian|C2.1,33.91,-78.98,USA-SC,Horry
A/wood_duck/North_Carolina/W24-026/2024|H5N1|USA-NC|2024-01-04|avian|C2.1,34.86,-76.54,USA-NC,Carteret
A/turkey/North_Carolina/24-005140-001-original/2024|H5N1|USA-NC|2024-02-15|avian|C2.1,34.93,-77.93,USA-NC,Duplin
A/turkey/North_Carolina/24-005140-002-original/2024|H5N1|USA-NC|2024-02-15|avian|C2.1,34.93,-77.93,USA-NC,Duplin
A/green-winged_teal/North_Carolina/24-004327-001-original/2024|H5N1|USA-NC|2024-01-30|avian|C2.1,35.15,-76.67,USA-NC,Pamlico
A/turkey/North_Carolina/24-004217-001-original/2024|H5N1|USA-NC|2024-02-08|avian|C2.1,35.24,-77.64,USA-NC,Lenoir
A/American_wigeon/North_Carolina/24-002161-002-original/2024|H5N1|USA-NC|2024-01-13|avian|C2.1,35.41,-76.15,USA-NC,Hyde
A/wood_duck/North_Carolina/W24-011A/2023|H5N1|USA-NC|2023-12-21|avian|C2.1,35.41,-76.15,USA-NC,Hyde
A/redhead_duck/North_Carolina/W24-83A/2024|H5N1|USA-NC|2024-01-18|avian|C2.1,35.61,-75.77,USA-NC,Dare
A/American_white_pelican/North_Carolina/W24-84/2024|H5N1|USA-NC|2024-01-23|avian|C2.1,35.61,-75.77,USA-NC,Dare
A/Canada_goose/North_Carolina/W24-90A/2024|H5N1|USA-NC|2024-02-06|avian|C2.1,35.61,-82.53,USA-NC,Buncombe
A/Canada_goose/Virginia/24-004375-001-original/2024|H5N1|USA-VA|2024-02-06|avian|C2.1,37.55,-77.92,USA-VA,Powhatan
A/chicken/Maryland/23-036657-001/2023|H5N1|USA-MD|2023-11-19|avian|C2.1,38.866667,-75.816667,USA-MD,Caroline
A/chicken/Maryland/23-036719-001/2023|H5N1|USA-MD|2023-11-16|avian|C2.1,38.866667,-75.816667,USA-MD,Caroline
A/chicken/Pennsylvania/24-003804-001-original/2024|H5N1|USA-PA|2024-02-03|avian|C2.1,40.043889,-75.387778,USA-PA,Wayne
A/chicken/Pennsylvania/24-003804-003-original/2024|H5N1|USA-PA|2024-02-03|avian|C2.1,40.043889,-75.387778,USA-PA,Wayne
A/pheasant/Pennsylvania/23-040876-001-original/2023|H5N1|USA-PA|2023-12-21|avian|C2.1,40.893889,-76.796111,USA-PA,Northumberland
A/peafowl/Ohio/24-005906-001-original/2024|H5N1|USA-OH|2024-02-23|avian|C2.1,41.02,-80.77,USA-OH,Mahoning
A/poultry/Ohio/24-005906-002-original/2024|H5N1|USA-OH|2024-02-23|avian|C2.1,41.02,-80.77,USA-OH,Mahoning
A/Great_Black-Backed_Gull/Massachusetts/24WP00029/2024|H5N1|USA-MA|2024-03-18|avian|C2.1,41.282778,-70.099444,USA-MA,Nantucket
