# BEAST v10.5.0-beta5 Prerelease #fb0d1ded5
# Generated Wed Jun 04 13:36:43 CEST 2025 [seed=1749036992162]
# -overwrite D11_RRW_pols.xml
state	joint	prior	likelihood	Current Tree	location.precision.col11	location.precision.col12	location.precision.col21	location.precision.col22	correlation	location.varCovar.location.precision.col11	location.varCovar.location.precision.col12	location.varCovar.location.precision.col21	location.varCovar.location.precision.col22	location.diffusionRate	location.traitLikelihood
0	-4280671.973458983	-998.517218701209	-4279673.456240281	957.0	0.05	0.002	0.002	0.05	-0.04	20.03205128205128	-0.8012820512820512	-0.8012820512820512	20.03205128205128	6327.909219357039	-4279673.456240281
10000	-2671.8360809434616	-738.9601771525979	-1932.8759037908635	174.0	1.259233201459195E-4	3.432255887365735E-5	3.432255887365735E-5	4.570801287587676E-5	-0.4524081345107426	9985.002395668003	-7497.828302218681	-7497.8283022186815	27508.18891956385	8876.158528665734	-1932.8759037908635
20000	-2455.045927909923	-622.1009242303504	-1832.945003679573	595.0	1.287179370728142E-4	4.660663933887091E-5	4.660663933887091E-5	7.397953838486268E-5	-0.4776089367432005	10064.81233003222	-6340.767846359188	-6340.767846359188	17511.894618848488	7095.0563600511305	-1832.945003679573
30000	-2372.2302823028713	-623.5592300794217	-1748.6710522234496	696.0	2.306223637944439E-4	6.237791955821908E-5	6.237791955821908E-5	6.924589204271856E-5	-0.49360911321625117	5732.918194614526	-5164.31371491183	-5164.313714911831	19093.39466183114	6316.235146355118	-1748.6710522234496
40000	-2529.8182066959116	-667.8945793873014	-1861.9236273086103	24.0	2.2232667852242093E-4	6.803276717947525E-5	6.803276717947525E-5	5.493255626059371E-5	-0.6156125167383915	7242.724631604033	-8969.955744812853	-8969.955744812853	29313.23463554481	6928.761104908807	-1861.9236273086103
50000	-2399.477737011665	-661.75007864263	-1737.7276583690348	490.0	2.3587734186220253E-4	7.282304111935006E-5	7.282304111935006E-5	8.627140845643297E-5	-0.5104958955076464	5733.738575236779	-4839.938138287534	-4839.938138287534	15676.793021672005	6396.81957275035	-1737.7276583690348
60000	-2343.503338820847	-531.0025435911817	-1812.5007952296653	968.0	1.734236329325735E-4	4.806344970603104E-5	4.806344970603104E-5	5.864832321036407E-5	-0.4765769119091851	7460.754877196601	-6114.234767172274	-6114.234767172274	22061.52101880048	6530.184547716669	-1812.5007952296653
70000	-2490.3664142798507	-609.9023480502993	-1880.4640662295512	334.0	1.0713500639147414E-4	4.1800823226968256E-5	4.1800823226968256E-5	5.4522662912457814E-5	-0.5469285640151784	13317.774546364883	-10210.32190748001	-10210.321907480007	26168.932053738805	6908.207372152533	-1880.4640662295512
80000	-2400.2836007389706	-598.1557477127877	-1802.127853026183	142.0	1.7162992372286309E-4	5.0823454261457935E-5	5.0823454261457935E-5	7.126315722198963E-5	-0.4595525121736247	7386.4160003405	-5267.84372715904	-5267.84372715904	17789.41691812376	6509.938164165319	-1802.127853026183
90000	-2429.0033895272745	-563.177645799301	-1865.8257437279738	96.0	1.5368121097357034E-4	4.842786840307148E-5	4.842786840307148E-5	5.476248012643165E-5	-0.527889972302231	9020.77644955413	-7977.304420543957	-7977.304420543957	25315.2129978171	8031.657689286656	-1865.8257437279738
100000	-2359.4083317995337	-612.3284687092087	-1747.0798630903248	357.0	2.811637348072218E-4	1.2046947421625576E-4	1.2046947421625576E-4	1.0215744865613295E-4	-0.7108244277265119	7189.0855223097005	-8477.750417236488	-8477.750417236486	19786.223734942254	7090.134965025198	-1747.0798630903248
110000	-2387.2049028431566	-581.2453598695266	-1805.95954297363	666.0	1.9921854684434767E-4	4.069532025928328E-5	4.069532025928328E-5	4.894523598231981E-5	-0.41212064728714826	6046.585825818037	-5027.409546984173	-5027.409546984173	24611.017138097497	6840.827137385506	-1805.95954297363
120000	-2507.457483678265	-600.6661440765369	-1906.7913396017282	856.0	1.7611681030707413E-4	4.7197524614871424E-5	4.7197524614871424E-5	4.789821663187912E-5	-0.5138769574273813	7715.470279131591	-7602.602435353676	-7602.602435353675	28368.98972717302	7177.062574521056	-1906.7913396017282
130000	-2347.7571105467937	-605.212933709316	-1742.5441768374778	253.0	2.6708295643158663E-4	6.591272498876522E-5	6.591272498876522E-5	7.359675573895886E-5	-0.4701287862746401	4806.490821227982	-4304.658601858991	-4304.658601858991	17442.776732552404	6034.720730373295	-1742.5441768374778
140000	-2519.3359177945495	-696.31022353337	-1823.0256942611793	405.0	1.7912944372138346E-4	4.247800000157923E-5	4.247800000157923E-5	7.50803390965139E-5	-0.3662835876016988	6447.587081212079	-3647.8338715791133	-3647.8338715791137	15382.891194964312	6120.615396727628	-1823.0256942611793
150000	-2427.560494759755	-595.4738948172087	-1832.0865999425462	534.0	1.839226348983852E-4	4.405582660180909E-5	4.405582660180909E-5	5.325495672620732E-5	-0.4451493525550816	6780.722794045734	-5609.437431058976	-5609.437431058976	23418.071846497376	6540.668717723882	-1832.0865999425462
