time	95%HPD_lower_value	95%HPD_higher_value
2024.8397117712	739622.728955939	11729167.2735809
2024.84245164051	1083116.67048639	13491143.7609001
2024.84519150981	1558674.92576079	15073287.7174136
2024.84793137912	1780510.57943266	16727727.6075827
2024.85067124843	2545532.45861083	18745843.7797209
2024.85341111773	3242666.10657188	20882870.1046222
2024.85615098704	5026234.5069855	24410246.6039919
2024.85889085634	6638932.64226365	28361521.6779077
2024.86163072565	8397738.80106759	32580690.8504897
2024.86437059495	8806913.87115546	34327392.2921839
2024.86711046426	10777162.1157728	37411396.6720632
2024.86985033357	11907542.5313955	39244411.3999919
2024.87259020287	13135860.1827323	42603294.2776843
2024.87533007218	12588993.4655199	44562572.9642466
2024.87806994148	15351345.004177	49894433.5511467
2024.88080981079	17495565.3603306	53468301.4246467
2024.88354968009	19526304.1081086	58272748.5316016
2024.8862895494	23713200.6949679	66214719.7801966
2024.88902941871	23123640.6044028	67697403.885525
2024.89176928801	24072111.3001029	67644938.1278901
2024.89450915732	26215771.9190313	71333508.2948134
2024.89724902662	26646999.7706718	71075550.5639476
2024.89998889593	26306751.6542414	70731529.8774904
2024.90272876523	26295750.0021962	71270607.7571793
2024.90546863454	27936640.7298364	74378603.1981769
2024.90820850385	29064971.6654532	75096727.3030665
2024.91094837315	29853406.8771529	74938434.1192865
2024.91368824246	31678171.570941	77588323.2207521
2024.91642811176	30657132.975778	75971948.225085
2024.91916798107	28952683.9167734	73762545.0391914
2024.92190785037	27342210.817247	70800871.9514864
2024.92464771968	28909087.1052355	71469739.6670327
2024.92738758899	31142202.0310335	74327478.0431085
2024.93012745829	31238250.1034393	77763039.5157766
2024.9328673276	31993648.0529708	78804439.1094735
2024.9356071969	38617014.456622	89350457.6589077
2024.93834706621	43416290.3619767	94358191.633847
2024.94108693551	42992621.870041	96296454.0611944
2024.94382680482	44829411.3617314	98418656.2240726
2024.94656667413	45268056.0383536	96347450.6316714
2024.94930654343	41433487.7298539	93014423.3197349
2024.95204641274	41933742.1971445	94342628.6147164
2024.95478628204	40014177.3356922	93549089.1619602
2024.95752615135	43445124.6304462	97710012.0932244
2024.96026602065	41549675.5076177	98089001.6737124
2024.96300588996	45224040.649054	103938761.550343
2024.96574575927	43219076.4601164	100514510.016966
2024.96848562857	41458131.3773818	97104351.3271559
2024.97122549788	37310799.2121318	89748688.9070918
2024.97396536718	35774561.8348036	86699184.221465
2024.97670523649	30366953.5764474	77310268.885272
2024.97944510579	25501862.3612726	68700686.2489645
2024.9821849751	24916730.186046	66475895.9564328
2024.9849248444	22296301.4934228	60872631.0168845
2024.98766471371	20893453.5460518	57546772.3984932
2024.99040458302	19546900.9922205	54574527.8219762
2024.99314445232	18731817.5665675	51516687.3994085
2024.99588432163	15234497.4330386	45443883.242505
2024.99862419093	12855702.2595639	40004134.4503293
2025.00136406024	9205757.29224537	32494183.964405
2025.00410392954	5920257.16037746	23488054.41348
2025.00684379885	4551284.77871461	18800438.2355196
2025.00958366816	3345953.6188422	14976151.8077897
2025.01232353746	2235241.48317068	11458444.34025
2025.01506340677	1441670.43932475	8701997.07594802
2025.01780327607	680979.092226857	6279944.07548588
2025.02054314538	337099.056600827	4806990.70959892
2025.02328301468	73022.7653809573	4008100.59286381
2025.02602288399	26497.9913511511	3244297.64594693
2025.0287627533	14022.7761239807	2207186.13940749
2025.0315026226	1243.32456824127	1123528.15186942
2025.03424249191	6.76044045883242	110348.889976041
2025.03698236121	NA	NA
2025.03972223052	NA	NA
2025.04246209982	NA	NA
2025.04520196913	NA	NA
2025.04794183844	NA	NA
2025.05068170774	NA	NA
2025.05342157705	NA	NA
2025.05616144635	NA	NA
2025.05890131566	NA	NA
2025.06164118496	NA	NA
2025.06438105427	NA	NA
2025.06712092358	NA	NA
2025.06986079288	NA	NA
2025.07260066219	3.33289537437671	185249.753326901
2025.07534053149	3.11223012788909	173049.068103715
2025.0780804008	2.8915654846233	160839.209646393
2025.0808202701	2.67090145790176	148620.195444169
2025.08356013941	2.4502380657802	136392.04298736
2025.08630000872	2.22957500717834	124154.769762819
2025.08903987802	2.00891275412145	111908.393255172
2025.09177974733	0.480763048989172	241890.281048096
2025.09451961663	0.448931937466774	216910.489962801
2025.09725948594	0.417100940380171	199547.715603754
2025.09999935524	0.385270086092425	184007.265881951
2025.10273922455	0.353439042014977	168281.309348172
2025.10547909386	0.321608078118918	150538.708734835
2025.10821896316	0.289777401907844	133821.176356715
2025.11095883247	0.243636106835908	116559.917684836
