time	diffusion_coefficient	number_of_branches
2024.8397117712	468488.049944628	26
2024.84245164051	506366.650904263	30
2024.84519150981	525393.658180694	32
2024.84793137912	561207.432676493	36
2024.85067124843	587299.935479636	40
2024.85341111773	608703.758905748	44
2024.85615098704	635815.490276184	50
2024.85889085634	722361.316589462	56
2024.86163072565	822301.473304548	59
2024.86437059495	942148.697092023	63
2024.86711046426	970882.567527834	67
2024.86985033357	958169.42812584	71
2024.87259020287	936734.639831321	75
2024.87533007218	1013666.33905448	80
2024.87806994148	1032907.56730458	85
2024.88080981079	1091596.66150463	91
2024.88354968009	1190191.82030148	97
2024.8862895494	1280055.81671449	101
2024.88902941871	1358188.05388172	104
2024.89176928801	1335260.81828901	108
2024.89450915732	1334689.9053323	113
2024.89724902662	1305757.29251107	117
2024.89998889593	1243937.36670491	122
2024.90272876523	1218149.93249951	123
2024.90546863454	1263913.3034702	130
2024.90820850385	1284247.98254299	131
2024.91094837315	1265800.55480109	134
2024.91368824246	1320123.67580369	139
2024.91642811176	1295940.82012821	142
2024.91916798107	1272875.30095087	141
2024.92190785037	1283262.10144367	136
2024.92464771968	1270275.68362305	149
2024.92738758899	1212883.46589524	158
2024.93012745829	1251377.07924291	167
2024.9328673276	1232430.96912852	173
2024.9356071969	1393618.89943106	189
2024.93834706621	1501096.00408095	198
2024.94108693551	1516745.99964243	205
2024.94382680482	1503236.44906072	210
2024.94656667413	1452303.88141615	214
2024.94930654343	1386701.1082483	212
2024.95204641274	1368837.89614268	212
2024.95478628204	1329908.70528872	217
2024.95752615135	1328770.65460555	214
2024.96026602065	1346814.55419693	216.5
2024.96300588996	1412406.26105656	218
2024.96574575927	1421646.89324224	214
2024.96848562857	1325400.53866954	207
2024.97122549788	1324149.97687829	192
2024.97396536718	1264608.02999987	180
2024.97670523649	1188996.3763208	173
2024.97944510579	1040966.61818543	154
2024.9821849751	946481.710725335	141
2024.9849248444	887714.635610436	133
2024.98766471371	897688.584470094	122
2024.99040458302	881874.701631275	118
2024.99314445232	834046.586248802	115
2024.99588432163	747645.795965309	108
2024.99862419093	712141.749542335	97
2025.00136406024	619143.435481047	91
2025.00410392954	460436.618836877	84
2025.00684379885	462423.75041193	57
2025.00958366816	389121.027983737	48
2025.01232353746	289063.879796352	44
2025.01506340677	191238.488296518	40
2025.01780327607	130777.785113108	33
2025.02054314538	168171.23945429	17
2025.02328301468	90863.8398622372	16
2025.02602288399	94364.8162051059	9
2025.0287627533	100561.339029381	5
2025.0315026226	34952.6328087466	5
2025.03424249191	4605.1995981372	3
2025.03698236121	NA	0
2025.03972223052	NA	0
2025.04246209982	NA	0
2025.04520196913	NA	0
2025.04794183844	NA	0
2025.05068170774	NA	0
2025.05342157705	NA	0
2025.05616144635	NA	0
2025.05890131566	NA	0
2025.06164118496	NA	0
2025.06438105427	NA	0
2025.06712092358	NA	0
2025.06986079288	NA	0
2025.07260066219	36409.7096444148	1
2025.07534053149	34004.3841581804	1
2025.0780804008	31598.3109027059	1
2025.0808202701	29191.4905233576	1
2025.08356013941	26783.9236659681	1
2025.08630000872	24375.6109759583	1
2025.08903987802	21966.5530987921	1
2025.09177974733	27163.697817816	1
2025.09451961663	24221.5339935508	1
2025.09725948594	21173.1930047162	1
2025.09999935524	18454.6076988057	1
2025.10273922455	15178.0498789586	1
2025.10547909386	11804.0228650758	1
2025.10821896316	8598.08885960331	1
2025.11095883247	5106.47890452681	1
