time	diffusion_coefficient	number_of_branches
2024.8397117712	5077729.695312	26
2024.84245164051	6097656.84422427	30
2024.84519150981	7112847.75047738	32
2024.84793137912	8188766.47805987	36
2024.85067124843	9465102.59094869	40
2024.85341111773	11000179.5267717	44
2024.85615098704	12867317.9644352	50
2024.85889085634	15497766.0991566	56
2024.86163072565	17524795.4796844	59
2024.86437059495	19818132.1869759	63
2024.86711046426	21424060.7961562	67
2024.86985033357	22730407.1996077	71
2024.87259020287	24311716.0156628	75
2024.87533007218	27338542.6771204	80
2024.87806994148	30198454.8538071	85
2024.88080981079	34015438.0748964	91
2024.88354968009	37376277.3829486	97
2024.8862895494	40943878.739213	101
2024.88902941871	43457216.4943233	104
2024.89176928801	44088474.261345	108
2024.89450915732	45483499.3045523	113
2024.89724902662	45813266.3273156	117
2024.89998889593	45307927.7686038	122
2024.90272876523	45922032.174752	123
2024.90546863454	47107656.856029	130
2024.90820850385	48092986.5028095	131
2024.91094837315	48810767.0079236	134
2024.91368824246	50084559.3107709	139
2024.91642811176	50827218.6852255	142
2024.91916798107	49791602.1544331	141
2024.92190785037	47926819.3705428	136
2024.92464771968	48663135.2241026	149
2024.92738758899	51285277.6970884	158
2024.93012745829	53290010.1016805	167
2024.9328673276	55102958.625156	173
2024.9356071969	63208821.5956983	189
2024.93834706621	67074076.0706272	198
2024.94108693551	69311437.7308936	205
2024.94382680482	69732161.7214215	210
2024.94656667413	67235588.150289	214
2024.94930654343	65092071.2076462	212
2024.95204641274	65306500.4535121	212
2024.95478628204	65019956.3569698	217
2024.95752615135	65850381.2635505	214
2024.96026602065	68062558.4152406	216.5
2024.96300588996	70774921.9751525	218
2024.96574575927	69240622.0861161	214
2024.96848562857	65011481.0136971	207
2024.97122549788	61530147.4498583	192
2024.97396536718	57872716.8796349	180
2024.97670523649	51905987.6765703	173
2024.97944510579	46112617.825375	154
2024.9821849751	42505130.388485	141
2024.9849248444	39410718.9844854	133
2024.98766471371	37314082.405489	122
2024.99040458302	34864216.4797156	118
2024.99314445232	31989004.4351014	115
2024.99588432163	28198085.915939	108
2024.99862419093	24256210.3215952	97
2025.00136406024	19758274.6608208	91
2025.00410392954	14051996.0065309	84
2025.00684379885	10647529.1192509	57
2025.00958366816	8132179.1586336	48
2025.01232353746	5906204.3442839	44
2025.01506340677	3873028.11026076	40
2025.01780327607	2346360.00453283	33
2025.02054314538	1611304.75250231	17
2025.02328301468	947847.803270655	16
2025.02602288399	599860.873402884	9
2025.0287627533	363173.049496122	5
2025.0315026226	128785.247296187	5
2025.03424249191	11227.6126373888	3
2025.03698236121	NA	0
2025.03972223052	NA	0
2025.04246209982	NA	0
2025.04520196913	NA	0
2025.04794183844	NA	0
2025.05068170774	NA	0
2025.05342157705	NA	0
2025.05616144635	NA	0
2025.05890131566	NA	0
2025.06164118496	NA	0
2025.06438105427	NA	0
2025.06712092358	NA	0
2025.06986079288	NA	0
2025.07260066219	36409.7096444148	1
2025.07534053149	34004.3841581804	1
2025.0780804008	31598.3109027059	1
2025.0808202701	29191.4905233576	1
2025.08356013941	26783.9236659681	1
2025.08630000872	24375.6109759583	1
2025.08903987802	21966.5530987921	1
2025.09177974733	31185.655472158	1
2025.09451961663	27624.7998670953	1
2025.09725948594	24568.0656018071	1
2025.09999935524	21081.9414839898	1
2025.10273922455	17426.4882096405	1
2025.10547909386	13541.807414346	1
2025.10821896316	9919.8148417744	1
2025.11095883247	5608.47908258123	1
