time	95%HPD_lower_value	95%HPD_higher_value
2024.48962368542	0	0
2024.49585073624	0	0
2024.50207778705	0	0
2024.50830483787	0	0
2024.51453188869	0	0
2024.5207589395	0	0
2024.52698599032	0	0
2024.53321304114	0	0
2024.53944009196	0	0
2024.54566714277	0	0
2024.55189419359	0	54.2936279911179
2024.55812124441	0	144.724811064026
2024.56434829522	0	255.301215993545
2024.57057534604	0	357.94904849424
2024.57680239686	0	473.201919095092
2024.58302944768	0	570.98889547034
2024.58925649849	0	717.038494838631
2024.59548354931	0	868.11187496708
2024.60171060013	0	1028.34558489891
2024.60793765094	109.405525088364	1131.35753568354
2024.61416470176	158.473229474498	1182.36566874056
2024.62039175258	215.370343889025	1278.79685624675
2024.62661880339	297.417367412746	1395.15360108086
2024.63284585421	323.984029518999	1440.0390459397
2024.63907290503	442.283317015095	1589.3175607682
2024.64529995585	507.733025118067	1674.93992306996
2024.65152700666	604.850005943123	1798.0094584819
2024.65775405748	669.843771253292	1889.43053484985
2024.6639811083	725.644265887374	1994.24917472021
2024.67020815911	784.867858365603	2041.01156598097
2024.67643520993	826.974231605115	2097.89470566787
2024.68266226075	808.575888908345	2100.10446901196
2024.68888931156	948.764852418174	2272.69863603938
2024.69511636238	1022.9426211233	2350.00729786349
2024.7013434132	1086.99984482959	2405.0124345064
2024.70757046401	1154.11468334579	2486.03136797055
2024.71379751483	1179.45640376693	2527.37671905714
2024.72002456565	1246.6972919326	2615.60319507973
2024.72625161647	1313.26446778527	2692.42122541621
2024.73247866728	1452.67079232482	2833.42064445598
2024.7387057181	1517.633689081	2955.85622410441
2024.74493276892	1584.89397741277	3046.75164886039
2024.75115981973	1700.88535107562	3159.15019845764
2024.75738687055	1775.1075463626	3182.26392310729
2024.76361392137	1957.61293084525	3383.67946188229
2024.76984097218	1960.54756488206	3381.53186411296
2024.776068023	2139.88814935248	3546.33007419052
2024.78229507382	2180.91430308796	3568.58305616817
2024.78852212464	2328.0929827814	3665.99516460817
2024.79474917545	2328.88509622601	3641.56516871023
2024.80097622627	2358.69707791556	3675.41044124798
2024.80720327709	2529.52161443695	3801.25161936309
2024.8134303279	2544.50063972247	3788.74805468719
2024.81965737872	2608.7118964988	3838.00592931752
2024.82588442954	2690.40214141495	3921.947064747
2024.83211148036	2796.34401130881	4017.25766673738
2024.83833853117	2838.84740989539	4045.75657102971
2024.84456558199	2882.42969643687	4111.26671184413
2024.85079263281	2894.93554944169	4127.58839857771
2024.85701968362	2930.85835399571	4144.13983972702
2024.86324673444	2965.58890308714	4194.48631139783
2024.86947378526	2979.41020513693	4194.48631139783
2024.87570083607	3031.94436038028	4247.38623346427
2024.88192788689	2979.41020513693	4194.48631139783
2024.88815493771	3027.70866349675	4222.47049227314
2024.89438198853	3035.30122017727	4224.99387404169
2024.90060903934	3055.82708430992	4238.01139351582
2024.90683609016	3047.11463101862	4214.16670622915
2024.91306314098	3079.93994696527	4224.99387404169
2024.91929019179	3080.41836296582	4214.16670622915
2024.92551724261	3086.70974889106	4209.80298643876
2024.93174429343	3086.70974889106	4194.48631139783
2024.93797134424	3159.30588295577	4238.01139351582
2024.94419839506	3172.83934336441	4222.47049227314
2024.95042544588	3176.79363231086	4209.80298643876
2024.95665249669	3225.01483923784	4238.01139351582
2024.96287954751	3228.79188035516	4231.2616993446
2024.96910659833	3245.78392557305	4247.69896933747
2024.97533364915	3261.98638791548	4256.81354368311
2024.98156069996	3261.98638791548	4256.81354368311
2024.98778775078	3261.98638791548	4252.77660447131
2024.9940148016	3279.28625563733	4262.97679051805
2025.00024185241	3303.26215517124	4289.81747105186
2025.00646890323	3303.26215517124	4289.81747105186
2025.01269595405	3303.26215517124	4289.81747105186
2025.01892300486	3303.26215517124	4289.81747105186
2025.02515005568	3303.26215517124	4289.81747105186
2025.0313771065	3303.26215517124	4289.81747105186
2025.03760415732	3303.26215517124	4289.81747105186
2025.04383120813	3303.26215517124	4289.81747105186
2025.05005825895	3303.26215517124	4289.81747105186
2025.05628530977	3303.26215517124	4289.81747105186
2025.06251236058	3303.26215517124	4289.81747105186
2025.0687394114	3303.26215517124	4289.81747105186
2025.07496646222	3303.26215517124	4289.81747105186
2025.08119351304	3303.26215517124	4289.81747105186
2025.08742056385	3303.26215517124	4289.81747105186
2025.09364761467	3303.26215517124	4289.81747105186
2025.09987466549	3303.26215517124	4289.81747105186
2025.1061017163	3303.26215517124	4289.81747105186
2025.11232876712	3303.26215517124	4289.81747105186
