mean_branch_dispersal_velocity	weighted_branch_dispersal_velocity	branch_dispersal_velocity_variation_among_branches	original_diffusion_coefficient	weighted_diffusion_coefficient	diffusion_coefficient_variation_among_branches	isolation_by_distance_signal_rS	isolation_by_distance_signal_rP1	isolation_by_distance_signal_rP2
26760.7451965043	6436.51270171696	2.38767176232805	1514593.69123899	1277226.54855496	2.28632339753834	0.090550445924411	0.147240693410736	0.219821548189687
36886.0859888554	6350.2780353157	4.36214049770842	1944150.86769731	1225869.96212489	3.38831308187429	0.096999277042113	0.146331573283219	0.225904210520272
288629.436383822	6863.95669831297	23.7159432110392	20552005.4358545	1389478.57953438	23.9839335214726	0.0869577367986	0.123948912527778	0.204408556805642
23734.3861653572	6665.64770093027	2.34645383984881	1657646.92612497	1518275.11661325	2.64764210195279	0.0893710941136348	0.140449874405947	0.219554448736641
30423.9206476471	6888.73151995406	3.44345979652444	2254516.26858262	1433721.69046918	4.61651200663091	0.0767648320916589	0.134778262115352	0.208008227317192
48475.3448971434	7842.19465739157	4.454789580121	2831865.93048437	1615066.83795251	4.76603907148653	0.119899083806579	0.157342954406452	0.222730086193248
35666.6811255035	7221.26544206099	3.81649732344583	2117507.91136531	1468272.30912915	3.2489756978754	0.0844411652900369	0.127868818039348	0.196887730176214
31266.2508285751	6761.23662423003	3.4591595986354	2252110.98842141	1437265.01164092	4.37274035565458	0.0890745888917473	0.132354062024131	0.201658794427663
29503.523128946	6800.14736541608	3.66423469252441	1712121.48411668	1253070.21631333	2.46282128648629	0.0955726992974827	0.146081191815187	0.214678683238289
27524.007460195	7890.0652744795	2.33243755138187	2153097.29723194	1519131.31929967	3.09771115439063	0.133581895360257	0.158103664391103	0.216952856763309
29142.000787467	7296.95953822971	2.26756729738205	2051247.65237744	1483698.88969963	3.0914139604581	0.129026512136703	0.189266574096017	0.25698233179235
26844.8099607953	7017.79776772499	3.1615807531139	1656860.33033671	1485448.65581329	2.33257216682428	0.100968479419355	0.152579941729931	0.222572786951841
