time	diffusion_coefficient	number_of_branches
2024.49273721083	34150.8965657949	0.018
2024.49896426165	47750.4875512772	0.024
2024.50519131246	84563.684852604	0.026
2024.51141836328	150635.641731488	0.034
2024.5176454141	327468.379211142	0.05
2024.52387246491	359196.646661038	0.082
2024.53009951573	309614.299030546	0.169
2024.53632656655	382697.012351167	0.279
2024.54255361736	452754.658582371	0.524
2024.54878066818	487916.790120469	0.956
2024.555007719	614063.288285721	1.496
2024.56123476982	713083.233841101	2.393
2024.56746182063	862169.575393483	3.659
2024.57368887145	982001.687647473	6.354
2024.57991592227	1256539.75882537	14.081
2024.58614297308	1068416.19172035	33.439
2024.5923700239	1130308.55454243	34.352
2024.59859707472	1158553.47991884	35.486
2024.60482412553	1169150.09773744	36.506
2024.61105117635	1157241.07273883	37.499
2024.61727822717	1106885.85567574	37.278
2024.62350527799	863615.540582048	27.701
2024.6297323288	781213.978179047	16.029
2024.63595937962	747649.759925816	17.623
2024.64218643044	753395.433184496	19.037
2024.64841348125	793577.813300093	20.672
2024.65464053207	842876.838893196	21.896
2024.66086758289	881932.880768256	23.28
2024.6670946337	946235.197946254	25.281
2024.67332168452	1041491.2214194	27.847
2024.67954873534	1119214.50701795	30.631
2024.68577578616	1204096.67921295	33.903
2024.69200283697	1293568.56481547	37.493
2024.69822988779	1388168.56959387	41.977
2024.70445693861	1496234.94836177	46.337
2024.71068398942	1574227.92235547	51.218
2024.71691104024	1656688.69400074	55.368
2024.72313809106	1718498.38223451	60.174
2024.72936514187	1738100.3867908	65.947
2024.73559219269	1734706.98530836	72.783
2024.74181924351	1685274.86746428	81.949
2024.74804629433	1640502.23995209	95.048
2024.75427334514	1573035.42224298	107.285
2024.76050039596	1556847.14808707	107.252
2024.76672744678	1529160.62252704	108.719
2024.77295449759	1442166.40250543	107.174
2024.77918154841	1315164.22049829	105.973
2024.78540859923	1361267.47634477	108.149
2024.79163565004	1861483.82469265	101.848
2024.79786270086	1792877.24713918	95.11
2024.80408975168	1689130.4159851	103.492
2024.8103168025	1735116.01769275	104.994
2024.81654385331	1927780.94988025	105.666
2024.82277090413	1923174.85301973	103.574
2024.82899795495	1881524.59989129	94.385
2024.83522500576	1262877.0499066	87.676
2024.84145205658	1245580.48500489	86.403
2024.8476791074	1085928.43650117	85.43
2024.85390615821	898406.941116983	81.477
2024.86013320903	849579.719147106	88.072
2024.86636025985	1109156.67357491	95.026
2024.87258731067	1127745.97682334	105.743
2024.87881436148	1241896.5221964	116.73
2024.8850414123	1818375.25286657	126.348
2024.89126846312	1917398.7447888	133.49
2024.89749551393	1869173.70309844	143.489
2024.90372256475	1670700.30062821	147.81
2024.90994961557	1716248.77185291	156.555
2024.91617666638	4097315.48729214	165.174
2024.9224037172	4059469.83687967	166.106
2024.92863076802	3522365.36009538	188.081
2024.93485781884	3585874.72314203	215.033
2024.94108486965	4020535.87459231	237.923
2024.94731192047	3891515.81313864	236.855
2024.95353897129	3790905.32247962	239.777
2024.9597660221	2204073.89779273	238.456
2024.96599307292	2501558.60908893	236.907
2024.97222012374	2135886.38154389	200.779
2024.97844717455	1823959.81925989	172.221
2024.98467422537	1351527.91587988	149.122
2024.99090127619	1409068.01534841	130.182
2024.99712832701	1375948.49412327	112.955
2025.00335537782	1181906.93630401	97.745
2025.00958242864	405945.115731227	54.97
2025.01580947946	235491.862058734	37.353
2025.02203653027	165279.234067405	20.309
2025.02826358109	179804.296777834	7.037
2025.03449063191	1248.39029289122	5
2025.04071768272	NA	0
2025.04694473354	NA	0
2025.05317178436	NA	0
2025.05939883518	NA	0
2025.06562588599	NA	0
2025.07185293681	NA	0
2025.07807998763	47823.155445306	1
2025.08430703844	39542.3149975988	1
2025.09053408926	31255.7902468584	1
2025.09676114008	40280.1438273767	2
2025.10298819089	31180.934476111	2
2025.10921524171	22088.7309655076	2
