time	95%HPD_lower_value	95%HPD_higher_value
2024.49136725322	3259.27711616588	102986.846758179
2024.49485438881	10005.314279656	146311.056214755
2024.4983415244	9140.9432843284	189532.676626412
2024.50182866	2118.69068550183	232651.348334632
2024.50531579559	4242.62684567693	275666.711426779
2024.50880293118	191.429796329882	551055.629033242
2024.51229006677	8487.64491793654	853762.543290924
2024.51577720237	8847.93676946774	1159645.07574075
2024.51926433796	794.563530722422	1468665.76636674
2024.52275147355	4476.76981198209	1909129.11032992
2024.52623860915	766.481940317805	1306052.62259325
2024.52972574474	1621.37879788228	1578755.42884766
2024.53321288033	619.952637054993	1853144.95291955
2024.53670001593	765.612955952114	1598459.11205557
2024.54018715152	104.809598271621	1429253.00286442
2024.54367428711	173.131915732282	1718964.73877155
2024.5471614227	205.548528644522	1944248.78516748
2024.5506485583	752.469703338256	1746654.59016436
2024.55413569389	968.390370711507	2155797.79826906
2024.55762282948	154.462816489553	2457472.40965776
2024.56110996508	102.27365778055	2570213.05441261
2024.56459710067	265.769045357525	2619990.61717835
2024.56808423626	14.569505938502	2703212.07682509
2024.57157137186	1802.97881369482	2780622.98127028
2024.57505850745	2350.50824544511	2709830.17326028
2024.57854564304	4976.82694468643	3039861.53500468
2024.58203277863	685.402490133527	3206993.70198334
2024.58551991423	241202.333949385	2754941.08666721
2024.58900704982	261004.72718088	2810502.49915808
2024.59249418541	323040.315512791	2868589.76799331
2024.59598132101	333391.494302068	2913919.17845939
2024.5994684566	343759.612026534	2847630.93678921
2024.60295559219	354144.585560813	2871927.47443037
2024.60644272779	386648.643380336	2921611.04225898
2024.60992986338	372658.254391864	2886129.78710912
2024.61341699897	365600.195146943	2843523.8357759
2024.61690413456	349608.231843086	2824922.19240768
2024.62039127016	277085.292854283	2614595.97253785
2024.62387840575	172811.930854798	2277071.6368981
2024.62736554134	85856.3975608622	2546089.59456069
2024.63085267694	47422.9396546337	2362636.09672999
2024.63433981253	95746.5960987652	2273144.01627313
2024.63782694812	136161.04041398	2419176.18615844
2024.64131408372	130672.136663531	2475674.3603004
2024.64480121931	163084.387701631	2411619.80746804
2024.6482883549	64231.1229394311	2488034.90544417
2024.65177549049	126799.338176921	2501650.66042068
2024.65526262609	136941.562604718	2574084.58244835
2024.65874976168	131952.499016687	2516134.72865364
2024.66223689727	105108.322823258	2592746.78297529
2024.66572403287	146032.298374019	2610239.7679204
2024.66921116846	249871.246787018	2744977.84905825
2024.67269830405	257803.741552757	2890710.83445994
2024.67618543965	308922.470654709	2880904.91678863
2024.67967257524	218601.197199333	2870670.30386615
2024.68315971083	252177.824689216	2803998.57343308
2024.68664684642	323756.397254113	2965357.16146942
2024.69013398202	455673.95247684	3164216.8655338
2024.69362111761	355234.783134135	3189824.63227438
2024.6971082532	448836.831941174	3391537.14848554
2024.7005953888	385634.421837661	3353453.85420334
2024.70408252439	502864.287093698	3491081.05180814
2024.70756965998	636102.530434067	3710124.6906364
2024.71105679558	559206.727534481	3742340.99759483
2024.71454393117	600230.199549019	3835280.87969515
2024.71803106676	550757.007800812	3902461.64829281
2024.72151820235	651647.004534041	3929485.61177364
2024.72500533795	693197.257350021	3912212.39913601
2024.72849247354	666921.207910828	4006325.50384732
2024.73197960913	797392.380569988	3988449.69916585
2024.73546674473	762156.381457827	4013772.76145928
2024.73895388032	657718.221984204	3893450.1273269
2024.74244101591	721794.022745961	3900911.35821085
2024.74592815151	769006.782493394	3847852.94061293
2024.7494152871	762981.920395409	3712082.94632513
2024.75290242269	767501.181563009	3673688.56285255
2024.75638955828	813588.768999996	3731312.72592657
2024.75987669388	754655.695968162	3747670.23057826
2024.76336382947	686486.729788461	3625009.14208486
2024.76685096506	680486.937554693	3557627.40080465
2024.77033810066	715848.519856778	3631417.61432953
2024.77382523625	672136.364317376	3448839.90092171
2024.77731237184	611317.841370646	3276616.98527423
2024.78079950744	599671.254311343	3133834.5096591
2024.78428664303	600815.691030356	3258207.04240723
2024.78777377862	635617.524893426	3233222.21781961
2024.79126091421	565037.394116274	4456005.55577111
2024.79474804981	485629.785877699	4440460.21067475
2024.7982351854	441906.879704332	4326459.57887964
2024.80172232099	406343.479783124	4350009.0826768
2024.80520945659	405157.685954684	4432378.3595579
2024.80869659218	414514.846673087	5115265.33354308
2024.81218372777	490377.708033935	5152343.32239592
2024.81567086337	405186.383947081	6335254.74067915
2024.81915799896	432572.882804127	6829163.68248851
2024.82264513455	369805.52016833	7254018.81901207
2024.82613227014	278768.104588268	7375057.37755838
2024.82961940574	243084.90679892	8513551.42567601
2024.83310654133	177696.789735452	6049726.53735751
2024.83659367692	149825.919465995	6275051.14836632
