time	diffusion_coefficient	number_of_branches
2024.49136725322	42406.9305830023	0.013
2024.49485438881	62520.8794355992	0.013
2024.4983415244	75274.1476877887	0.015
2024.50182866	79297.1000527737	0.019
2024.50531579559	107836.307143903	0.021
2024.50880293118	121758.027175084	0.027
2024.51229006677	186131.472031466	0.032
2024.51577720237	296009.213167673	0.038
2024.51926433796	380746.836748382	0.05
2024.52275147355	379699.28806229	0.066
2024.52623860915	344772.559137316	0.098
2024.52972574474	297320.108245204	0.16
2024.53321288033	319594.324824422	0.212
2024.53670001593	394750.520985092	0.277
2024.54018715152	421521.747405007	0.4
2024.54367428711	434590.206925562	0.598
2024.5471614227	495586.201904354	0.798
2024.5506485583	513878.769536899	1.118
2024.55413569389	602617.087702645	1.377
2024.55762282948	676275.463153816	1.778
2024.56110996508	722556.285558259	2.329
2024.56459710067	801695.097567057	2.996
2024.56808423626	875126.568406136	3.799
2024.57157137186	968714.264573126	5.071
2024.57505850745	1046059.63717158	7.199
2024.57854564304	1226603.02750286	10.59
2024.58203277863	1377013.52713494	19.537
2024.58551991423	1267777.43504171	27.496
2024.58900704982	1311277.36353395	27.829
2024.59249418541	1347983.75859801	28.115
2024.59598132101	1369085.2692594	28.565
2024.5994684566	1381787.07378446	28.916
2024.60295559219	1390692.90061979	29.217
2024.60644272779	1392896.53835228	29.547
2024.60992986338	1388139.90796488	29.811
2024.61341699897	1370119.40522412	29.829
2024.61690413456	1342177.12038187	29.263
2024.62039127016	1260405.7420806	27.479
2024.62387840575	1036302.38840064	19.236
2024.62736554134	1029786.30498578	12.009
2024.63085267694	972844.20424329	12.654
2024.63433981253	953515.125029763	13.308
2024.63782694812	943132.149073381	13.997
2024.64131408372	952653.768420754	14.549
2024.64480121931	966547.724938041	15.278
2024.6482883549	1007200.77849446	15.918
2024.65177549049	1029133.10776316	16.538
2024.65526262609	1075366.20917286	17.013
2024.65874976168	1099911.85966451	17.648
2024.66223689727	1128460.53111184	18.461
2024.66572403287	1167869.40347254	19.399
2024.66921116846	1235665.43600439	20.385
2024.67269830405	1292358.6704949	21.721
2024.67618543965	1320200.76299401	23.273
2024.67967257524	1382037.451583	24.535
2024.68315971083	1424513.41822179	26.188
2024.68664684642	1483730.11342734	27.791
2024.69013398202	1542426.48911995	29.511
2024.69362111761	1606778.72040448	31.395
2024.6971082532	1665465.28688485	33.45
2024.7005953888	1722134.6891266	35.579
2024.70408252439	1804065.39836524	37.451
2024.70756965998	1875643.02829487	39.328
2024.71105679558	1921113.50876862	41.628
2024.71454393117	1991786.90276626	43.322
2024.71803106676	2042837.30355333	44.976
2024.72151820235	2084811.91905077	47.069
2024.72500533795	2126525.56795928	49.125
2024.72849247354	2147058.80444082	51.458
2024.73197960913	2165667.40777302	53.658
2024.73546674473	2174413.92923818	56.47
2024.73895388032	2154873.15444395	59.756
2024.74244101591	2126780.84489996	63.661
2024.74592815151	2118942.64111403	69.006
2024.7494152871	2086990.82677817	73.95
2024.75290242269	2034974.09435371	79.378
2024.75638955828	2082814.12513338	79.537
2024.75987669388	2046463.40471284	78.786
2024.76336382947	1988790.33909253	79.446
2024.76685096506	1999721.63437767	79.32
2024.77033810066	1942601.42291422	77.919
2024.77382523625	1880776.95695833	76.933
2024.77731237184	1795015.57562304	75.963
2024.78079950744	1672766.98126315	76.581
2024.78428664303	1818138.88155412	78.442
2024.78777377862	1740442.24079956	75.861
2024.79126091421	2482014.35478636	74.238
2024.79474804981	2469320.00312954	69.857
2024.7982351854	2470908.2774095	66.404
2024.80172232099	2443314.78262638	70.336
2024.80520945659	2367502.704113	70.865
2024.80869659218	2512314.16203931	69.446
2024.81218372777	2519524.37741488	69.553
2024.81567086337	2810074.70950113	68.397
2024.81915799896	2929233.76115068	63.332
2024.82264513455	3062438.21630063	58.202
2024.82613227014	3241625.9419488	47.9
2024.82961940574	3593229.4107463	40.886
2024.83310654133	2336522.94704274	33.582
2024.83659367692	2405145.70193399	30.95
