time	diffusion_coefficient	number_of_branches
2024.49136725322	34136.0095416683	0
2024.49485438881	66013.337564157	0
2024.4983415244	71219.9178500657	0
2024.50182866	58625.5589129056	0
2024.50531579559	81299.6218310616	0
2024.50880293118	52590.2268068223	0
2024.51229006677	136380.615367917	0
2024.51577720237	123436.678162534	0
2024.51926433796	162434.538341878	0
2024.52275147355	109778.598863167	0
2024.52623860915	101209.077197313	0
2024.52972574474	99591.3594368318	0
2024.53321288033	117440.443140219	0
2024.53670001593	180824.698713727	0
2024.54018715152	190795.425195329	0
2024.54367428711	156691.388248603	0
2024.5471614227	184532.030713158	0
2024.5506485583	244325.375288083	0
2024.55413569389	310483.08620271	0
2024.55762282948	369811.947510613	2
2024.56110996508	396914.304013949	2
2024.56459710067	480221.613980903	2
2024.56808423626	585499.982489369	4
2024.57157137186	712963.950376833	4
2024.57505850745	824817.63280132	7
2024.57854564304	1001619.70521692	11
2024.58203277863	1114576.89213078	21
2024.58551991423	1089183.81184358	30
2024.58900704982	1126586.51424894	30
2024.59249418541	1166893.50749699	31
2024.59598132101	1188623.44121285	31
2024.5994684566	1195686.95591962	31
2024.60295559219	1209688.03631328	32
2024.60644272779	1216217.97149283	32
2024.60992986338	1220114.80426184	32
2024.61341699897	1206761.05351792	31
2024.61690413456	1169934.79941849	30
2024.62039127016	1084736.95932645	28
2024.62387840575	868335.940356758	19
2024.62736554134	816468.883527742	12
2024.63085267694	777726.391141666	12
2024.63433981253	791564.251163232	13
2024.63782694812	763529.78784823	14
2024.64131408372	777582.576312753	15
2024.64480121931	781354.342213172	15
2024.6482883549	811349.194903092	16
2024.65177549049	830904.678737136	17
2024.65526262609	870216.025974935	17
2024.65874976168	888873.800018025	18
2024.66223689727	909779.060981816	18
2024.66572403287	960454.496622557	19
2024.66921116846	1048603.10029268	20
2024.67269830405	1097518.90950397	21
2024.67618543965	1134743.67532966	23
2024.67967257524	1176187.06987409	24
2024.68315971083	1242253.09203776	26
2024.68664684642	1266284.31863607	27
2024.69013398202	1346828.47922734	29
2024.69362111761	1398288.84829651	31
2024.6971082532	1458854.83410488	33
2024.7005953888	1515046.48046917	35
2024.70408252439	1565212.59623846	37
2024.70756965998	1639568.43913884	40
2024.71105679558	1681648.20067476	42
2024.71454393117	1773342.67684901	44
2024.71803106676	1840044.88274736	45
2024.72151820235	1907248.13984981	47
2024.72500533795	1980173.38411389	49
2024.72849247354	1943707.99829634	51
2024.73197960913	1980971.59278588	54
2024.73546674473	2003300.12728622	56
2024.73895388032	1958894.81081914	60
2024.74244101591	1959042.45455991	64
2024.74592815151	1949346.67694787	69
2024.7494152871	1958858.34477234	74
2024.75290242269	1915020.92441095	79
2024.75638955828	1956600.13303426	79
2024.75987669388	1917568.79176387	78
2024.76336382947	1855613.97536962	79
2024.76685096506	1827821.33212411	79
2024.77033810066	1760962.46550366	77
2024.77382523625	1708025.54614499	76
2024.77731237184	1598053.4642283	76
2024.78079950744	1479711.64266385	76
2024.78428664303	1528335.07096432	78
2024.78777377862	1461020.74177588	76
2024.79126091421	1518855.42445454	74
2024.79474804981	1443114.08343678	70
2024.7982351854	1397512.14068177	66
2024.80172232099	1331138.23416702	70
2024.80520945659	1289554.30488546	71
2024.80869659218	1359394.86856726	69
2024.81218372777	1353692.39993255	70
2024.81567086337	1358350.12366166	68
2024.81915799896	1381806.41673208	63
2024.82264513455	1372976.6515917	58
2024.82613227014	1336896.86762189	48
2024.82961940574	1400104.51340862	41
2024.83310654133	1191901.44277918	34
2024.83659367692	1154859.73029525	31
