time	diffusion_coefficient	number_of_branches
2024.49136725322	41705.6897207399	0
2024.49485438881	78731.730233648	0
2024.4983415244	89058.4997361778	0
2024.50182866	74933.8967451276	0
2024.50531579559	110414.268270979	0
2024.50880293118	81250.6955847222	0
2024.51229006677	198639.02986181	0
2024.51577720237	162512.192234035	0
2024.51926433796	199263.536109652	0
2024.52275147355	165269.052830424	0
2024.52623860915	163206.142108606	0
2024.52972574474	169203.11578372	0
2024.53321288033	191747.410209955	0
2024.53670001593	296322.514838046	0
2024.54018715152	273323.403831661	0
2024.54367428711	289490.715039562	0
2024.5471614227	363084.599113832	0
2024.5506485583	473006.56034772	0
2024.55413569389	593836.573567305	0
2024.55762282948	768641.56942472	2
2024.56110996508	896074.964824173	2
2024.56459710067	1194276.25645553	2
2024.56808423626	1492784.76187625	4
2024.57157137186	2337381.02849729	4
2024.57505850745	3318423.93061576	7
2024.57854564304	5185036.75334826	11
2024.58203277863	8864987.6354869	21
2024.58551991423	9440426.00135646	30
2024.58900704982	9503831.88449204	30
2024.59249418541	9618068.71765201	31
2024.59598132101	9844570.44938812	31
2024.5994684566	10153004.9445115	31
2024.60295559219	10255953.5962059	32
2024.60644272779	10357298.9933173	32
2024.60992986338	10465687.1778906	32
2024.61341699897	10193019.8172929	31
2024.61690413456	9716045.93595075	30
2024.62039127016	8979368.44596738	28
2024.62387840575	6473393.13275264	19
2024.62736554134	5167171.45349285	12
2024.63085267694	5226055.79672133	12
2024.63433981253	5385538.42967096	13
2024.63782694812	5573414.97930469	14
2024.64131408372	5854182.52743896	15
2024.64480121931	6128432.64496078	15
2024.6482883549	6435550.53826828	16
2024.65177549049	6932994.16976193	17
2024.65526262609	7291525.0732607	17
2024.65874976168	7619632.57986158	18
2024.66223689727	8001331.962101	18
2024.66572403287	8792995.81721882	19
2024.66921116846	9428813.82161606	20
2024.67269830405	10742550.9167883	21
2024.67618543965	11619578.0765732	23
2024.67967257524	12922372.1664607	24
2024.68315971083	14158790.1569248	26
2024.68664684642	15575670.2767529	27
2024.69013398202	17072302.826136	29
2024.69362111761	18913525.9919912	31
2024.6971082532	20740819.0808241	33
2024.7005953888	22512729.0753836	35
2024.70408252439	24318457.2595772	37
2024.70756965998	26578481.5665437	40
2024.71105679558	28901015.7221826	42
2024.71454393117	31127023.8927395	44
2024.71803106676	33553585.7790492	45
2024.72151820235	35815774.3523424	47
2024.72500533795	38081645.6011931	49
2024.72849247354	39712365.3255416	51
2024.73197960913	42093855.9622895	54
2024.73546674473	44907013.3489837	56
2024.73895388032	47031552.7312087	60
2024.74244101591	49811152.7031473	64
2024.74592815151	54136575.3264663	69
2024.7494152871	56551106.7411747	74
2024.75290242269	58707817.6039103	79
2024.75638955828	60249982.7369361	79
2024.75987669388	58215512.6827546	78
2024.76336382947	56642255.9689097	79
2024.76685096506	54451737.7471863	79
2024.77033810066	51631438.9201496	77
2024.77382523625	48652065.1098265	76
2024.77731237184	45458010.7436525	76
2024.78079950744	42292188.2364506	76
2024.78428664303	43645345.9162129	78
2024.78777377862	40454531.9006477	76
2024.79126091421	37698328.2385691	74
2024.79474804981	34059306.6949984	70
2024.7982351854	31808084.0127775	66
2024.80172232099	30001463.7963643	70
2024.80520945659	28724110.468218	71
2024.80869659218	28128694.9403643	69
2024.81218372777	27168581.2343751	70
2024.81567086337	25377161.8405696	68
2024.81915799896	22862124.5352156	63
2024.82264513455	19915807.1955648	58
2024.82613227014	16701768.9499789	48
2024.82961940574	14675190.0805788	41
2024.83310654133	11409334.121982	34
2024.83659367692	10230110.3771547	31
