trait,location,latitude,longitude,coordinate_type
A/Cackling_Goose/BC/AIVPHL-2521/2024|H5N1|Canada-BC|2024-10-19|avian|D1.1,Canada-BC,54.6943,-124.662,centroid
A/Red_Tailed_Hawk/BC/AIVPHL-2513/2024|H5N1|Canada-BC|2024-10-07|avian|D1.1,Canada-BC,54.6943,-124.662,centroid
A/Canada_Goose/BC/AIVPHL-2524/2024|H5N1|Canada-BC|2024-10-08|avian|D1.1,Canada-BC,54.6943,-124.662,centroid
A/Green_Winged_Teal/BC/AIVPHL-2526/2024|H5N1|Canada-BC|2024-10-09|avian|D1.1,Canada-BC,54.6943,-124.662,centroid
A/Canada_Goose/BC/AIVPHL-2528/2024|H5N1|Canada-BC|2024-10-11|avian|D1.1,Canada-BC,54.6943,-124.662,centroid
A/Canada_Goose/BC/AIVPHL-2530/2024|H5N1|Canada-BC|2024-10-14|avian|D1.1,Canada-BC,54.6943,-124.662,centroid
A/Canada_Goose/BC/AIVPHL-2531/2024|H5N1|Canada-BC|2024-10-14|avian|D1.1,Canada-BC,54.6943,-124.662,centroid
A/Cackling_Goose/BC/AIVPHL-2535/2024|H5N1|Canada-BC|2024-10-20|avian|D1.1,Canada-BC,54.6943,-124.662,centroid
A/Turkey/BC/FAV-0267-1/2024|H5N1|Canada-BC|2024-10-20|avian|D1.1,Canada-BC,54.6943,-124.662,centroid
A/Snow_Goose/BC/AIVPHL-2538/2024|H5N1|Canada-BC|2024-10-21|avian|D1.1,Canada-BC,54.6943,-124.662,centroid
A/Chicken/BC/FAV-0266-1/2024|H5N1|Canada-BC|2024-10-21|avian|D1.1,Canada-BC,54.6943,-124.662,centroid
A/Cackling_Goose/BC/AIVPHL-2540/2024|H5N1|Canada-BC|2024-10-22|avian|D1.1,Canada-BC,54.6943,-124.662,centroid
A/Cackling_Goose/BC/AIVPHL-2541/2024|H5N1|Canada-BC|2024-10-23|avian|D1.1,Canada-BC,54.6943,-124.662,centroid
A/Chicken/BC/FAV-0268-1/2024|H5N1|Canada-BC|2024-10-23|avian|D1.1,Canada-BC,54.6943,-124.662,centroid
A/Chicken/BC/FAV-0284-001/2024|H5N1|Canada-BC|2024-11-01|avian|D1.1,Canada-BC,54.6943,-124.662,centroid
A/Chicken/BC/FAV-0284-1/2024|H5N1|Canada-BC|2024-11-01|avian|D1.1,Canada-BC,54.6943,-124.662,centroid
A/Turkey/BC/FAV-0306-1/2024|H5N1|Canada-BC|2024-11-07|avian|D1.1,Canada-BC,54.6943,-124.662,centroid
A/Chicken/BC/FAV-0289-002/2024|H5N1|Canada-BC|2024-11-08|avian|D1.1,Canada-BC,54.6943,-124.662,centroid
A/British_Columbia/PHL-2032/2024|H5N1|Canada-BC|2024-11-09|human|D1.1,Canada-BC,54.6943,-124.662,centroid
A/ermine/AK/24-038843-001/2024|H5N1|USA-AK|2024-11-08|other_mammal|D1.1,USA-AK,65.3609,-151.604,centroid
A/chicken/AK/24-034057-001-original/2024|H5N1|USA-AK|2024-11-12|avian|D1.1,USA-AK,65.3609,-151.604,centroid
A/chicken/AK/24-034057-002-original/2024|H5N1|USA-AK|2024-11-12|avian|D1.1,USA-AK,65.3609,-151.604,centroid
A/chicken/AK/24-034057-003-original/2024|H5N1|USA-AK|2024-11-12|avian|D1.1,USA-AK,65.3609,-151.604,centroid
A/chicken/AK/24-034057-004-original/2024|H5N1|USA-AK|2024-11-12|avian|D1.1,USA-AK,65.3609,-151.604,centroid
A/chicken/Alaska/24-035126-001/2024|H5N1|USA-AK|2024-11-21|avian|D1.1,USA-AK,65.3609,-151.604,centroid
A/chicken/Alaska/24-035126-002/2024|H5N1|USA-AK|2024-11-21|avian|D1.1,USA-AK,65.3609,-151.604,centroid
