time	diffusion_coefficient	number_of_branches
2022.38432100886	640605.423866197	4.29
2022.38957254963	1155587.29813105	6.65
2022.39482409039	1844694.24686618	8.048
2022.40007563116	2280797.64998524	9.036
2022.40532717193	2688627.24499619	10.882
2022.41057871269	3095466.55904532	12.048
2022.41583025346	3191085.70530385	12.855
2022.42108179422	3217311.79806222	13.765
2022.42633333499	3084772.94653797	14.483
2022.43158487576	2737391.1103912	15.459
2022.43683641652	2302305.47782585	14.403
2022.44208795729	2184209.87284777	13.113
2022.44733949805	2172472.59193506	12.974
2022.45259103882	2346300.88185128	11.024
2022.45784257959	2594671.71695677	13.125
2022.46309412035	2663339.50954733	13.923
2022.46834566112	2437676.28972917	13.325
2022.47359720188	2190580.86347782	12.632
2022.47884874265	1897716.33287696	12.058
2022.48410028342	1524906.28470191	11.636
2022.48935182418	1058832.34795019	11.447
2022.49460336495	592253.635649241	11.395
2022.49985490571	483163.358686915	4.232
2022.50510644648	191878.235199098	0.887
2022.51035798724	194878.299395802	1.041
2022.51560952801	207068.704323566	1.21
2022.52086106878	226956.596124043	1.398
2022.52611260954	243892.245978269	1.605
2022.53136415031	262327.68954028	1.83
2022.53661569107	294532.303340777	1.99
2022.54186723184	314216.894799541	2.227
2022.54711877261	322838.754274906	2.438
2022.55237031337	325705.145180434	2.626
2022.55762185414	342400.086723054	2.845
2022.5628733949	346936.013855792	3.069
2022.56812493567	364814.488498222	3.253
2022.57337647644	390993.615364609	3.498
2022.5786280172	414363.767096802	3.656
2022.58387955797	444633.272679835	3.748
2022.58913109873	460946.56785218	3.904
2022.5943826395	492334.570852961	4.143
2022.59963418026	529547.662330441	4.322
2022.60488572103	567377.268526002	4.442
2022.6101372618	619414.994277442	4.596
2022.61538880256	689470.110778812	4.725
2022.62064034333	791837.083162122	4.859
2022.62589188409	931498.759861647	5.222
2022.63114342486	1142976.27707235	5.674
2022.63639496563	1505663.95680922	6.602
2022.64164650639	2038780.65631366	7.376
2022.64689804716	2314868.32186032	8.367
2022.65214958792	2894005.74770305	8.411
2022.65740112869	3493457.59036166	8.347
2022.66265266946	4093129.00230406	8.331
2022.66790421022	4311535.78564825	8.684
2022.67315575099	4090716.92223139	8.293
2022.67840729175	2444182.50704264	7.592
2022.68365883252	910502.763619123	5.898
2022.68891037329	814270.16472691	4.543
2022.69416191405	678022.102786098	4.005
2022.69941345482	684155.055885462	4.485
2022.70466499558	514247.727572715	3.959
2022.70991653635	6421836.43162343	3.382
2022.71516807711	5850118.99720554	3.01
2022.72041961788	4206572.65446772	3.547
2022.72567115865	3510727.39534822	3.362
2022.73092269941	2815970.30104125	3.314
2022.73617424018	1766387.64474295	3.321
2022.74142578094	1123988.62736774	3.578
2022.74667732171	565411.84557759	3.866
2022.75192886248	344268.768119126	3.398
2022.75718040324	431087.549883255	4.211
2022.76243194401	818912.940736786	3.925
2022.76768348477	872372.719861457	3.96
2022.77293502554	903853.865831529	3.939
2022.77818656631	951531.710384845	2.901
2022.78343810707	554737.939138592	3.811
2022.78868964784	553819.0565927	3.693
2022.7939411886	524982.54014544	3.502
2022.79919272937	375522.481313714	3.22
2022.80444427014	11368.3123375543	1
2022.8096958109	8250.0136956428	1
2022.81494735167	5129.65981174595	1
2022.82019889243	2007.25545510299	1
2022.8254504332	NA	0
2022.83070197396	NA	0
2022.83595351473	NA	0
2022.8412050555	NA	0
2022.84645659626	NA	0
2022.85170813703	NA	0
2022.85695967779	NA	0
2022.86221121856	NA	0
2022.86746275933	NA	0
2022.87271430009	NA	0
2022.87796584086	NA	0
2022.88321738162	NA	0
2022.88846892239	102772.288347238	0.101
2022.89372046316	89069.2883458206	0.101
2022.89897200392	75347.5209586043	0.101
2022.90422354469	61607.0404076208	0.101
