time	diffusion_coefficient	number_of_branches
2022.38432100886	98546.2932742075	4
2022.38957254963	176014.695676516	6
2022.39482409039	292926.720524807	8
2022.40007563116	342543.64917814	10
2022.40532717193	371828.171040842	11.5
2022.41057871269	484174.178170909	12
2022.41583025346	473085.804701872	12
2022.42108179422	450255.043684273	14
2022.42633333499	405487.162375523	14
2022.43158487576	350382.439676458	15
2022.43683641652	314253.429427471	15
2022.44208795729	330916.228283481	13
2022.44733949805	316573.963896262	13
2022.45259103882	331045.865252349	12
2022.45784257959	311973.575615988	13
2022.46309412035	335307.746258539	14
2022.46834566112	319817.2905586	13
2022.47359720188	302947.434856854	12
2022.47884874265	275696.524897753	12
2022.48410028342	230895.421660968	11
2022.48935182418	161516.588397409	11
2022.49460336495	69742.1678768928	11
2022.49985490571	114455.38948389	4
2022.50510644648	35982.9570997502	0
2022.51035798724	36583.8576520341	0
2022.51560952801	41151.6746810442	0
2022.52086106878	48200.2637306771	2
2022.52611260954	55667.5235397034	2
2022.53136415031	59257.9712135694	2
2022.53661569107	66288.7222708789	2
2022.54186723184	68550.7180459532	2
2022.54711877261	71319.5335862802	2
2022.55237031337	76489.8399459746	3
2022.55762185414	85120.5638154025	3
2022.5628733949	91778.864643396	3
2022.56812493567	100070.55351263	3
2022.57337647644	101931.003083417	3
2022.5786280172	107351.497438347	3
2022.58387955797	114291.008531936	3
2022.58913109873	118375.391152686	4
2022.5943826395	128102.561258067	4
2022.59963418026	131155.80272707	5
2022.60488572103	146908.08408396	5
2022.6101372618	165487.048476945	5
2022.61538880256	185430.083692425	5
2022.62064034333	219220.630486512	5
2022.62589188409	250585.917848517	5
2022.63114342486	310034.955744186	5
2022.63639496563	399194.558316787	6
2022.64164650639	582868.466300612	8
2022.64689804716	676782.145892871	9
2022.65214958792	802671.229806856	9
2022.65740112869	940598.655502749	9
2022.66265266946	1076268.26477774	9
2022.66790421022	1108663.8556297	9
2022.67315575099	1108028.35034936	8
2022.67840729175	280131.311537947	8
2022.68365883252	172613.528198559	7
2022.68891037329	184264.889919296	4
2022.69416191405	164218.610440415	4
2022.69941345482	145895.464786316	5
2022.70466499558	109516.571305305	5
2022.70991653635	3730952.44056919	2
2022.71516807711	3726014.75688541	2
2022.72041961788	2398128.16008342	3
2022.72567115865	2035883.70794393	3
2022.73092269941	1614917.213084	3
2022.73617424018	1238815.09799194	3
2022.74142578094	747769.694999261	3
2022.74667732171	300977.128788603	3
2022.75192886248	80066.6581828954	2
2022.75718040324	89891.2149312526	5
2022.76243194401	249388.754019432	4
2022.76768348477	241967.115285892	4
2022.77293502554	226547.18484822	4
2022.77818656631	300539.948225169	3
2022.78343810707	214236.248208242	4
2022.78868964784	202664.458076129	4
2022.7939411886	175432.135606816	4
2022.79919272937	122836.195776955	3
2022.80444427014	7087.65427812627	1
2022.8096958109	5143.37511231186	1
2022.81494735167	3197.69578089841	1
2022.82019889243	1251.14158875441	1
2022.8254504332	NA	0
2022.83070197396	NA	0
2022.83595351473	NA	0
2022.8412050555	NA	0
2022.84645659626	NA	0
2022.85170813703	NA	0
2022.85695967779	NA	0
2022.86221121856	NA	0
2022.86746275933	NA	0
2022.87271430009	NA	0
2022.87796584086	NA	0
2022.88321738162	NA	0
2022.88846892239	96482.7343018068	0
2022.89372046316	83627.9503504883	0
2022.89897200392	70752.5820263295	0
2022.90422354469	57856.6771745291	0
