time	diffusion_coefficient	number_of_branches
2021.77090327958	172757.093763295	0
2021.78231982266	48093.2414095442	0
2021.79373636573	94173.5256097351	0
2021.8051529088	181742.586982717	0
2021.81656945187	140914.741871306	0
2021.82798599494	167080.719749816	0
2021.83940253801	248242.946773646	0
2021.85081908108	374661.847555778	2
2021.86223562415	578959.903663634	10
2021.87365216722	508116.649742878	62
2021.88506871029	533528.082085585	67
2021.89648525336	524092.632522637	73
2021.90790179643	437122.69427984	72
2021.9193183395	315654.866649354	39
2021.93073488257	283000.909314386	45
2021.94215142564	270734.848356956	51
2021.95356796871	273333.014884766	56
2021.96498451178	278485.424005492	64
2021.97640105485	307174.756860134	74
2021.98781759792	330886.397971872	85
2021.99923414099	434805.046030184	127
2022.01065068406	434299.211180724	145
2022.02206722713	427736.88561646	169
2022.0334837702	402910.334522312	221
2022.04490031327	559035.309813283	250
2022.05631685634	546080.639260905	274
2022.06773339941	565605.956945929	282
2022.07914994248	542956.677031599	257
2022.09056648555	388489.50946384	214
2022.10198302862	374816.89662243	210
2022.11339957169	373025.008807785	213
2022.12481611476	367150.68699835	211
2022.13623265783	336835.508038675	198
2022.1476492009	380219.511391797	200
2022.15906574397	904260.772859004	203
2022.17048228704	949576.952611197	199
2022.18189883011	978379.719987907	195
2022.19331537318	855036.024557853	176
2022.20473191625	330167.145651084	143
2022.21614845932	366859.119100439	155
2022.22756500239	533699.318871044	167
2022.23898154546	603945.330552409	168
2022.25039808853	584371.699445409	166
2022.2618146316	500419.896897698	144
2022.27323117467	370030.128397712	111
2022.28464771774	419290.731226456	89
2022.29606426081	398905.310190638	88
2022.30748080388	378961.869694849	76
2022.31889734695	306082.90363238	67
2022.33031389002	313262.476723108	68
2022.34173043309	322894.792654511	54
2022.35314697617	356672.957668448	44
2022.36456351924	388994.348032204	31
2022.37598006231	307085.100376708	23
2022.38739660538	262604.644254787	19
2022.39881314845	327688.829584898	16
2022.41022969152	411670.659828176	17
2022.42164623459	384377.138650214	17
2022.43306277766	312445.738858947	16
2022.44447932073	454621.328783047	14
2022.4558958638	380735.412967179	15
2022.46731240687	334034.945294403	15
2022.47872894994	252177.589792125	14
2022.49014549301	141402.863734717	12
2022.50156203608	58560.5055344421	4
2022.51297857915	22091.7147448087	1
2022.52439512222	15441.7239494281	4
2022.53581166529	52933.553437847	3
2022.54722820836	62356.6987057607	3
2022.55864475143	76364.731734965	3
2022.5700612945	91299.2189091287	3
2022.58147783757	107539.537412521	3
2022.59289438064	93739.22743039	6
2022.60431092371	114628.042444117	6
2022.61572746678	143768.544809036	6
2022.62714400985	272475.407960255	5
2022.63856055292	480353.222730706	8
2022.64997709599	755452.164150581	9
2022.66139363906	1043087.84899785	9
2022.67281018213	1134303.64893765	8
2022.6842267252	209769.359528487	6
2022.69564326827	169694.609282717	5
2022.70705981134	91132.8485895832	2
2022.71847635441	2492850.760201	3
2022.72989289748	1702561.85760401	3
2022.74130944055	758190.225763959	3
2022.75272598362	79543.5405342547	5
2022.76414252669	256102.096055279	4
2022.77555906976	299414.222893589	3
2022.78697561283	203884.894186256	4
2022.7983921559	135884.980512865	3
2022.80980869897	5101.55964336491	1
2022.82122524204	870.609177684189	1
2022.83264178511	NA	0
2022.84405832818	NA	0
2022.85547487125	NA	0
2022.86689141432	NA	0
2022.87830795739	NA	0
2022.88972450046	70164.1742947535	1
2022.90114104353	49130.285904321	1
