time	diffusion_coefficient	number_of_branches
2021.76827683566	184767.626502914	0
2021.77444049088	15761.3891482741	0
2021.7806041461	47645.4074855058	0
2021.78676780132	24541.2719079278	0
2021.79293145655	149798.685050858	0
2021.79909511177	185044.199574907	0
2021.80525876699	272459.103219413	0
2021.81142242221	306661.879106164	0
2021.81758607743	259117.224237211	0
2021.82374973265	332497.79189427	0
2021.82991338787	315312.663486609	0
2021.83607704309	357714.954487005	0
2021.84224069832	470227.834062456	0
2021.84840435354	716476.192784541	2
2021.85456800876	1160400.37053171	4
2021.86073166398	2391084.30847288	8
2021.8668953192	5860605.61281021	22
2021.87305897442	7450351.06509886	62
2021.87922262964	7145518.40624152	64
2021.88538628487	7342402.60889868	68
2021.89154994009	7510516.68228574	70
2021.89771359531	7613625.07200919	74
2021.90387725053	7375175.3133838	75.5
2021.91004090575	5543029.17641349	56
2021.91620456097	4639496.28998627	37
2021.92236821619	4724602.55353676	41
2021.92853187141	4724640.67938521	43.5
2021.93469552664	4947109.48764511	46
2021.94085918186	5208416.48322835	50
2021.94702283708	5555177.62830907	53
2021.9531864923	5922446.7330592	56
2021.95935014752	6233987.6025899	60
2021.96551380274	6863979.54079782	64
2021.97167745796	7496982.45010797	70
2021.97784111318	8372824.0143065	75
2021.98400476841	9382148.96526187	81
2021.99016842363	10953076.7239635	89
2021.99633207885	13266074.0006963	108
2022.00249573407	15081262.5563915	131.5
2022.00865938929	16683690.6339376	141
2022.01482304451	18306577.8378707	152
2022.02098669973	20359424.5809193	167
2022.02715035496	22996986.3172146	187
2022.03331401018	25846405.7681082	219
2022.0394776654	29301156.3753242	263
2022.04564132062	37826552.7200141	250
2022.05180497584	38367715.7626718	258
2022.05796863106	37574036.2673979	276
2022.06413228628	38395941.8300036	281
2022.0702959415	37287051.4735837	277
2022.07645959673	35276824.2605089	268
2022.08262325195	30443096.9888597	253
2022.08878690717	25640022.2215865	223
2022.09495056239	26551536.2723051	217
2022.10111421761	25872792.2515558	209
2022.10727787283	27171239.9175895	210
2022.11344152805	27521776.3449251	212
2022.11960518327	27821437.5568679	214
2022.1257688385	26880732.4930988	204
2022.13193249372	25496062.3175502	205
2022.13809614894	25322077.0219496	203
2022.14425980416	25515099.6172048	202
2022.15042345938	25872735.3026951	201
2022.1565871146	30104114.634565	199
2022.16275076982	31211482.930894	210
2022.16891442505	31183625.1859683	198
2022.17507808027	31175698.6570895	202
2022.18124173549	29158858.731632	195
2022.18740539071	28141312.7686511	192
2022.19356904593	24238395.4840427	176
2022.19973270115	17796879.5775138	164
2022.20589635637	16008976.8463116	143
2022.21206001159	16160813.8673638	152
2022.21822366682	17268511.4853958	156
2022.22438732204	22081761.9040142	163
2022.23055097726	23873744.5832478	159
2022.23671463248	25397608.6088008	168
2022.2428782877	25328843.1349337	164
2022.24904194292	24229681.8202264	164
2022.25520559814	22175801.2790544	155
2022.26136925336	18590767.5049177	143
2022.26753290859	13586417.6861869	110
2022.27369656381	11986827.5237283	110
2022.27986021903	10770074.5079147	96
2022.28602387425	10130326.6068271	88
2022.29218752947	9351731.63036123	86.5
2022.29835118469	9074228.61140949	83
2022.30451483991	8501776.52525232	75
2022.31067849514	8457089.13228885	73
2022.31684215036	6993707.7401882	62
2022.32300580558	7165238.05982574	60
2022.3291694608	7001139.67723293	63
2022.33533311602	6392660.03969079	64
2022.34149677124	5687781.91396979	50
2022.34766042646	5043874.91764126	47
2022.35382408168	4990551.95692937	40
2022.35998773691	4365536.36153113	31
2022.36615139213	3717857.59802785	26
2022.37231504735	2852651.93466428	21
2022.37847870257	1677612.92584869	17
