time	diffusion_coefficient	number_of_branches
2023.8643611574	2162251.63154261	6.422
2023.87638038167	1697486.11049204	8.336
2023.88839960594	1400240.41840854	9.716
2023.90041883022	471985.530554784	7.535
2023.91243805449	513022.284536002	6.564
2023.92445727876	431186.342741705	7.888
2023.93647650304	452721.183733002	4.553
2023.94849572731	337766.081511812	4.418
2023.96051495158	76013.4799715169	3.507
2023.97253417586	120907.332805894	1.305
2023.98455340013	458755.282366598	1.544
2023.9965726244	2482201.46417072	2.285
2024.00859184868	2442098.96524772	2.367
2024.02061107295	2315460.43561723	2.474
2024.03263029722	212309.969440083	1.033
2024.0446495215	1795954.93678725	2.165
2024.05666874577	2202307.97018073	2.496
2024.06868797004	1953046.44223994	2.541
2024.08070719432	1733275.24268353	2.618
2024.09272641859	226473.393204619	0.755
2024.10474564286	250869.732348267	0.905
2024.11676486714	273618.746751455	1.093
2024.12878409141	302425.6050195	1.194
2024.14080331568	262892.859949247	1.287
2024.15282253996	244810.150379733	1.497
2024.16484176423	255929.305473143	1.662
2024.17686098851	286530.020039975	1.967
2024.18888021278	265484.620299846	2.395
2024.20089943705	239012.712160877	2.409
2024.21291866133	236325.993722054	2.337
2024.2249378856	225018.240309692	2.136
2024.23695710987	223804.656440866	1.909
2024.24897633415	220885.188527546	1.946
2024.26099555842	211649.539155592	2.243
2024.27301478269	202172.284406542	2.489
2024.28503400697	214459.659196155	2.669
2024.29705323124	221945.827962314	3.013
2024.30907245551	219149.859313719	3.162
2024.32109167979	223644.087268169	3.682
2024.33311090406	217224.019293588	4.305
2024.34513012833	209967.962887935	5.139
2024.35714935261	210880.003366546	6.554
2024.36916857688	186361.824669015	6.826
2024.38118780115	183385.523134488	5.778
2024.39320702543	157727.051181597	4.177
2024.4052262497	162993.415866944	1.869
2024.41724547397	147872.663386049	1.951
2024.42926469825	138370.376662068	2.041
2024.44128392252	120500.732565867	2.102
2024.45330314679	123086.062728885	2.236
2024.46532237107	127653.811148109	2.396
2024.47734159534	115588.199204762	2.56
2024.48936081961	121475.265151156	2.732
2024.50138004389	111405.681876185	2.889
2024.51339926816	107378.495797462	3.112
2024.52541849243	84714.3539357258	3.383
2024.53743771671	67759.7973122812	3.151
2024.54945694098	57367.8851673617	2.657
2024.56147616525	51009.8668390527	1.871
2024.57349538953	52354.3020834733	1.208
2024.5855146138	62376.1357092231	1.252
2024.59753383807	62091.2350088345	1.289
2024.60955306235	51728.60148287	1.353
2024.62157228662	46335.1884973655	1.37
2024.63359151089	38787.7123980552	1.39
2024.64561073517	34868.7509306253	1.413
2024.65762995944	30992.406367052	1.347
2024.66964918371	29811.4956264487	1.417
2024.68166840799	31587.6258041685	1.447
2024.69368763226	30453.7385299451	1.489
2024.70570685653	24752.7723693786	1.807
2024.71772608081	24550.9490256277	2.32
2024.72974530508	27241.4556533233	2.758
2024.74176452935	25671.5311868503	3.332
2024.75378375363	26756.9264765627	3.318
2024.7658029779	31723.9157202987	3.336
2024.77782220218	37069.9440390915	3.085
2024.78984142645	42470.2274068855	3.011
2024.80186065072	49633.5722402118	3.009
2024.813879875	65267.138696894	3.101
2024.82589909927	82910.4646273492	3.355
2024.83791832354	125002.546635307	4.3
2024.84993754782	238604.186960477	8.02
2024.86195677209	631323.433697886	10.542
2024.87397599636	530325.794839341	12.162
2024.88599522064	498400.993740897	11.879
2024.89801444491	313243.118656351	5.966
2024.91003366918	215087.692774335	3.569
2024.92205289346	1499338.29792036	4.188
2024.93407211773	1466920.93842661	4.59
2024.946091342	1274629.20569146	5.176
2024.95811056628	106917.298374279	5.021
2024.97012979055	107851.834766085	8.171
2024.98214901482	109474.619943958	11.63
2024.9941682391	130125.573511237	12.273
2025.00618746337	164113.098452153	13.358
2025.01820668764	300506.187841855	13.342
2025.03022591192	1120505.54682298	17.588
2025.04224513619	1089111.13871136	17.276
2025.05426436046	1123301.21313535	15.567
