time	diffusion_coefficient	number_of_branches
2023.8643611574	835698.790266154	6
2023.87638038167	1133860.41291533	8
2023.88839960594	1412327.09393745	10
2023.90041883022	1105734.35151222	8
2023.91243805449	1106974.49533991	7
2023.92445727876	1018194.50816396	8
2023.93647650304	608770.788641795	4
2023.94849572731	344397.750600755	4
2023.96051495158	62032.2379395499	3
2023.97253417586	54293.8896506846	1
2023.98455340013	288565.690564328	2
2023.9965726244	549886.844478992	2
2024.00859184868	502480.179333453	2
2024.02061107295	374380.165989579	2
2024.03263029722	150083.825898943	0
2024.0446495215	790468.948393031	2
2024.05666874577	664079.931522336	2
2024.06868797004	615462.988751751	2
2024.08070719432	403822.080290617	2
2024.09272641859	166575.812708854	0
2024.10474564286	132389.305338113	0
2024.11676486714	182407.685609179	0
2024.12878409141	173505.919839414	0
2024.14080331568	177025.275842963	0
2024.15282253996	201726.733727258	0
2024.16484176423	226023.010245821	0
2024.17686098851	257209.923242395	0
2024.18888021278	232153.710773001	0
2024.20089943705	206417.933662788	1
2024.21291866133	191040.465845577	2
2024.2249378856	162264.781349507	2
2024.23695710987	189598.784195343	0
2024.24897633415	201284.01389094	0
2024.26099555842	181733.826081966	3
2024.27301478269	172022.73295925	3
2024.28503400697	208857.450643787	3
2024.29705323124	223697.817371777	3
2024.30907245551	239343.482596168	3
2024.32109167979	265024.003513038	3
2024.33311090406	271181.243750118	3
2024.34513012833	276064.598775812	5
2024.35714935261	326995.055553868	6
2024.36916857688	291962.009769037	6
2024.38118780115	215812.190988331	6
2024.39320702543	132803.557147683	3
2024.4052262497	117863.172147576	0
2024.41724547397	123195.854339177	0
2024.42926469825	95272.8094661315	0
2024.44128392252	99419.1212345649	0
2024.45330314679	92093.8399097774	3
2024.46532237107	92566.6468957467	3
2024.47734159534	109449.011512202	3
2024.48936081961	107800.60973279	3
2024.50138004389	102383.292079163	3
2024.51339926816	99174.174300282	3
2024.52541849243	99063.7449092761	3
2024.53743771671	84382.9545393763	3
2024.54945694098	68326.3870620708	3
2024.56147616525	48926.7172193016	0
2024.57349538953	42205.1165575948	0
2024.5855146138	45232.4908076169	0
2024.59753383807	39386.8673890814	0
2024.60955306235	39472.3311340248	0
2024.62157228662	45128.5800195286	0
2024.63359151089	37308.4706353733	0
2024.64561073517	44046.9343536114	0
2024.65762995944	41571.812483498	0
2024.66964918371	38000.0668193663	0
2024.68166840799	39590.8549256985	0
2024.69368763226	40939.1772487024	0
2024.70570685653	36742.9687565356	0
2024.71772608081	37790.5118289033	3
2024.72974530508	39612.9939690592	3
2024.74176452935	41243.0343929332	3
2024.75378375363	47356.8309944828	3
2024.7658029779	58580.6584341996	3
2024.77782220218	62638.7515060992	3
2024.78984142645	67681.4089892714	3
2024.80186065072	78033.4746384028	3
2024.813879875	95695.1476513387	3
2024.82589909927	140928.491510951	3
2024.83791832354	203368.551376435	5
2024.84993754782	491164.270377748	8
2024.86195677209	762830.508214534	11
2024.87397599636	651808.818224442	12
2024.88599522064	480528.976549331	11
2024.89801444491	95428.7530393613	7
2024.91003366918	149603.607240187	3
2024.92205289346	212567.56132884	3
2024.93407211773	264404.731500063	3
2024.946091342	259571.922517358	5
2024.95811056628	126371.580249268	4
2024.97012979055	233463.091846596	8
2024.98214901482	303249.221589698	12
2024.9941682391	459645.824851521	12
2025.00618746337	772307.249433387	14
2025.01820668764	1504369.31928196	14
2025.03022591192	2135927.04264686	18
2025.04224513619	1814073.45145944	17
2025.05426436046	1406289.57193015	15
