time	diffusion_coefficient	number_of_branches
2021.32302891414	2249.6407139303	0.002
2021.36058916599	NA	0
2021.39814941783	NA	0
2021.43570966967	NA	0
2021.47326992152	NA	0
2021.51083017336	6878.87468332377	0.004
2021.5483904252	NA	0
2021.58595067705	17002.4346386624	0.006
2021.62351092889	NA	0
2021.66107118074	NA	0
2021.69863143258	7447.66405727993	0.002
2021.73619168442	4835.0959671998	0.004
2021.77375193627	41953.9186845888	0.01
2021.81131218811	18071.9451959409	0.004
2021.84887243996	5471.75652983225	0.006
2021.8864326918	41357.895339433	0.008
2021.92399294364	1211.4528717445	0.002
2021.96155319549	75248.3113329583	0.062
2021.99911344733	147994.997243585	0.279
2022.03667369917	70469.2437566604	0.132
2022.07423395102	123508.22951832	0.211
2022.11179420286	198088.696992741	0.378
2022.14935445471	351995.646170566	2.08
2022.18691470655	275869.404906746	5.184
2022.22447495839	145856.081041563	1.294
2022.26203521024	178409.697184216	2.124
2022.29959546208	269497.265969224	3.882
2022.33715571392	280633.691542042	14.889
2022.37471596577	187579.215341107	2.96
2022.41227621761	129865.847321338	3.596
2022.44983646946	157404.576753031	4.627
2022.4873967213	170685.160319801	6.632
2022.52495697314	140639.342605528	4.167
2022.56251722499	118444.789803375	1.611
2022.60007747683	139006.09351867	1.793
2022.63763772867	148948.743325563	1.809
2022.67519798052	136137.706220867	1.838
2022.71275823236	133366.768741131	1.689
2022.75031848421	115735.968630841	2.72
2022.78787873605	49205.7165523335	3.058
2022.82543898789	186384.460273201	3.226
2022.86299923974	47012.097265382	8.713
2022.90055949158	136755.752689682	8.24
2022.93811974343	56288.8865417182	5.299
2022.97567999527	65620.4951888498	3.344
2023.01324024711	67727.6444631911	4.18
2023.05080049896	62839.3999612306	5.945
2023.0883607508	77469.607241506	4.555
2023.12592100264	106398.355896562	4.015
2023.16348125449	156051.633252539	3.058
2023.20104150633	150836.962930322	10.897
2023.23860175818	267873.899525509	19.474
2023.27616201002	252881.789543807	20.509
2023.31372226186	239737.447289277	26.011
2023.35128251371	229326.067405582	38.356
2023.38884276555	142456.725788218	7.015
2023.42640301739	98182.7413058042	7.882
2023.46396326924	91700.3945633967	8.181
2023.50152352108	77714.1642568016	9.121
2023.53908377293	91459.330947006	9.076
2023.57664402477	28289.3920110416	7.817
2023.61420427661	65809.496160852	2.557
2023.65176452846	82573.0385899954	2.233
2023.6893247803	87801.9543152499	3.152
2023.72688503215	112044.432936474	12.432
2023.76444528399	118193.771058958	16.869
2023.80200553583	394968.010158212	30.104
2023.83956578768	754994.599045703	47.213
2023.87712603952	704777.950749877	25.259
2023.91468629136	291012.263987016	13.293
2023.95224654321	158826.453731941	7.886
2023.98980679505	986123.864872605	2.849
2024.0273670469	1087138.90272025	4.26
2024.06492729874	1349004.50693115	3.506
2024.10248755058	55479.9191931957	2.11
2024.14004780243	230387.257593471	1.496
2024.17760805427	109864.003763468	3.15
2024.21516830611	232000.864150621	2.424
2024.25272855796	219829.300704167	2.139
2024.2902888098	216838.038513535	2.956
2024.32784906165	225778.047296886	4.13
2024.36540931349	186942.48047584	7.207
2024.40296956533	166600.772353075	1.844
2024.44052981718	124041.080303088	2.108
2024.47809006902	116170.579598155	2.573
2024.51565032087	100793.797015782	3.192
2024.55321057271	55532.8105990135	2.462
2024.59077082455	60015.1595228663	1.219
2024.6283310764	40118.8817532709	1.421
2024.66589132824	29370.9074696473	1.375
2024.70345158008	26756.5712019689	1.75
2024.74101183193	25940.4094983928	3.266
2024.77857208377	37720.6542948962	3.068
2024.81613233562	69781.0488081568	3.215
2024.85369258746	487167.343693184	9.779
2024.8912528393	517076.798643841	9.7
2024.92881309115	1489148.76181731	4.396
2024.96637334299	113557.571614051	6.828
2025.00393359483	146102.193935578	13.867
2025.04149384668	1089305.24269113	17.355
