time	diffusion_coefficient	number_of_branches
2021.32302891414	3350.70547654692	0
2021.36058916599	NA	0
2021.39814941783	NA	0
2021.43570966967	NA	0
2021.47326992152	NA	0
2021.51083017336	13188.831688736	0
2021.5483904252	NA	0
2021.58595067705	34433.3272532675	0
2021.62351092889	NA	0
2021.66107118074	NA	0
2021.69863143258	14180.6104641923	0
2021.73619168442	9249.09055929308	0
2021.77375193627	76147.5666336069	0
2021.81131218811	34185.001003211	0
2021.84887243996	6450.70217424967	0
2021.8864326918	6611.44649348888	0
2021.92399294364	2065.45856227884	0
2021.96155319549	46400.9783289304	0
2021.99911344733	52618.6308973646	0
2022.03667369917	63500.9062398412	0
2022.07423395102	116706.234851868	0
2022.11179420286	173409.774376997	0
2022.14935445471	641597.666213012	0
2022.18691470655	653257.892687303	0
2022.22447495839	174364.60224603	0
2022.26203521024	213281.088315369	0
2022.29959546208	372781.533637925	3
2022.33715571392	897966.38602303	16
2022.37471596577	240917.960877266	3
2022.41227621761	199055.132222846	3
2022.44983646946	282579.73000257	3
2022.4873967213	361117.817996281	6
2022.52495697314	197354.857388062	3
2022.56251722499	128993.037446034	0
2022.60007747683	141057.833707026	0
2022.63763772867	145330.40522453	0
2022.67519798052	147673.535736543	0
2022.71275823236	90677.6481373939	0
2022.75031848421	106696.660325617	1
2022.78787873605	12844.2773144045	1
2022.82543898789	135852.560776826	1
2022.86299923974	96054.5378147185	7
2022.90055949158	218169.944170373	8
2022.93811974343	62178.5346622199	5
2022.97567999527	26250.4139944975	4
2023.01324024711	72446.7454923042	3
2023.05080049896	74377.3327913037	4
2023.0883607508	53378.6704591478	5
2023.12592100264	81478.6738489807	4
2023.16348125449	220749.293509278	3
2023.20104150633	489873.096386236	11
2023.23860175818	1653054.27787279	20
2023.27616201002	1475131.2158026	20
2023.31372226186	1711852.61574727	26
2023.35128251371	2029821.49663794	39
2023.38884276555	312061.567673683	6
2023.42640301739	242535.713372424	6.5
2023.46396326924	243552.725293453	6
2023.50152352108	220133.162291552	8
2023.53908377293	261030.923775351	9
2023.57664402477	81871.6050889577	8
2023.61420427661	128819.301589181	3
2023.65176452846	135761.795730041	0
2023.6893247803	128062.606813461	3
2023.72688503215	479874.330907099	13
2023.76444528399	598111.531244448	16
2023.80200553583	2541019.70869315	30
2023.83956578768	2899889.77790061	47
2023.87712603952	2113157.88162454	25
2023.91468629136	1049632.57128256	13
2023.95224654321	236594.972995856	7
2023.98980679505	313052.171011436	3
2024.0273670469	92213.8492792116	3
2024.06492729874	401236.28319818	3
2024.10248755058	1821.38994768455	1
2024.14004780243	191369.819907626	0
2024.17760805427	31681.0838640672	1
2024.21516830611	185378.179383563	3
2024.25272855796	197830.974566122	3
2024.2902888098	221593.916577442	3
2024.32784906165	251330.840719632	3
2024.36540931349	309664.683338743	7
2024.40296956533	107809.468276351	0
2024.44052981718	97994.3329630237	0
2024.47809006902	109355.827869439	3
2024.51565032087	96958.905793922	3
2024.55321057271	62881.2077587124	3
2024.59077082455	41102.2572646782	0
2024.6283310764	38455.3236867485	0
2024.66589132824	37890.8195401364	0
2024.70345158008	35790.1855025509	0
2024.74101183193	41191.9379042636	3
2024.77857208377	63610.226421253	3
2024.81613233562	103841.011643984	3
2024.85369258746	626407.447215531	10
2024.8912528393	282985.477041433	9
2024.92881309115	237179.178529887	3
2024.96637334299	197541.77384246	7
2025.00393359483	692380.558387793	14
2025.04149384668	1836831.74795968	17
