time	diffusion_coefficient	number_of_branches
2021.31701927281	1908.55145075336	0.002
2021.34256024199	NA	0
2021.36810121116	NA	0
2021.39364218034	NA	0
2021.41918314952	NA	0
2021.4447241187	NA	0
2021.47026508788	NA	0
2021.49580605705	545.342486870884	0.004
2021.52134702623	11307.9841739348	0.004
2021.54688799541	NA	0
2021.57242896459	6568.00839540288	0.006
2021.59796993376	26285.9195010046	0.006
2021.62351090294	NA	0
2021.64905187212	NA	0
2021.6745928413	NA	0
2021.70013381047	9287.69943989739	0.002
2021.72567477965	40545.8517096672	0.002
2021.75121574883	22792.3069572393	0.006
2021.77675671801	37943.0117551022	0.006
2021.80229768719	56203.9265013931	0.008
2021.82783865636	22301.7313444038	0.008
2021.85337962554	6783.59346934099	0.006
2021.87892059472	31412.7422150732	0.008
2021.9044615639	3936.92926600129	0.002
2021.93000253307	3101.65768008282	0.014
2021.95554350225	64789.6921618797	0.056
2021.98108447143	106399.265044708	0.084
2022.00662544061	144008.177526872	0.295
2022.03216640978	75574.0957673054	0.126
2022.05770737896	97029.5520706138	0.18
2022.08324834814	118034.451282065	0.217
2022.10878931732	164843.759283381	0.358
2022.1343302865	281034.824600746	0.942
2022.15987125567	282990.176390706	5.673
2022.18541222485	277986.960492212	5.291
2022.21095319403	168255.26427674	1.158
2022.23649416321	130445.405541182	1.478
2022.26203513238	178426.031468968	2.123
2022.28757610156	241920.613185981	3.003
2022.31311707074	311626.179846394	5.604
2022.33865803992	281212.680061209	14.798
2022.36419900909	237379.912493646	10.159
2022.38973997827	157055.044822381	3.026
2022.41528094745	130672.194761415	3.665
2022.44082191663	143684.933074883	4.326
2022.46636288581	160827.568205555	5.444
2022.49190385498	162744.167322433	6.926
2022.51744482416	149264.61265179	5.16
2022.54298579334	148891.139280957	1.52
2022.56852676252	114629.810125971	1.587
2022.59406773169	130004.573163134	1.79
2022.61960870087	153871.08571762	1.801
2022.64514967005	144021.72435706	1.838
2022.67069063923	131323.959299108	1.82
2022.6962316084	145170.402228507	1.695
2022.72177257758	144019.867159199	1.697
2022.74731354676	140194.75935325	1.786
2022.77285451594	82871.7110375124	2.868
2022.79839548512	527731.880759265	3.089
2022.82393645429	202401.307792822	3.228
2022.84947742347	50895.3743630143	5.456
2022.87501839265	68424.0706213471	11.195
2022.90055936183	136912.218717179	8.237
2022.926100331	70667.5546364161	6.555
2022.95164130018	67118.9202502959	4.948
2022.97718226936	64697.5902725176	3.281
2023.00272323854	78420.4293059272	2.415
2023.02826420771	58677.3470180074	5.323
2023.05380517689	60497.2772073557	5.983
2023.07934614607	71419.4457988862	4.403
2023.10488711525	104478.813421204	3.896
2023.13042808443	193265.108559958	3.082
2023.1559690536	164482.719734175	3.043
2023.18151002278	141669.034357617	4.879
2023.20705099196	154925.391593323	12.792
2023.23259196114	234538.730130007	19.565
2023.25813293031	276743.242642337	20.102
2023.28367389949	251372.572926626	19.657
2023.30921486867	256952.708361189	23.618
2023.33475583785	275760.971813724	29.223
2023.36029680702	232170.29724534	30.924
2023.3858377762	156229.500906547	6.717
2023.41137874538	116481.705340957	6.888
2023.43691971456	105588.272598436	6.899
2023.46246068374	96508.5953161612	7.179
2023.48800165291	91578.9525374871	7.527
2023.51354262209	78079.626461365	8.17
2023.53908359127	95061.0081139256	8.055
2023.56462456045	31109.265036591	9.589
2023.59016552962	24287.2824930709	6.117
2023.6157064988	75384.7507646808	2.091
2023.64124746798	94856.6439633653	1.906
2023.66678843716	99893.4425887644	1.649
2023.69232940633	94570.8393836514	3.08
2023.71787037551	108769.566726152	8.634
2023.74341134469	136871.444791857	11.125
2023.76895231387	162384.978701099	13.522
2023.79449328305	248700.951679957	20.116
2023.82003425222	904443.355164041	26.742
2023.8455752214	916663.20386459	30.464
