time	diffusion_coefficient	number_of_branches
2023.45867148254	216025.414959208	5.708
2023.47589692231	264484.238071103	8.034
2023.49312236208	331119.166196632	7.622
2023.51034780185	373554.202383616	7.055
2023.52757324162	480511.325726208	7.206
2023.54479868139	495013.966801695	9.339
2023.56202412116	425431.312349345	13.943
2023.57924956093	508345.775395139	18.391
2023.5964750007	380637.427347263	24.255
2023.61370044047	355614.422289655	25.257
2023.63092588024	308051.109933777	23.298
2023.64815132001	260883.450767845	18.262
2023.66537675978	203463.447843577	13.659
2023.68260219956	259750.059668253	12.004
2023.69982763933	223685.202552234	9.607
2023.7170530791	541150.21378096	6.888
2023.73427851887	191398.38565885	5.478
2023.75150395864	96139.4282203658	6.769
2023.76872939841	150305.163937655	8.355
2023.78595483818	122169.230130473	5.195
2023.80318027795	236051.329726325	1.507
2023.82040571772	314515.096352307	4.44
2023.83763115749	482269.384531326	9.063
2023.85485659726	394477.666314007	11.004
2023.87208203703	400140.734289036	11.026
2023.88930747681	87669.9260386593	9.175
2023.90653291658	72109.7565257173	6.745
2023.92375835635	72397.2799098417	6.868
2023.94098379612	80812.1399410657	6.139
2023.95820923589	84987.2939273769	5.309
2023.97543467566	106994.435988074	4.665
2023.99266011543	110368.001447669	4.962
2024.0098855552	235698.411452702	5.237
2024.02711099497	124994.718628788	5.098
2024.04433643474	93909.8291180626	3.678
2024.06156187451	74845.0838793569	3.461
2024.07878731428	53520.8264731975	4.126
2024.09601275405	40280.1493979865	4.917
2024.11323819383	44221.8269712571	3.783
2024.1304636336	33684.8992794324	3.375
2024.14768907337	60364.9371052748	3.988
2024.16491451314	42870.1689948565	4.196
2024.18213995291	28326.3604408947	6.441
2024.19936539268	17497.7273398122	6.801
2024.21659083245	16212.3147750007	5.5
2024.23381627222	23242.5931743866	3.414
2024.25104171199	15367.6557582309	1.473
2024.26826715176	23627.2324565932	1.568
2024.28549259153	175649.925386826	0.572
2024.3027180313	113022.875182005	0.519
2024.31994347108	98488.0974510145	0.524
2024.33716891085	156098.44077166	0.524
2024.35439435062	248821.467490697	0.503
2024.37161979039	295881.322602543	0.516000000000001
2024.38884523016	263291.218071019	0.468
2024.40607066993	155769.117081943	0.422
2024.4232961097	128458.532222501	0.413
2024.44052154947	194003.035195345	0.440999999999999
2024.45774698924	205395.415141466	0.462
2024.47497242901	200676.656171984	0.481
2024.49219786878	202266.106269483	0.501
2024.50942330855	210184.112523462	0.462
2024.52664874832	137436.136116682	0.563
2024.5438741881	167665.554828176	0.67
2024.56109962787	206526.878546614	0.666
2024.57832506764	180416.63354795	0.607
2024.59555050741	156637.65600211	0.603
2024.61277594718	143741.055489485	0.619
2024.63000138695	155220.021104083	0.593
2024.64722682672	89980.4769646582	0.508
2024.66445226649	87565.6886819906	0.459
2024.68167770626	72397.1603773188	0.515
2024.69890314603	75121.368838769	0.627
2024.7161285858	81203.8112411364	0.657
2024.73335402557	79219.9353960344	0.790000000000001
2024.75057946535	98987.6208384775	1.082
2024.76780490512	147559.811739925	1.285
2024.78503034489	133084.204084807	1.605
2024.80225578466	150201.925075141	2.167
2024.81948122443	190949.719175559	2.624
2024.8367066642	190204.143751024	3.02
2024.85393210397	195672.029898819	3.024
2024.87115754374	172152.343431382	2.618
2024.88838298351	139834.322827161	2.356
2024.90560842328	77751.0703978676	5.067
2024.92283386305	53929.5422458488	5.958
2024.94005930282	34896.8522575611	4.472
2024.9572847426	9470.85193223971	2.239
2024.97451018237	5074.60735898069	0.201
2024.99173562214	5355.7169853168	0.225
2025.00896106191	48526.7201530838	1.198
2025.02618650168	212274.035873933	2.234
2025.04341194145	118953.37702811	1.273
2025.06063738122	1962.85864794796	0.369
2025.07786282099	3190.61259267474	0.48
2025.09508826076	2555.02838184114	0.681
2025.11231370053	3089.61826253336	0.738
2025.1295391403	8347.51202545841	0.582
2025.14676458007	2633.78654481606	2.081
2025.16399001984	12388.0676029097	3.004
