time	diffusion_coefficient	number_of_branches
2023.45867148254	100276.882943179	6
2023.47589692231	145096.371127966	8
2023.49312236208	168189.329272973	8
2023.51034780185	197117.483930279	7
2023.52757324162	242500.260991276	7
2023.54479868139	284531.1293555	9
2023.56202412116	275367.81631696	13
2023.57924956093	335429.57432	18
2023.5964750007	281997.35934142	24
2023.61370044047	265983.130738385	25
2023.63092588024	237982.53996556	24
2023.64815132001	219625.646598257	18
2023.66537675978	119390.266640613	13
2023.68260219956	143483.003971133	11
2023.69982763933	122939.432421949	9
2023.7170530791	409553.053299611	7
2023.73427851887	144588.548860555	6
2023.75150395864	47697.6520944372	5
2023.76872939841	110266.433063137	7
2023.78595483818	54941.786167407	4
2023.80318027795	32781.5789685008	0
2023.82040571772	146259.56021589	5
2023.83763115749	428788.89836797	9
2023.85485659726	359792.834242651	10
2023.87208203703	323916.684082937	11
2023.88930747681	33329.5156558459	8
2023.90653291658	30307.5765374997	6
2023.92375835635	31035.1638082544	6
2023.94098379612	32413.6104078858	6
2023.95820923589	38154.0080044995	5
2023.97543467566	34250.7141969353	4
2023.99266011543	33754.5687289379	4
2024.0098855552	186032.865028411	4
2024.02711099497	98628.9433828224	4
2024.04433643474	39133.4617750521	3
2024.06156187451	30218.4795093139	3
2024.07878731428	25252.9917451555	4
2024.09601275405	19218.3139924555	5
2024.11323819383	14114.7179327296	4
2024.1304636336	4437.32972785922	4
2024.14768907337	26689.1168216833	4
2024.16491451314	22040.0059098023	5
2024.18213995291	12489.2920080823	7
2024.19936539268	6953.6141671274	7
2024.21659083245	3090.83759498467	5
2024.23381627222	543.91163565902	3
2024.25104171199	1718.07386950613	1
2024.26826715176	750.844146669572	1
2024.28549259153	41905.4166061462	0
2024.3027180313	37029.8441780412	0
2024.31994347108	35011.1776098882	0
2024.33716891085	49875.7612153599	0
2024.35439435062	55150.6126904511	0
2024.37161979039	49305.191498604	0
2024.38884523016	53518.9274811303	0
2024.40607066993	45832.1120546228	0
2024.4232961097	33212.3152331572	0
2024.44052154947	42296.4712942746	0
2024.45774698924	45741.5466644013	0
2024.47497242901	44083.8802504305	0
2024.49219786878	49948.7520492751	0
2024.50942330855	43756.421037133	0
2024.52664874832	34002.2470040147	0
2024.5438741881	42538.3128259151	0
2024.56109962787	52977.2460883211	0
2024.57832506764	37869.601597537	0
2024.59555050741	36983.7310427591	0
2024.61277594718	41143.7697062155	0
2024.63000138695	42847.7477678588	0
2024.64722682672	35709.9932241563	0
2024.66445226649	29710.6806302754	0
2024.68167770626	24978.0938580307	0
2024.69890314603	32841.7382155467	0
2024.7161285858	30378.2975739826	0
2024.73335402557	31029.6411603835	0
2024.75057946535	39939.7529151269	0
2024.76780490512	48259.074097631	0
2024.78503034489	47720.482010314	0
2024.80225578466	64020.6090602739	3
2024.81948122443	81773.9257085224	3
2024.8367066642	111889.655439844	3
2024.85393210397	127844.529644636	3
2024.87115754374	91725.8345227179	3
2024.88838298351	46544.6892383047	3
2024.90560842328	32915.3373473586	6
2024.92283386305	18504.7079839954	5
2024.94005930282	7309.58176806996	4
2024.9572847426	864.013190375436	2
2024.97451018237	1486.08838918967	0
2024.99173562214	1134.57419479491	0
2025.00896106191	31927.6447725933	1
2025.02618650168	190603.418085229	2
2025.04341194145	108758.807157745	1
2025.06063738122	439.437083681605	0
2025.07786282099	541.396132096039	0
2025.09508826076	385.064203901777	0
2025.11231370053	401.035171508582	0
2025.1295391403	335.865183592518	0
2025.14676458007	79.9919013086502	2
2025.16399001984	12657.1118631632	3
