time	95%HPD_lower_value	95%HPD_higher_value
2021.90784801458	0	0
2021.93835969837	0	0
2021.96887138216	0	0
2021.99938306595	0	0
2022.02989474973	0	254.681567920244
2022.06040643352	0	933.40683188122
2022.09091811731	300.493265893278	1691.69651459902
2022.1214298011	629.222272006301	2068.63612021405
2022.15194148489	896.562931182772	2345.62205567364
2022.18245316868	1165.07872523604	2738.34443725259
2022.21296485247	1445.80915615105	3173.94307712608
2022.24347653625	1853.93468556972	3762.87105350836
2022.27398822004	2112.73938942838	4212.37930026143
2022.30449990383	2565.52901972666	4948.18860417548
2022.33501158762	2856.97175347033	5180.08572206058
2022.36552327141	3199.52756712852	5631.57074483787
2022.3960349552	3602.38959839968	6201.06605626803
2022.42654663899	4240.50720365924	6953.0255159574
2022.45705832277	4273.61484121628	7337.80648717722
2022.48757000656	4352.5329936157	7859.52516972454
2022.51808169035	4515.33917555748	8592.88842488669
2022.54859337414	4610.58690960642	9737.19958335411
2022.57910505793	5260.86541753661	11971.6790322953
2022.60961674172	6025.43028484536	12960.5558313032
2022.64012842551	6808.38719092713	14024.3744774955
2022.67064010929	7809.79810934383	14561.3050344914
2022.70115179308	8699.82897289722	15006.5096700865
2022.73166347687	9967.52992399557	15660.1356220666
2022.76217516066	10574.4986757841	16038.3920143391
2022.79268684445	11373.9277484951	16738.539907864
2022.82319852824	11657.4090988957	16834.8840888808
2022.85371021203	12097.6952208348	16957.3861068332
2022.88422189582	12435.1079071766	17210.6458829318
2022.9147335796	12734.0029044409	17533.5233664061
2022.94524526339	12986.0952178667	17861.5648995718
2022.97575694718	13146.790854836	18031.7120784889
2023.00626863097	13405.9116331262	18499.7155038384
2023.03678031476	13737.3121954449	19029.2512177976
2023.06729199855	13938.627342149	19359.7931543092
2023.09780368234	14304.7850354887	19801.0286190073
2023.12831536612	15226.7660656398	20472.1454494166
2023.15882704991	15342.7969066292	20586.7828598847
2023.1893387337	15277.0968003154	20600.4475623219
2023.21985041749	15272.5865345863	20769.602785535
2023.25036210128	15620.9670762631	21158.2085500604
2023.28087378507	15502.6963810992	21149.3646265432
2023.31138546886	15744.0017506732	21395.4115054929
2023.34189715264	15838.2208728848	21486.0611972324
2023.37240883643	16130.5823686706	21745.007869722
2023.40292052022	16101.8486238962	21745.007869722
2023.43343220401	16081.0388237944	21745.007869722
2023.4639438878	16110.2796651057	21745.007869722
2023.49445557159	16130.5823686706	21758.9017614357
2023.52496725538	16669.0808466999	22345.8462272866
2023.55547893916	16428.7645324996	22034.4968580383
2023.58599062295	16759.8662465415	22332.4506507535
2023.61650230674	16832.5025879787	22411.332782569
2023.64701399053	17020.1577010152	22591.7719196343
2023.67752567432	17071.6394553037	22669.0769432778
2023.70803735811	17396.508539574	22971.5125118282
2023.7385490419	17533.0110678885	23033.641665313
2023.76906072568	17660.711008227	23142.0722306517
2023.79957240947	17672.8732589346	23134.844603322
2023.83008409326	17769.3268604213	23142.0722306517
2023.86059577705	17826.3577753636	23193.1606741176
2023.89110746084	17847.558817034	23227.253091289
2023.92161914463	17690.5859377251	23142.8408366412
2023.95213082842	17847.2822888407	23253.0180934011
2023.9826425122	17898.3693934036	23313.6902655828
2024.01315419599	17943.7419377822	23473.2145767382
2024.04366587978	18046.0591698738	23605.2062067403
2024.07417756357	18068.6907064263	23641.9413839578
2024.10468924736	18046.0591698738	23619.6219473063
2024.13520093115	18015.0507489969	23621.819766115
2024.16571261494	18015.0507489969	23667.034205316
2024.19622429872	18015.0507489969	23667.034205316
2024.22673598251	18015.0507489969	23667.034205316
2024.2572476663	18015.0507489969	23667.034205316
2024.28775935009	17943.7419377822	23596.9655196374
2024.31827103388	17943.7419377822	23596.9655196374
2024.34878271767	17943.7419377822	23596.9655196374
2024.37929440146	17943.7419377822	23582.2475589588
2024.40980608525	17943.7419377822	23582.2475589588
2024.44031776903	17870.8163551493	23473.2145767382
2024.47082945282	17916.2376317355	23505.3947770728
2024.50134113661	17878.6649294285	23473.2145767382
2024.5318528204	17921.2577408269	23473.2145767382
2024.56236450419	17943.7419377822	23489.4770037145
2024.59287618798	17920.3397286421	23464.2545000437
2024.62338787177	17943.7419377822	23464.2545000437
2024.65389955555	17943.7419377822	23464.2545000437
2024.68441123934	17953.0107903172	23473.2145767382
2024.71492292313	18095.846282086	23605.2062067403
2024.74543460692	18129.6558724433	23605.2062067403
2024.77594629071	18129.6558724433	23605.2062067403
2024.8064579745	18129.6558724433	23605.2062067403
2024.83696965829	18140.0042356926	23605.2062067403
2024.86748134207	18166.0707572484	23605.2062067403
2024.89799302586	18166.0707572484	23605.2062067403
2024.92850470965	18166.0707572484	23605.2062067403
2024.95901639344	18166.0707572484	23605.2062067403
