time	95%HPD_lower_value	95%HPD_higher_value
2021.90784801458	0	0
2021.93835969837	0	0
2021.96887138216	0	0
2021.99938306595	0	0
2022.02989474973	0	254.681567920244
2022.06040643352	0	776.80500975769
2022.09091811731	196.940287531072	1196.99582477535
2022.1214298011	426.899227336906	1426.19260322952
2022.15194148489	595.073625665364	1598.25091803395
2022.18245316868	816.087610581456	1761.83968362831
2022.21296485247	934.110925793356	1926.49093286749
2022.24347653625	1177.06893960379	2341.0810211811
2022.27398822004	1294.06233279406	2767.5550316422
2022.30449990383	1682.31544598815	3476.59956066018
2022.33501158762	1830.24725252667	3574.49998521247
2022.36552327141	2101.02715040124	3643.79276609495
2022.3960349552	2505.74125681962	3852.87281553343
2022.42654663899	3100.77889683551	4376.82485278549
2022.45705832277	3143.83585955728	4410.22712699258
2022.48757000656	3103.6895380103	4408.13281409548
2022.51808169035	3060.37593110873	4498.80562227088
2022.54859337414	3100.77889683551	4807.1875439854
2022.57910505793	3067.67893001892	6467.12309819976
2022.60961674172	3271.31867611538	6956.17342611215
2022.64012842551	3474.59107418332	7134.34240704213
2022.67064010929	3914.76745055282	7818.6635596516
2022.70115179308	4671.52740320889	8365.42210701342
2022.73166347687	5968.74012129353	8979.11016753138
2022.76217516066	6626.4425213513	9378.50226490422
2022.79268684445	7228.73967801921	9945.92013207297
2022.82319852824	7532.33040465626	10037.5363614644
2022.85371021203	8073.17833419836	10278.4993220361
2022.88422189582	8483.71125877453	10523.5959018728
2022.9147335796	8709.4328714987	10577.3397877291
2022.94524526339	8986.8074799753	10818.2800943975
2022.97575694718	9272.41950163032	11182.8018163744
2023.00626863097	9436.9071973204	11556.1583657512
2023.03678031476	9555.66504001484	11813.2846676781
2023.06729199855	9636.74271127409	12038.0202831614
2023.09780368234	9874.16553341809	12443.803705892
2023.12831536612	10822.4929760335	13107.2318803336
2023.15882704991	10822.4929760335	13107.2318803336
2023.1893387337	10892.3081977433	13115.1570483457
2023.21985041749	10937.790434295	13115.1570483457
2023.25036210128	10951.6380013814	13107.2318803336
2023.28087378507	10856.7555657359	12975.9664858031
2023.31138546886	10940.4815289785	12991.1406562233
2023.34189715264	11092.0056834288	13107.2318803336
2023.37240883643	11179.3662856066	13107.2318803336
2023.40292052022	11166.5924310633	12979.1226841709
2023.43343220401	11294.645843208	13015.9011154603
2023.4639438878	11452.480275103	13107.2318803336
2023.49445557159	11547.8243040554	13134.3110575178
2023.52496725538	11548.0135390352	13116.327970156
2023.55547893916	11742.2345748265	13296.5903901263
2023.58599062295	11781.5612839905	13306.7260815287
2023.61650230674	11952.8821881109	13375.4966644562
2023.64701399053	12136.7431203114	13454.8597418907
2023.67752567432	12276.022285568	13541.9362756962
2023.70803735811	12276.7586980489	13522.5481614718
2023.7385490419	12296.2454517472	13527.4645896312
2023.76906072568	12312.909207771	13541.9362756962
2023.79957240947	12312.909207771	13560.8263242153
2023.83008409326	12307.7321506122	13527.4645896312
2023.86059577705	12310.1763351923	13527.4645896312
2023.89110746084	12310.1763351923	13527.4645896312
2023.92161914463	12310.1763351923	13527.4645896312
2023.95213082842	12310.1763351923	13527.4645896312
2023.9826425122	12310.1763351923	13527.4645896312
2024.01315419599	12310.563320541	13527.4645896312
2024.04366587978	12310.563320541	13527.4645896312
2024.07417756357	12310.563320541	13527.4645896312
2024.10468924736	12310.563320541	13527.4645896312
2024.13520093115	12310.563320541	13527.4645896312
2024.16571261494	12310.563320541	13527.4645896312
2024.19622429872	12310.563320541	13527.4645896312
2024.22673598251	12310.563320541	13527.4645896312
2024.2572476663	12310.563320541	13527.4645896312
2024.28775935009	12310.563320541	13527.4645896312
2024.31827103388	12310.563320541	13527.4645896312
2024.34878271767	12310.563320541	13527.4645896312
2024.37929440146	12310.563320541	13527.4645896312
2024.40980608525	12310.563320541	13527.4645896312
2024.44031776903	12310.563320541	13527.4645896312
2024.47082945282	12310.563320541	13527.4645896312
2024.50134113661	12310.563320541	13527.4645896312
2024.5318528204	12310.563320541	13527.4645896312
2024.56236450419	12310.563320541	13527.4645896312
2024.59287618798	12310.563320541	13527.4645896312
2024.62338787177	12310.563320541	13527.4645896312
2024.65389955555	12310.563320541	13527.4645896312
2024.68441123934	12310.563320541	13527.4645896312
2024.71492292313	12310.563320541	13527.4645896312
2024.74543460692	12310.563320541	13527.4645896312
2024.77594629071	12310.563320541	13527.4645896312
2024.8064579745	12310.563320541	13527.4645896312
2024.83696965829	12310.563320541	13527.4645896312
2024.86748134207	12310.563320541	13532.0417924693
2024.89799302586	12401.3072610349	13622.9228718151
2024.92850470965	12310.7388209038	13527.4645896312
2024.95901639344	12310.7388209038	13527.4645896312
