time	diffusion_coefficient	number_of_branches
2021.92310385647	576500.845456528	0.01
2021.95361554026	185675.6390748	0.02
2021.98412722405	131418.056134746	0.097
2022.01463890784	436557.589963591	0.738
2022.04515059163	756645.102602907	6.645
2022.07566227542	644574.743957923	36.791
2022.10617395921	359375.235430208	10.499
2022.13668564299	356643.661885194	13.321
2022.16719732678	421007.89580535	20.006
2022.19770901057	378081.386817469	30.047
2022.22822069436	409674.970395968	43.87
2022.25873237815	454980.487281014	32.001
2022.28924406194	770144.49989861	29.602
2022.31975574573	1007830.43594576	46.737
2022.35026742951	464318.328906423	34.104
2022.3807791133	895841.892051954	31.7
2022.41129079709	892453.105598783	40.754
2022.44180248088	664036.566578423	45.435
2022.47231416467	815362.07920649	37.671
2022.50282584846	666333.132899934	45.173
2022.53333753225	993630.270788383	74.03
2022.56384921603	812075.136462769	189.936
2022.59436089982	712686.399833995	128.64
2022.62487258361	573553.113211663	33.022
2022.6553842674	637017.540697887	35.402
2022.68589595119	748297.471849157	36.48
2022.71640763498	657930.703774	36.354
2022.74691931877	402534.453873069	62.181
2022.77743100255	450004.789414214	105.141
2022.80794268634	595270.233925434	110.866
2022.83845437013	628888.074033938	120.792
2022.86896605392	488286.833750331	98.756
2022.89947773771	333079.611563074	106.675
2022.9299894215	239647.169298248	90.235
2022.96050110529	217240.375968801	78.705
2022.99101278908	181258.411755753	68.389
2023.02152447286	191324.768274381	55.965
2023.05203615665	180809.957393222	53.148
2023.08254784044	291547.988028276	47.731
2023.11305952423	482710.801186994	35.83
2023.14357120802	710066.653689157	34.563
2023.17408289181	280983.683648169	40.071
2023.2045945756	347672.263837064	36.675
2023.23510625938	280025.715582457	28.289
2023.26561794317	100700.971215062	19.043
2023.29612962696	185877.156076526	17.724
2023.32664131075	59266.9103411072	8.34
2023.35715299454	85147.907279855	4.439
2023.38766467833	153878.592966863	9.224
2023.41817636212	162684.130634289	7.67
2023.4486880459	274804.634120997	15.043
2023.47919972969	287246.386838195	16.377
2023.50971141348	289735.328415326	12.604
2023.54022309727	344347.572067526	11.606
2023.57073478106	324492.279433892	24.376
2023.60124646485	347313.894894291	28.998
2023.63175814864	229395.158743273	25.885
2023.66226983242	124216.377651656	22.642
2023.69278151621	138713.411277806	17.096
2023.7232932	48230.4496776549	9.228
2023.75380488379	54489.8719510102	13.382
2023.78431656758	36540.4712769175	10.896
2023.81482825137	58681.009895011	13.815
2023.84533993516	75741.8154377764	18.741
2023.87585161894	82470.3205558616	6.324
2023.90636330273	40345.1132698013	4.811
2023.93687498652	50915.2284281646	7.313
2023.96738667031	132191.919830343	4.21
2023.9978983541	212990.169459544	3.659
2024.02841003789	129370.501322042	4.637
2024.05892172168	85825.8626835463	2.46
2024.08943340546	35361.4137644244	3.602
2024.11994508925	13141.4097086534	1.558
2024.15045677304	31376.3452864083	3.04
2024.18096845683	9504.39510373852	3
2024.21148014062	10222.8921736411	1
2024.24199182441	NA	0
2024.2725035082	NA	0
2024.30301519198	NA	0
2024.33352687577	NA	0
2024.36403855956	NA	0
2024.39455024335	NA	0
2024.42506192714	NA	0
2024.45557361093	NA	0
2024.48608529472	NA	0
2024.51659697851	NA	0
2024.54710866229	NA	0
2024.57762034608	NA	0
2024.60813202987	NA	0
2024.63864371366	NA	0
2024.66915539745	NA	0
2024.69966708124	NA	0
2024.73017876503	NA	0
2024.76069044881	NA	0
2024.7912021326	NA	0
2024.82171381639	NA	0
2024.85222550018	NA	0
2024.88273718397	NA	0
2024.91324886776	NA	0
2024.94376055155	16415.6754676251	1
