time	diffusion_coefficient	number_of_branches
2021.92310385647	646236.440620621	0.01
2021.95361554026	314178.844885726	0.02
2021.98412722405	252422.550994082	0.097
2022.01463890784	702411.950099476	0.738
2022.04515059163	2578383.97215018	6.645
2022.07566227542	5212712.20899497	36.791
2022.10617395921	1686351.89953854	10.499
2022.13668564299	2025114.59474572	13.321
2022.16719732678	3362790.8647025	20.006
2022.19770901057	4443560.91755366	30.047
2022.22822069436	5822765.64266835	43.87
2022.25873237815	5385965.5341625	32.001
2022.28924406194	5827717.41804423	29.602
2022.31975574573	9161420.84704923	46.737
2022.35026742951	5583569.20200318	34.104
2022.3807791133	5183185.12522827	31.7
2022.41129079709	7493066.39617662	40.754
2022.44180248088	9505101.72765934	45.435
2022.47231416467	9967143.83873567	37.671
2022.50282584846	9688374.28367679	45.173
2022.53333753225	22679809.3156967	74.03
2022.56384921603	40665791.4253915	189.936
2022.59436089982	25180931.4017272	128.64
2022.62487258361	6167322.92069164	33.022
2022.6553842674	6145629.39969234	35.402
2022.68589595119	6516752.35814521	36.48
2022.71640763498	6866737.79900886	36.354
2022.74691931877	9175052.69674472	62.181
2022.77743100255	18074932.2083959	105.141
2022.80794268634	21897898.5685045	110.866
2022.83845437013	20102591.1643453	120.792
2022.86896605392	16624231.9222376	98.756
2022.89947773771	13241358.4628557	106.675
2022.9299894215	7033227.41729962	90.235
2022.96050110529	5702229.15275683	78.705
2022.99101278908	4009873.64223361	68.389
2023.02152447286	3775088.34089979	55.965
2023.05203615665	3132655.78873545	53.148
2023.08254784044	3408748.88234369	47.731
2023.11305952423	3625796.93767865	35.83
2023.14357120802	4527057.36335515	34.563
2023.17408289181	2841115.52498498	40.071
2023.2045945756	2655395.98918986	36.675
2023.23510625938	1808156.8344737	28.289
2023.26561794317	559886.326286504	19.043
2023.29612962696	1035793.14024877	17.724
2023.32664131075	229086.153599186	8.34
2023.35715299454	280448.444876325	4.439
2023.38766467833	616233.349215281	9.224
2023.41817636212	666778.925156387	7.67
2023.4486880459	1443061.6652976	15.043
2023.47919972969	1598965.9980753	16.377
2023.50971141348	1322414.89919653	12.604
2023.54022309727	1700072.71039719	11.606
2023.57073478106	2244215.37555257	24.376
2023.60124646485	2437472.43976971	28.998
2023.63175814864	1614196.87361486	25.885
2023.66226983242	1028048.53575564	22.642
2023.69278151621	933592.208731513	17.096
2023.7232932	197286.749798982	9.228
2023.75380488379	342284.292789833	13.382
2023.78431656758	190959.488672842	10.896
2023.81482825137	271885.777710565	13.815
2023.84533993516	403053.716614875	18.741
2023.87585161894	103375.894410274	6.324
2023.90636330273	95736.1292899077	4.811
2023.93687498652	134119.579653756	7.313
2023.96738667031	346280.021787963	4.21
2023.9978983541	414540.561071921	3.659
2024.02841003789	282294.82382433	4.637
2024.05892172168	162286.163125717	2.46
2024.08943340546	93577.9434166295	3.602
2024.11994508925	30054.4280763387	1.558
2024.15045677304	61129.2900419436	3.04
2024.18096845683	19477.2705049867	3
2024.21148014062	10222.8921736411	1
2024.24199182441	NA	0
2024.2725035082	NA	0
2024.30301519198	NA	0
2024.33352687577	NA	0
2024.36403855956	NA	0
2024.39455024335	NA	0
2024.42506192714	NA	0
2024.45557361093	NA	0
2024.48608529472	NA	0
2024.51659697851	NA	0
2024.54710866229	NA	0
2024.57762034608	NA	0
2024.60813202987	NA	0
2024.63864371366	NA	0
2024.66915539745	NA	0
2024.69966708124	NA	0
2024.73017876503	NA	0
2024.76069044881	NA	0
2024.7912021326	NA	0
2024.82171381639	NA	0
2024.85222550018	NA	0
2024.88273718397	NA	0
2024.91324886776	NA	0
2024.94376055155	16415.6754676251	1
