time	diffusion_coefficient	number_of_branches
2021.36374124015	11840.0885613167	0
2021.40202125522	301768.164858932	0
2021.44030127029	9517.73286829401	0
2021.47858128536	15319.1597113774	0
2021.51686130043	4579.52621117543	0
2021.5551413155	12962.6627686619	0
2021.59342133057	21551.9938573689	0
2021.63170134564	26573.8772338768	0
2021.66998136072	34745.9566493959	0
2021.70826137579	59090.0365287275	0
2021.74654139086	64047.2118072461	0
2021.78482140593	106019.721364387	0
2021.823101421	168857.475365778	2
2021.86138143607	206017.124373026	4
2021.89966145114	236926.710367934	7
2021.93794146621	259707.064774394	9
2021.97622148128	271056.876374354	11
2022.01450149636	265321.75090922	14
2022.05278151143	285858.102958939	16
2022.0910615265	292968.17732812	20
2022.12934154157	332441.772436521	25
2022.16762155664	348532.836111955	30
2022.20590157171	287819.798982365	36
2022.24418158678	336681.717562499	34
2022.28246160185	397588.325486385	40
2022.32074161693	415547.718535915	48
2022.359021632	340549.329908397	46
2022.39730164707	483776.909189538	39
2022.43558166214	404770.892861136	46
2022.47386167721	395623.463098525	40
2022.51214169228	431600.343029417	51
2022.55042170735	521849.227851539	61
2022.58870172242	795750.245024112	74
2022.6269817375	853058.041907371	79
2022.66526175257	833428.157610938	79
2022.70354176764	782358.73923825	86
2022.74182178271	727926.318568812	87
2022.78010179778	655363.849083906	87
2022.81838181285	558154.165204512	106
2022.85666182792	552867.101721793	115
2022.89494184299	513338.743125037	118
2022.93322185806	418214.199677587	92
2022.97150187314	424934.609467358	86
2023.00978188821	311058.897532943	88
2023.04806190328	312310.038188185	87
2023.08634191835	241103.292269394	72
2023.12462193342	240424.843140166	52
2023.16290194849	251006.56592029	47
2023.20118196356	77665.2907490908	27
2023.23946197863	68129.3171004321	23
2023.27774199371	106330.264086881	31
2023.31602200878	158034.329279342	20
2023.35430202385	96351.5609339003	10
2023.39258203892	98351.0259359323	10
2023.43086205399	106813.309266951	12.5
2023.46914206906	132471.128429591	14
2023.50742208413	163286.095630319	8
2023.5457020992	163623.290518688	15
2023.58398211428	366354.078690681	23
2023.62226212935	254729.029214148	28
2023.66054214442	170619.538542393	14
2023.69882215949	120853.656792726	9
2023.73710217456	62858.9896574542	10
2023.77538218963	97901.2994624547	6
2023.8136622047	25462.0430882158	5
2023.85194221977	343919.66654501	10
2023.89022223484	32524.242473618	6
2023.92850224992	35005.834430944	6
2023.96678226499	26413.8515447046	6
2024.00506228006	219843.072564777	4
2024.04334229513	17910.3841369764	5
2024.0816223102	24318.7574221686	4
2024.11990232527	7430.74816156192	5
2024.15818234034	28033.5889674054	6
2024.19646235541	7835.40467397969	7
2024.23474237049	438.853078439133	2
2024.27302238556	462.2046122288	1
2024.31130240063	37317.6397528992	0
2024.3495824157	49198.6856052102	0
2024.38786243077	53109.5693135126	0
2024.42614244584	35270.5689545221	0
2024.46442246091	48105.5080304189	0
2024.50270247598	47699.9646975335	0
2024.54098249106	40282.6895759187	0
2024.57926250613	39371.2235645524	0
2024.6175425212	47357.1673646163	0
2024.65582253627	33411.1972229759	0
2024.69410255134	27847.8015824457	0
2024.73238256641	28687.8744700775	0
2024.77066258148	47202.5765856909	0
2024.80894259655	4815.50115914754	4
2024.84722261162	116270.527805247	3
2024.8855026267	50824.599785766	3
2024.92378264177	17768.3473950158	5
2024.96206265684	1680.57216362795	0
2025.00034267191	170.573667925935	1
2025.03862268698	126144.873912427	2
2025.07690270205	539.658496534784	0
2025.11518271712	488.700932875451	0
2025.15346273219	14861.6092860072	3
