time	95%HPD_lower_value	95%HPD_higher_value
2021.35512823314	5181.45371605045	38376.6614615651
2021.3761822342	12928.6266081217	20541.0996249942
2021.39723623525	17570.3828922833	783410.56564034
2021.41829023631	1963.95660569573	302900.678212356
2021.43934423737	704.958306075983	71234.7531670976
2021.46039823842	1404.22851721375	326711.118695499
2021.48145223948	107.645198394754	835263.648843033
2021.50250624054	58.9409621204452	81335.5959817113
2021.5235602416	170.20931288313	1484428.28026209
2021.54461424265	146.90450961779	210813.919178733
2021.56566824371	114.284495057763	1175235.8110489
2021.58672224477	263.885619982521	915998.499601739
2021.60777624582	31.1174596035715	1473391.70846357
2021.62883024688	25.7688497212849	324070.639415725
2021.64988424794	95.603454500515	932387.414944085
2021.670938249	15.5831526752007	770254.15277127
2021.69199225005	20.8886699032744	713290.44671987
2021.71304625111	72.8650709233934	1196319.10629229
2021.73410025217	11.7032919816645	1268207.02397343
2021.75515425322	97.8151447092884	966357.056905988
2021.77620825428	16.5043547879219	1626307.75458548
2021.79726225534	57.5785562392258	1093102.03642818
2021.81831625639	0.0584880147703521	1335807.56148965
2021.83937025745	175.599337223609	1345370.8845123
2021.86042425851	13.0062809701348	1333949.89923391
2021.88147825957	531.74950673674	1154937.53013099
2021.90253226062	833.800478427143	1104894.08408948
2021.92358626168	2068.67532197493	1119711.29837839
2021.94464026274	6058.12577106001	1092560.32456675
2021.96569426379	3821.347112119	1068396.53488448
2021.98674826485	9304.0012810302	1068072.23283376
2022.00780226591	4389.48798108798	983462.097300094
2022.02885626697	421.282447478789	905897.33410808
2022.04991026802	28994.0477778135	959997.618155664
2022.07096426908	24369.9903023983	1018506.08284481
2022.09201827014	30851.3849836633	1047202.03281023
2022.11307227119	32251.7870343344	1059718.91703662
2022.13412627225	52304.2906162032	1026912.083257
2022.15518027331	81338.8194753707	961482.28025741
2022.17623427437	67089.8816611869	932539.525338026
2022.19728827542	60049.2844069655	792285.346045581
2022.21834227648	70657.0275953458	687622.288354054
2022.23939627754	85289.5953875883	775871.697338407
2022.26045027859	102483.173533585	943573.576126786
2022.28150427965	86371.7632194549	1051428.75572974
2022.30255828071	190025.877755667	1459169.48356473
2022.32361228177	107844.70781052	1059824.00391848
2022.34466628282	44411.9994884623	602396.280852813
2022.36572028388	96856.7639869386	808081.79539627
2022.38677428494	160219.132194839	1068151.99759318
2022.40782828599	161650.290266667	1107118.55658686
2022.42888228705	108975.798708033	806514.010156312
2022.44993628811	116609.732596705	915884.242466529
2022.47099028916	113350.290144851	1136522.37873407
2022.49204429022	115026.822613418	913773.218688196
2022.51309829128	133258.405655218	1208978.78702819
2022.53415229234	137153.523432051	1225433.04902673
2022.55520629339	168460.853496833	1679289.2841378
2022.57626029445	213082.916729432	2297594.20528493
2022.59731429551	194552.853787736	2105088.8252872
2022.61836829656	339913.991899126	2519086.99040738
2022.63942229762	317916.491871022	2593526.34698716
2022.66047629868	279352.993323586	2993918.5391277
2022.68153029974	240969.239919251	2343275.31103374
2022.70258430079	320043.076031934	2005969.88022618
2022.72363830185	233908.231554292	1666713.56524219
2022.74469230291	288595.791303373	1706488.44703288
2022.76574630396	473986.440600431	1673921.42591042
2022.78680030502	295492.207153826	1113896.65850147
2022.80785430608	287030.646310365	1084558.57966911
2022.82890830714	240155.33835414	934539.744023854
2022.84996230819	258503.490372948	942685.920829427
2022.87101630925	361226.899633811	1043096.8239219
2022.89207031031	296300.472202171	872516.317856788
2022.91312431136	209813.622591419	728047.836483411
2022.93417831242	216138.154640698	736476.816035488
2022.95523231348	162233.536298604	784515.84957813
2022.97628631454	168703.487099123	790161.78273043
2022.99734031559	109837.613894936	578799.156237481
2023.01839431665	129098.342966819	621566.154286713
2023.03944831771	132582.393101472	633168.218188831
2023.06050231876	117101.474596571	599759.456695735
2023.08155631982	75171.8160877168	565525.234892003
2023.10261032088	72636.4232835759	636001.26351311
2023.12366432193	51723.083445511	688260.393134514
2023.14471832299	54380.6979961843	829507.320208283
2023.16577232405	83454.2234391411	611203.965155788
2023.18682632511	27124.1335032458	553844.78744169
2023.20788032616	11080.270575357	390669.076481464
2023.22893432722	16489.1097208626	309411.461262108
2023.24998832828	9071.57742801177	391694.088917016
2023.27104232933	50553.0712440408	313425.578284163
2023.29209633039	22773.7112840473	263343.343324936
2023.31315033145	10832.8260432213	399386.065956908
2023.33420433251	20605.3861463123	404578.153075054
2023.35525833356	5150.77850037332	327776.288618381
2023.37631233462	1262.9324934946	357770.160668408
2023.39736633568	202.691157901104	682525.764285602
2023.41842033673	5059.21517915487	412553.803830441
2023.43947433779	1314.75693850295	444166.084207498
