time	diffusion_coefficient	number_of_branches
2021.35512823314	13011.9248051392	0.012
2021.3761822342	16734.863116558	0.004
2021.39723623525	248827.133528797	0.00600000000000005
2021.41829023631	116478.203120266	0.0120000000000001
2021.43934423737	23504.6427074498	0.014
2021.46039823842	47401.788802518	0.022
2021.48145223948	94166.2050053728	0.0220000000000001
2021.50250624054	13707.3825391382	0.028
2021.5235602416	37615.6347585813	0.042
2021.54461424265	68309.1750976803	0.046
2021.56566824371	157808.14239221	0.0499999999999997
2021.58672224477	146908.57444484	0.0710000000000001
2021.60777624582	155322.875435107	0.104
2021.62883024688	82039.3324091512	0.123
2021.64988424794	115209.200782011	0.175
2021.670938249	182266.574921248	0.267
2021.69199225005	159786.092717605	0.379
2021.71304625111	253184.762493255	0.484
2021.73410025217	277170.640360343	0.607
2021.75515425322	268065.28469909	0.813
2021.77620825428	315406.876968316	1.122
2021.79726225534	333563.072735713	1.664
2021.81831625639	370528.369839605	2.487
2021.83937025745	403388.206409989	3.38
2021.86042425851	418085.708912073	4.596
2021.88147825957	388343.344545953	5.85
2021.90253226062	384334.055097935	7.161
2021.92358626168	400500.021790597	8.31
2021.94464026274	398709.142629834	9.575
2021.96569426379	376199.133473661	11.225
2021.98674826485	382854.353348837	12.673
2022.00780226591	384745.371710796	13.995
2022.02885626697	368670.602611928	15.439
2022.04991026802	374951.073302468	16.764
2022.07096426908	387838.807394175	18.387
2022.09201827014	395479.346556063	20.264
2022.11307227119	437898.471926916	22.388
2022.13412627225	461628.131851487	25.978
2022.15518027331	454177.666631043	28.966
2022.17623427437	429181.934018579	30.087
2022.19728827542	406225.323613816	32.896
2022.21834227648	352860.248314507	37.909
2022.23939627754	359379.153163325	37.448
2022.26045027859	417668.02118424	35.458
2022.28150427965	466763.649013232	39.592
2022.30255828071	621047.325616626	49.747
2022.32361228177	489180.64919269	50.586
2022.34466628282	313838.816327125	44.487
2022.36572028388	374591.428529008	43.992
2022.38677428494	460789.553524548	38.894
2022.40782828599	479771.549428507	40.685
2022.42888228705	382652.826895571	43.419
2022.44993628811	381840.044949812	41.702
2022.47099028916	434374.784803911	41.66
2022.49204429022	464739.706096013	49.388
2022.51309829128	503060.172363241	51.102
2022.53415229234	626411.631519097	55.297
2022.55520629339	681416.911644854	62.786
2022.57626029445	815137.459214292	68.28
2022.59731429551	1137717.60379815	75.653
2022.61836829656	1169252.76994431	79.706
2022.63942229762	1091912.76809735	80.124
2022.66047629868	1046584.77943238	78.733
2022.68153029974	875041.247345596	78.901
2022.70258430079	874447.345907928	85.951
2022.72363830185	806342.270635818	89.208
2022.74469230291	752155.043441389	84.626
2022.76574630396	817107.68938144	82.593
2022.78680030502	618288.546828978	89.485
2022.80785430608	561945.209688142	96.069
2022.82890830714	561033.750253539	110.364
2022.84996230819	576816.8786465	115.809
2022.87101630925	751617.224303367	114.503
2022.89207031031	641462.745950949	115.85
2022.91312431136	383958.513546493	105.483
2022.93417831242	441919.419724582	91.03
2022.95523231348	440194.967525761	84.909
2022.97628631454	413886.543752765	80.98
2022.99734031559	348514.87613752	80.055
2023.01839431665	349875.671032558	82.568
2023.03944831771	348712.317882706	83.439
2023.06050231876	338493.783450479	80.235
2023.08155631982	286256.830453468	73.358
2023.10261032088	279621.953768431	59.711
2023.12366432193	279791.074835428	46.54
2023.14471832299	275890.980446422	44.304
2023.16577232405	265170.806433206	43.74
2023.18682632511	180703.667040543	36.85
2023.20788032616	134374.579701337	26.455
2023.22893432722	97776.4515890814	25.515
2023.24998832828	99824.5996894166	21.519
2023.27104232933	137011.65908459	25.958
2023.29209633039	103409.593549769	29.919
2023.31315033145	93656.9729447879	18.752
2023.33420433251	140599.798413127	9.95
2023.35525833356	100117.929390903	8.313
2023.37631233462	88410.2464904392	8.566
2023.39736633568	149106.148708728	5.855
2023.41842033673	158586.28043142	7.754
2023.43947433779	91455.8407841885	8.032
