time	diffusion_coefficient	number_of_branches
2021.35512823314	13011.9248051392	0.012
2021.3761822342	16734.863116558	0.004
2021.39723623525	400490.474266312	0.00600000000000005
2021.41829023631	80232.884732213	0.0120000000000001
2021.43934423737	23504.6427074498	0.014
2021.46039823842	47401.788802518	0.022
2021.48145223948	94166.2050053728	0.0220000000000001
2021.50250624054	13707.3825391382	0.028
2021.5235602416	81664.1546711065	0.042
2021.54461424265	66183.298163472	0.046
2021.56566824371	157808.14239221	0.0499999999999997
2021.58672224477	192988.280882762	0.0710000000000001
2021.60777624582	196657.118345622	0.104
2021.62883024688	66631.7014989612	0.123
2021.64988424794	130507.173846772	0.175
2021.670938249	186997.254413036	0.267
2021.69199225005	163620.576501257	0.379
2021.71304625111	316549.290720363	0.484
2021.73410025217	256054.174711181	0.607
2021.75515425322	262489.051590815	0.813
2021.77620825428	343166.401981425	1.122
2021.79726225534	314359.7046427	1.664
2021.81831625639	350112.997416947	2.487
2021.83937025745	391351.205988722	3.38
2021.86042425851	396906.957600044	4.596
2021.88147825957	363563.625651027	5.85
2021.90253226062	363997.882283918	7.161
2021.92358626168	394902.306991372	8.31
2021.94464026274	392563.687403623	9.575
2021.96569426379	380665.971630772	11.225
2021.98674826485	381798.417236035	12.673
2022.00780226591	373499.373138825	13.995
2022.02885626697	346837.688920853	15.439
2022.04991026802	367219.161676231	16.764
2022.07096426908	373698.868289503	18.387
2022.09201827014	393298.115741131	20.264
2022.11307227119	422698.863432769	22.388
2022.13412627225	427898.489215071	25.978
2022.15518027331	422226.537648879	28.966
2022.17623427437	407314.278073661	30.087
2022.19728827542	379691.793545332	32.896
2022.21834227648	331024.371578192	37.909
2022.23939627754	371123.117130189	37.448
2022.26045027859	419668.591249091	35.458
2022.28150427965	468609.388112986	39.592
2022.30255828071	679997.745982815	49.747
2022.32361228177	457325.63265733	50.586
2022.34466628282	298864.245995445	44.487
2022.36572028388	406545.230214403	43.992
2022.38677428494	508132.669058152	38.894
2022.40782828599	534206.832450984	40.685
2022.42888228705	398160.053924385	43.419
2022.44993628811	443482.889235218	41.702
2022.47099028916	471590.152827821	41.66
2022.49204429022	457282.34760088	49.388
2022.51309829128	549193.338252028	51.102
2022.53415229234	624151.136182383	55.297
2022.55520629339	708656.299779745	62.786
2022.57626029445	877274.088296014	68.28
2022.59731429551	999170.861415709	75.653
2022.61836829656	1103007.85370403	79.706
2022.63942229762	1169102.55840783	80.124
2022.66047629868	1162903.7772808	78.733
2022.68153029974	955354.235413822	78.901
2022.70258430079	963020.750081669	85.951
2022.72363830185	848225.283164901	89.208
2022.74469230291	898313.801354575	84.626
2022.76574630396	998533.993275619	82.593
2022.78680030502	629810.020201613	89.485
2022.80785430608	602771.234782349	96.069
2022.82890830714	567635.979475734	110.364
2022.84996230819	577406.067409459	115.809
2022.87101630925	677589.502943001	114.503
2022.89207031031	573324.778252731	115.85
2022.91312431136	442894.243029612	105.483
2022.93417831242	445953.778326256	91.03
2022.95523231348	417027.851119477	84.909
2022.97628631454	448706.305403038	80.98
2022.99734031559	319321.871965092	80.055
2023.01839431665	340763.634303306	82.568
2023.03944831771	330000.689024891	83.439
2023.06050231876	322526.099642767	80.235
2023.08155631982	277265.288239751	73.358
2023.10261032088	306294.932628181	59.711
2023.12366432193	293050.88966545	46.54
2023.14471832299	348328.38102704	44.304
2023.16577232405	297935.941372162	43.74
2023.18682632511	200822.800344889	36.85
2023.20788032616	122913.321726678	26.455
2023.22893432722	115505.214590372	25.515
2023.24998832828	114907.397001906	21.519
2023.27104232933	149978.956835734	25.958
2023.29209633039	104093.338740409	29.919
2023.31315033145	140858.237369229	18.752
2023.33420433251	141349.520423278	9.95
2023.35525833356	116527.777712129	8.313
2023.37631233462	110952.383029015	8.566
2023.39736633568	189840.228340149	5.855
2023.41842033673	146108.969222335	7.754
2023.43947433779	116041.761140267	8.032
