time	diffusion_coefficient	number_of_branches
2021.91395018777	148250.751230158	0
2021.92615453416	214907.683920143	0
2021.93835888055	71362.1300923245	0
2021.95056322694	116421.4390373	0
2021.96276757332	59893.8011405199	0
2021.97497191971	42223.3521437732	0
2021.9871762661	108758.521203008	0
2021.99938061248	147895.478792248	0
2022.01158495887	267850.229278185	0
2022.02378930526	428127.376900805	0
2022.03599365165	891838.157002426	2
2022.04819799803	2438876.38284461	8
2022.06040234442	5265042.20564778	36
2022.07260669081	4953552.70184851	37
2022.08481103719	4634905.81737312	37
2022.09701538358	2728880.4714072	24
2022.10921972997	1359441.91941582	11
2022.12142407636	1394241.44457623	11
2022.13362842274	1605639.93401039	13
2022.14583276913	2022928.31487442	15
2022.15803711552	2497055.00210159	17
2022.1702414619	3168304.12508657	21
2022.18244580829	3570195.68914705	24
2022.19465015468	3917097.1881738	28
2022.20685450107	4251730.36063437	36
2022.21905884745	4931256.29157671	40
2022.23126319384	5631881.99429482	43
2022.24346754023	5587225.90582497	37
2022.25567188662	5185751.00850675	33
2022.267876233	3995463.3725881	27
2022.28008057939	4578542.30581457	28
2022.29228492578	6073428.15658309	33
2022.30448927216	8640662.96408671	40
2022.31669361855	8475670.40418036	44
2022.32889796494	7732035.969148	44
2022.34110231133	5552506.39685231	41
2022.35330665771	5235348.50758492	34
2022.3655110041	4398689.81559913	29
2022.37771535049	4062038.65918247	29
2022.38991969687	5022859.33004019	29
2022.40212404326	7294505.40711682	35
2022.41432838965	6627465.08725985	43
2022.42653273604	8966615.67215829	46
2022.43873708242	8810241.61513248	46
2022.45094142881	8984313.0338043	41
2022.4631457752	10473959.0969987	38
2022.47535012158	8855744.92317002	38
2022.48755446797	7993254.62978442	40
2022.49975881436	8415344.94964496	44
2022.51196316075	11206495.7148287	48
2022.52416750713	15684003.3932286	58
2022.53637185352	22885690.152895	79
2022.54857619991	31101335.3091425	112
2022.5607805463	38272748.1968391	165
2022.57298489268	38115489.8120845	183
2022.58518923907	33280216.550301	157
2022.59739358546	21751225.4779686	109
2022.60959793184	5838697.17190668	31
2022.62180227823	5262916.70832102	32.5
2022.63400662462	4852200.35133853	31
2022.64621097101	5015749.38824614	33
2022.65841531739	5226173.77116242	34
2022.67061966378	5315737.59298026	36
2022.68282401017	5711006.51580971	36
2022.69502835655	5661554.91786496	37
2022.70723270294	6324202.34097093	39
2022.71943704933	7459922.96010821	38
2022.73164139572	8388879.80267759	42
2022.7438457421	8631531.94615334	59
2022.75605008849	9462835.2457516	75
2022.76825443488	16198645.4015328	93
2022.78045878126	17908513.0765002	106
2022.79266312765	18363195.1119372	109
2022.80486747404	21465373.7903075	112
2022.81707182043	23930957.3632375	110.5
2022.82927616681	20875212.4198959	115
2022.8414805132	19524801.4047379	113
2022.85368485959	16784714.093434	106
2022.86588920598	17448435.8977846	92
2022.87809355236	16415232.7485521	103
2022.89029789875	15119669.281701	96
2022.90250224514	12752061.2620036	98
2022.91470659152	9489930.39827553	85
2022.92691093791	6839118.18003562	79
2022.9391152843	6740020.04174496	77
2022.95131963069	6370169.56044577	73
2022.96352397707	5597929.54247898	69.5
2022.97572832346	4128444.46627768	63
2022.98793266985	3881730.47365579	59
2023.00013701623	3785987.83412286	54
2023.01234136262	4485426.55166236	51
2023.02454570901	3323839.15996988	45
2023.0367500554	2504688.73752463	45
2023.04895440178	2502585.46601967	44
2023.06115874817	2285963.3999387	45
2023.07336309456	2468638.98761352	42
2023.08556744094	2315352.7047858	40
2023.09777178733	2054045.60635808	31
2023.10997613372	1624729.84234401	20
2023.12218048011	559286.265229708	13
