label;collection_date;country;admin1;admin2;city/town/municipality;latitude;longitude;location_used
EPI_ISL_20179757|A/South_polar_skua/Beak_Island/SK08-138/2024|H5N1|Antarctica-Beak_Island|2024-03-20|wild_avian|B3.2;2024-03-20;Antarctica;Beak_Island;;;;;
EPI_ISL_20179903|A/Skua/Beak_Island/SK09-147/2024|H5N1|Antarctica-Beak_Island|2024-03-20|wild_avian|B3.2;2024-03-20;Antarctica;Beak_Island;;;;;
EPI_ISL_20180046|A/Skua/Beak_Island/SK10-155/2024|H5N1|Antarctica-Beak_Island|2024-03-20|wild_avian|B3.2;2024-03-20;Antarctica;Beak_Island;;;;;
EPI_ISL_20180047|A/Skua/Beak_Island/SK11-164/2024|H5N1|Antarctica-Beak_Island|2024-03-20|wild_avian|B3.2;2024-03-20;Antarctica;Beak_Island;;;;;
EPI_ISL_20180231|A/Skua/Beak_Island/SK12-173/2024|H5N1|Antarctica-Beak_Island|2024-03-20|wild_avian|B3.2;2024-03-20;Antarctica;Beak_Island;;;;;
EPI_ISL_20180249|A/Skua/Beak_Island/SK12-174/2024|H5N1|Antarctica-Beak_Island|2024-03-20|wild_avian|B3.2;2024-03-20;Antarctica;Beak_Island;;;;;
EPI_ISL_20180235|A/Skua/Beak_Island/SK13-180/2024|H5N1|Antarctica-Beak_Island|2024-03-21|wild_avian|B3.2;2024-03-21;Antarctica;Beak_Island;;;;;
EPI_ISL_20180240|A/Skua/Beak_Island/SK17-184/2024|H5N1|Antarctica-Beak_Island|2024-03-21|wild_avian|B3.2;2024-03-21;Antarctica;Beak_Island;;;;;
EPI_ISL_20179753|A/Skua/Devil_Island/SK07-51/2024|H5N1|Antarctica-Devil_Island|2024-03-19|wild_avian|B3.2;2024-03-19;Antarctica;Devil_Island;;;;;
EPI_ISL_20180245|A/Skua/Devil_Island/SK07-52/2024|H5N1|Antarctica-Devil_Island|2024-03-19|wild_avian|B3.2;2024-03-19;Antarctica;Devil_Island;;;;;
EPI_ISL_20151596|A/Brown_skua/Gough_Island/047354/2024|H5N1|Antarctica-Gough_Island|2024-09-09|wild_avian|B3.2;2024-09-09;Antarctica;Gough_Island;;;;;
EPI_ISL_20151597|A/Brown_skua/Gough_Island/047355/2024|H5N1|Antarctica-Gough_Island|2024-09-20|wild_avian|B3.2;2024-09-20;Antarctica;Gough_Island;;;;;
EPI_ISL_20179748|A/Brown_skua/Hope_Bay/SK02-30/2024|H5N1|Antarctica-Hope_Bay|2024-03-18|wild_avian|B3.2;2024-03-18;Antarctica;Hope_Bay;;;;;
EPI_ISL_19410263|A/South_polar_skua/Antarctica/INACH-UC-UCHILE-SKU3/2024|H5N1|Antarctica|2024-03-03|wild_avian|B3.2;2024-03-03;Antarctica;James Ross Island;;;-63.7989;-57.8105;precise (https://pubmed.ncbi.nlm.nih.gov/40633557/)
EPI_ISL_19410266|A/South_polar_skua/Antarctica/INACH-UC-UCHILE-SKU5L/2024|H5N1|Antarctica|2024-03-03|wild_avian|B3.2;2024-03-03;Antarctica;James Ross Island;;;-63.7989;-57.8105;precise (https://pubmed.ncbi.nlm.nih.gov/40633557/)
EPI_ISL_19410261|A/South_polar_skua/Antarctica/INACH-UC-UCHILE-SKU1/2024|H5N1|Antarctica|2024-03-03|wild_avian|B3.2;2024-03-03;Antarctica;James Ross Island;;;-63.7989;-57.8105;precise (https://pubmed.ncbi.nlm.nih.gov/40633557/)
EPI_ISL_19847535|A/Brown_skua/Fildes_Peninsula/B1/2024_H5N1_|H5N1|Antarctica-Fildes_Peninsula|2024-12-10|wild_avian|B3.2;2024-12-10;Antarctica;King_George_Island;Fildes_Peninsula;;;;
EPI_ISL_19847536|A/Brown_skua/Fildes_Peninsula/B2/2024_H5N1_|H5N1|Antarctica-Fildes_Peninsula|2024-12-25|wild_avian|B3.2;2024-12-25;Antarctica;King_George_Island;Fildes_Peninsula;;;;
EPI_ISL_19847538|A/Brown_skua/Fildes_Peninsula/B3/2024_H5N1_|H5N1|Antarctica-Fildes_Peninsula|2024-12-26|wild_avian|B3.2;2024-12-26;Antarctica;King_George_Island;Fildes_Peninsula;;;;
EPI_ISL_19847539|A/Brown_skua/Fildes_Peninsula/F4/2024_H5N1_|H5N1|Antarctica-Fildes_Peninsula|2024-12-26|wild_avian|B3.2;2024-12-26;Antarctica;King_George_Island;Fildes_Peninsula;;;;
EPI_ISL_20180699|A/antarctic_fur_seal/Antarctica/O2904-BR/2024|H5N1|Antarctica-King_George_Island|2024-12-09|other_mammal|B3.2;2024-12-09;Antarctica;King_George_Island;;;;;
EPI_ISL_20180700|A/antarctic_fur_seal/Antarctica/O2913-BR/2024|H5N1|Antarctica-King_George_Island|2024-12-12|other_mammal|B3.2;2024-12-12;Antarctica;King_George_Island;;;;;
EPI_ISL_20182795|A/antarctic_shag/Antarctica/O3348-OR/2025|H5N1|Antarctica-King_George_Island|2025-02-04|wild_avian|B3.2;2025-02-04;Antarctica;King_George_Island;;;;;
EPI_ISL_20180688|A/skua/Antarctica/O3575-OR/2025|H5N1|Antarctica-King_George_Island|2025-02-23|wild_avian|B3.2;2025-02-23;Antarctica;King_George_Island;;;;;
EPI_ISL_20180690|A/skua/Antarctica/O3577-CL/2025|H5N1|Antarctica-King_George_Island|2025-02-25|wild_avian|B3.2;2025-02-25;Antarctica;King_George_Island;;;;;
EPI_ISL_20180689|A/skua/Antarctica/O3577-OR/2025|H5N1|Antarctica-King_George_Island|2025-02-25|wild_avian|B3.2;2025-02-25;Antarctica;King_George_Island;;;;;
EPI_ISL_20180691|A/skua/Antarctica/O3588-CL/2025|H5N1|Antarctica-King_George_Island|2025-02-28|wild_avian|B3.2;2025-02-28;Antarctica;King_George_Island;;;;;
EPI_ISL_20180693|A/skua/Antarctica/O3589-CL/2025|H5N1|Antarctica-King_George_Island|2025-02-28|wild_avian|B3.2;2025-02-28;Antarctica;King_George_Island;;;;;
EPI_ISL_20180692|A/skua/Antarctica/O3589-OR/2025|H5N1|Antarctica-King_George_Island|2025-02-28|wild_avian|B3.2;2025-02-28;Antarctica;King_George_Island;;;;;
EPI_ISL_20180695|A/skua/Antarctica/O3592-CL/2025|H5N1|Antarctica-King_George_Island|2025-02-28|wild_avian|B3.2;2025-02-28;Antarctica;King_George_Island;;;;;
