# BEAST v10.5.0-beta5 Prerelease #fb0d1ded5
# Generated Sun Mar 01 14:04:39 CET 2026 [seed=1772370270668]
# -overwrite B36_RRW_pols.xml
state	joint	prior	likelihood	Current Tree	location.precision.col11	location.precision.col12	location.precision.col21	location.precision.col22	correlation	location.varCovar.location.precision.col11	location.varCovar.location.precision.col12	location.varCovar.location.precision.col21	location.varCovar.location.precision.col22	location.diffusionRate	location.traitLikelihood
0	-1067089.319421881	-1489.4699511862643	-1065599.8494706948	405.0	0.05	0.002	0.002	0.05	-0.04	20.03205128205128	-0.8012820512820512	-0.8012820512820512	20.03205128205128	3481.0907285010803	-1065599.8494706948
10000	-4536.313625171204	-1051.0880317652363	-3485.225593405967	522.0	5.887542539437899E-5	2.3689611491404715E-5	2.3689611491404715E-5	2.7996663256475655E-5	-0.5834958512870158	25753.109852531667	-21791.209956451854	-21791.209956451854	54157.35739312685	3761.9129238228047	-3485.225593405967
20000	-4315.862659286144	-954.9789587977715	-3360.8837004883726	436.0	5.825043872147559E-5	2.139638246674201E-5	2.139638246674201E-5	2.60175047619878E-5	-0.5496141822613334	24597.587287590075	-20228.664899997806	-20228.66489999781	55071.39382118217	3821.915563634637	-3360.8837004883726
30000	-4293.7659952221	-925.2745365723576	-3368.491458649743	360.0	5.336118677097557E-5	2.204896542846372E-5	2.204896542846372E-5	2.7468474815117354E-5	-0.5759147527058703	28040.68599550354	-22508.2797740557	-22508.2797740557	54472.78353324732	3697.0811755274676	-3368.491458649743
40000	-4430.220396986509	-968.5067663008169	-3461.7136306856914	731.0	4.756831408790939E-5	1.6424057372197166E-5	1.6424057372197166E-5	2.172643810014444E-5	-0.510889888710701	28447.41344741096	-21504.765226463176	-21504.765226463176	62283.35687689487	3693.711861166645	-3461.7136306856914
50000	-4256.138871219505	-959.7811881175194	-3296.3576831019855	161.0	5.908579357991818E-5	2.4790236359369957E-5	2.4790236359369957E-5	3.0711655955981635E-5	-0.5819524676458842	25591.62319065148	-20657.38130908629	-20657.381309086293	49235.42277841166	3603.1192856402836	-3296.3576831019855
60000	-4300.895476378884	-916.0535792893011	-3384.841897089583	201.0	4.348170287564009E-5	1.8431403795842937E-5	1.8431403795842937E-5	2.096975582663918E-5	-0.6103914687261678	36655.026408581114	-32217.999983842634	-32217.99998384263	76005.79522113141	3758.0668156036418	-3384.841897089583
70000	-4132.573208675542	-793.8423379746918	-3338.7308707008506	92.0	4.4489092572037154E-5	1.883388530258121E-5	1.883388530258121E-5	2.4952002719661513E-5	-0.5652758645304902	33032.52794434908	-24933.102546833114	-24933.102546833114	58896.562737489396	3848.135505357088	-3338.7308707008506
80000	-4147.068558143043	-840.1913547311896	-3306.877203411854	726.0	4.913226079333229E-5	1.9937906479013995E-5	1.9937906479013995E-5	2.67077051756118E-5	-0.5503993262882353	29198.64697203453	-21797.450915916594	-21797.450915916594	53714.668797244594	3653.7026575546643	-3306.877203411854
90000	-4301.804043430316	-913.9304476261689	-3387.8735958041466	309.0	5.2857499013484464E-5	1.801200946661559E-5	1.801200946661559E-5	2.2627628565111092E-5	-0.5208220238047935	25960.804550390956	-20665.278996296944	-20665.278996296944	60643.70364587589	3717.527429477972	-3387.8735958041466
