mean_branch_dispersal_velocity	weighted_branch_dispersal_velocity	branch_dispersal_velocity_variation_among_branches	original_diffusion_coefficient	weighted_diffusion_coefficient	diffusion_coefficient_variation_among_branches	isolation_by_distance_signal_rS	isolation_by_distance_signal_rP1	isolation_by_distance_signal_rP2
15318.465707081	3139.83345277	3.14396336714426	2182091.57488553	685393.355234221	9.28063136843111	0.122548322683838	0.122001641605501	0.0880738362755106
13673.2162169125	3764.30067583145	2.45367488399221	2021657.62680489	840522.211665921	7.35896297081297	0.0673142481001067	0.0935547985885909	0.0805030002820394
14434.3455875708	4108.264729549	2.6668255563352	3198348.79549027	940575.351686455	8.67242451568851	0.125620345638084	0.135358919504889	0.0993672239942682
12582.3275641671	3332.62967487112	2.56913865173296	1664889.74838406	760726.003432215	7.0707241407734	0.104639746064624	0.109501594564904	0.0780405281730121
26133.1948145319	3791.9837037835	4.97806278504443	4860804.69019653	732450.959962894	9.93859663281911	0.111655718257291	0.104289070051685	0.0669465690240724
15221.0220364589	3930.38460566993	3.5316673410007	3839730.43451518	863302.821788806	10.422731026048	0.0824169074942793	0.0921088807629532	0.0860821279262756
11442.995751133	3928.68102615643	2.14213865140339	1344219.19737979	868417.624744588	5.27243624330835	0.0971971048204466	0.116745706792544	0.0887767705318687
11275.0919916938	2978.62321290734	2.02673429047348	1103408.38476932	672053.744894949	6.62486584242374	0.0924354830759928	0.112786318770625	0.087935085452215
10223.950075476	3231.43403496959	2.29178653067893	1693577.32595799	672279.190161333	8.70348622963442	0.135314147057712	0.145290339817844	0.10984258643297
9846.29767466487	3298.06006238362	2.82302801331035	1429752.26613144	776209.872258444	8.41476115247277	0.128680155496206	0.14137380269773	0.100963318102149
20220.5088984651	3955.02932413333	2.95755073818881	2526742.15258231	815523.129701006	7.54954174802047	0.0666055295789629	0.0752051605079054	0.0542428602147902
12228.8043801335	3841.76640145596	2.97477117252683	1895103.36043274	815570.349841771	7.52432873655444	0.0739667339464733	0.0828679426719427	0.0658140570782575
11187.3090412308	2722.00345919011	2.7923405279272	1137375.60265552	580108.56580772	7.53633518842335	0.0448553841930903	0.0681755497674893	0.058070634438931
9692.41441204308	3064.74350202461	2.49156929211765	1086706.21520356	727266.828551326	6.23317769035668	0.0765356174340555	0.102982728572684	0.0772923020888749
10932.8083675854	3580.6686919302	2.00838971987973	1125622.07958833	644239.048654048	5.21912587344538	0.0848954461105313	0.097030979688164	0.0730925373974707
27990.3627125522	3294.24130332657	6.15879752099595	2724663.06582279	620655.827942244	6.12752911978683	0.0887883743597594	0.108417847728599	0.0860588030130861
23686.1172388684	2950.04662029196	4.45373370801193	5902487.83576423	577709.750684966	11.0319059245829	0.0817254560485399	0.0793586374090188	0.0574784121719034
13762.8459160209	3902.86028763808	3.04533725109238	1931774.08183624	1037629.37262276	7.1019166967757	0.0802759687817338	0.0912707389852683	0.073819854163016
208650.281872375	2739.88843479439	12.1128731843153	8680209.18817627	595266.176543673	10.4956893762107	0.0382950911915223	0.060565287020486	0.0524664044781407
12452.5959162654	3671.54752391799	2.45634137088005	1243366.10889878	877155.416978791	4.41934904528615	0.0755593219757095	0.0931017865882121	0.0705953425506083
14006.4927921224	3990.23161336375	2.09675383015832	1571065.87548113	1016226.8094823	3.97240109238071	0.0645864729821041	0.089372988673704	0.0591353004677682
10849.8935378452	3119.77177435667	3.09724915698433	2713106.24325165	682458.026819182	10.1295269578995	0.129365762755409	0.141408989842173	0.0985264835416622
14281.1699980201	3375.00679483369	2.85523228997144	3059312.61843029	663385.459981721	8.95895521223257	0.0395555568751331	0.0552402410651001	0.0519125156035476
9714.87436495475	2913.11396766808	2.19008103429471	1526660.4668065	655245.719268556	7.0195161376694	0.150766312696921	0.163771418581459	0.114072051970588
13692.2681339037	2727.28143476887	4.4997971960906	2024707.82012065	583236.177331587	9.56769058472969	0.0719351685945282	0.0966869542659029	0.0742097041646989
14398.8342292059	3163.79194929065	3.99946686597291	2126987.14136349	828996.433100801	9.04154416542398	0.0281987793367285	0.0541018713910507	0.0542503840632037
9302.82375817133	3185.30253671333	3.25963853252062	2396238.34116975	713305.794457604	9.94630160786246	0.00534008705826915	0.0459279748586846	0.0489313381266807
12605.691900656	2805.0596846995	2.67973009504517	1836313.55962427	576678.438070932	9.08205419305366	0.0563576608780385	0.0774389016722902	0.0650708015191788
14809.9831848631	3511.11116857397	3.01470204298107	3530304.09491674	890678.073086649	9.53035784233489	0.0983521651185425	0.112692626007256	0.0810863876912819
8948.23174841095	2873.37223512943	1.76130896904979	948694.834304606	567543.3513347	7.49800707052553	0.110617982785155	0.118850787472234	0.0837321332120567
