time	diffusion_coefficient	number_of_branches
2023.70104284218	114796.115503019	28.578
2023.71124187889	143438.661005171	40.048
2023.7214409156	157848.164057272	46.617
2023.7316399523	155373.519878513	52.5
2023.74183898901	159475.215706748	62.674
2023.75203802572	161491.780741265	71.827
2023.76223706243	147090.808189759	86.168
2023.77243609913	142480.779244147	100.076
2023.78263513584	128798.630499455	102.749
2023.79283417255	111330.646882918	116.165
2023.80303320925	116662.970710461	121.056
2023.81323224596	112768.873319795	109.943
2023.82343128267	107547.896703513	109.246
2023.83363031938	104399.152009564	101.654
2023.84382935608	78525.8651556194	84.206
2023.85402839279	112217.113581926	111.083
2023.8642274295	762406.798155828	145.379
2023.8744264662	719229.070980608	153.022
2023.88462550291	647885.924097737	172.694
2023.89482453962	644355.119065145	163.515
2023.90502357633	659197.846053745	155.52
2023.91522261303	81421.0914477478	134.136
2023.92542164974	66984.0498875792	120.158
2023.93562068645	62079.2159261591	105.719
2023.94581972315	63330.8112216048	83.083
2023.95601875986	59783.9955266089	72.333
2023.96621779657	62460.0914844867	62.186
2023.97641683328	54925.1059837235	52.695
2023.98661586998	50918.105299356	45.785
2023.99681490669	56370.6179922925	35.165
2024.0070139434	51118.8852487615	26.471
2024.0172129801	57605.8305616204	17.02
2024.02741201681	90313.894947667	22.599
2024.03761105352	90783.7428742851	21.752
2024.04781009023	91708.0759495099	20.233
2024.05800912693	83443.6368332053	21.414
2024.06820816364	57293.5506784825	15.974
2024.07840720035	72334.4563065778	15.888
2024.08860623705	82501.5213761022	17.389
2024.09880527376	87185.1832130514	23.693
2024.10900431047	84107.9306308865	31.757
2024.11920334717	82433.1325586204	43.887
2024.12940238388	84354.8796416928	48.754
2024.13960142059	72474.8131772159	51.884
2024.1498004573	63743.9448468279	52.081
2024.159999494	55716.317765805	50.917
2024.17019853071	55642.8996654986	38.83
2024.18039756742	46615.5039597337	37.483
2024.19059660412	36493.8976197358	33.317
2024.20079564083	21712.7418293444	27.95
2024.21099467754	10549.2448926876	6.876
2024.22119371425	12865.3892891096	2.313
2024.23139275095	10276.9793617585	2.127
2024.24159178766	7891.61786574197	2.572
2024.25179082437	52712.2843663935	3.675
2024.26198986107	174630.046393718	4.011
2024.27218889778	67462.9570416044	9.074
2024.28238793449	65840.2834690301	9.027
2024.2925869712	55010.8453590966	8.412
2024.3027860079	2331.75502584834	6.179
2024.31298504461	1593.44776716365	6.041
2024.32318408132	15253.5455012839	0.813
2024.33338311802	18726.224627464	0.591
2024.34358215473	25773.2267302969	0.408
2024.35378119144	18997.6174182564	0.294
2024.36398022815	17575.6740953026	0.341
2024.37417926485	24368.0794904317	0.42
2024.38437830156	26417.8991785332	0.501
2024.39457733827	27802.3927096701	0.854
2024.40477637497	35200.4547758821	1.097
2024.41497541168	42106.0648270611	1.426
2024.42517444839	50478.8327871099	1.792
2024.43537348509	59054.5611132175	2.184
2024.4455725218	66640.597139398	2.657
2024.45577155851	75026.1480813398	3.074
2024.46597059522	80825.2027630108	3.534
2024.47616963192	94210.0625039227	3.75
2024.48636866863	98085.9567299122	4.183
2024.49656770534	96612.337918782	4.453
2024.50676674204	97543.5611519625	4.503
2024.51696577875	84029.6202267515	4.254
2024.52716481546	50441.6617382832	6.181
2024.53736385217	39233.5746891783	7.779
2024.54756288887	36636.8895808972	9.48
2024.55776192558	40389.5781417152	10.459
2024.56796096229	54801.9787435944	7.694
2024.57815999899	61365.1121166353	5.555
2024.5883590357	39154.964616368	5.206
2024.59855807241	13018.9903941389	4.832
2024.60875710912	19038.2477148142	1.779
2024.61895614582	19711.8858478765	1.575
2024.62915518253	20703.0141370811	1.062
2024.63935421924	26334.1809298778	0.792
2024.64955325594	26207.9110141481	0.785
2024.65975229265	21828.0770176119	1.122
2024.66995132936	19364.5872130072	1.964
2024.68015036607	20905.8916405283	2.727
2024.69034940277	25590.3673785412	2.748
2024.70054843948	23378.5090836764	3.712
2024.71074747619	19629.6289016071	3.381
