time	diffusion_coefficient	number_of_branches
2023.77721820467	240611.687531961	6
2023.79292180088	378464.113102004	8
2023.80862539709	912465.024841176	11
2023.8243289933	1188316.08713122	12
2023.84003258951	472439.600510078	12
2023.85573618572	320160.754834922	26
2023.87143978192	298839.462989516	38
2023.88714337813	272422.347532272	42
2023.90284697434	289768.293281119	37
2023.91855057055	263339.321619682	32
2023.93425416676	274382.532245985	28.5
2023.94995776297	288460.052273678	20
2023.96566135917	243179.136584292	22
2023.98136495538	406075.20870233	19
2023.99706855159	283707.411979207	16
2024.0127721478	214304.237614063	15
2024.02847574401	2856309.45008122	14
2024.04417934022	12146053.6078165	15
2024.05988293642	13709928.2537759	13
2024.07558653263	5698010.92475383	13
2024.09129012884	243541.865375133	12
2024.10699372505	204140.060527076	28
2024.12269732126	351403.366377721	46
2024.13840091747	367041.721542947	55
2024.15410451367	293100.402836603	43
2024.16980810988	224149.904219103	22
2024.18551170609	179073.280924175	24
2024.2012153023	90558.1895605154	19
2024.21691889851	183496.482424594	6
2024.23262249471	199298.580512705	3
2024.24832609092	64129.165782396	6
2024.26402968713	50440.8896772684	4
2024.27973328334	68736.1234646503	8
2024.29543687955	57377.6388310144	8
2024.31114047576	14552.3818188909	7
2024.32684407196	8675.33839994619	1
2024.34254766817	38561.2023511966	0
2024.35825126438	34070.0125568595	0
2024.37395486059	22625.0584498549	0
2024.3896584568	19606.1752670615	0
2024.40536205301	17207.682379462	0
2024.42106564921	13447.1753727505	0
2024.43676924542	16932.8306001782	0
2024.45247284163	13699.7214605196	0
2024.46817643784	13024.0398376944	0
2024.48388003405	13509.8138409182	0
2024.49958363026	12875.3576342136	0
2024.51528722646	20187.8768563127	0
2024.53099082267	7852.6413446067	1
2024.54669441888	11839.6290227811	2
2024.56239801509	5037.08734860265	1
2024.5781016113	NA	0
2024.59380520751	NA	0
2024.60950880371	NA	0
2024.62521239992	NA	0
2024.64091599613	NA	0
2024.65661959234	NA	0
2024.67232318855	NA	0
2024.68802678476	NA	0
2024.70373038096	2404.29580438697	1
2024.71943397717	1258.13521457698	1
2024.73513757338	112.518436225518	1
2024.75084116959	1128.88077328647	1
2024.7665447658	622.670696354835	1
2024.78224836201	116.448024669027	1
2024.79795195821	NA	0
2024.81365555442	NA	0
2024.82935915063	NA	0
2024.84506274684	NA	0
2024.86076634305	NA	0
2024.87646993926	NA	0
2024.89217353546	NA	0
2024.90787713167	NA	0
2024.92358072788	NA	0
2024.93928432409	NA	0
2024.9549879203	NA	0
2024.9706915165	NA	0
2024.98639511271	NA	0
2025.00209870892	NA	0
2025.01780230513	NA	0
2025.03350590134	NA	0
2025.04920949755	NA	0
2025.06491309375	NA	0
2025.08061668996	NA	0
2025.09632028617	NA	0
2025.11202388238	NA	0
2025.12772747859	NA	0
2025.1434310748	NA	0
2025.159134671	NA	0
2025.17483826721	NA	0
2025.19054186342	NA	0
2025.20624545963	NA	0
2025.22194905584	NA	0
2025.23765265205	NA	0
2025.25335624825	NA	0
2025.26905984446	NA	0
2025.28476344067	NA	0
2025.30046703688	NA	0
2025.31617063309	NA	0
2025.3318742293	298.769321577941	1
