time	diffusion_coefficient	number_of_branches
2022.44619208708	26780.0344617587	0
2022.4752728302	2490.94428829363	0
2022.50435357332	73474.4578914772	0
2022.53343431644	33825.1819077981	0
2022.56251505955	46290.8152378172	0
2022.59159580267	52516.8587398342	0
2022.62067654579	56413.6265304574	0
2022.64975728891	80972.3615822072	0
2022.67883803203	86504.8968466668	0
2022.70791877515	99130.40387816	2
2022.73699951827	116642.755889044	2
2022.76608026139	149020.361828497	3
2022.7951610045	167774.568333476	3
2022.82424174762	151780.924993873	5
2022.85332249074	121442.651236244	0
2022.88240323386	376763.419387935	1
2022.91148397698	162051.42548937	0
2022.9405647201	134646.277684672	1
2022.96964546322	7714.07297177214	1
2022.99872620634	33718.4504641363	0
2023.02780694946	49447.8230547166	0
2023.05688769257	37923.1499644901	0
2023.08596843569	41598.9985697569	0
2023.11504917881	48482.5226504716	0
2023.14412992193	57896.7917347565	0
2023.17321066505	5448.72266790295	1
2023.20229140817	1114.75889587796	1
2023.23137215129	117769.125279374	0
2023.26045289441	120728.590337744	0
2023.28953363752	14640.7803817801	1
2023.31861438064	160554.500744111	0
2023.34769512376	178310.158834504	4
2023.37677586688	303768.361945	12
2023.40585661	299329.604515685	10
2023.43493735312	276246.163923796	11
2023.46401809624	316056.711622335	10
2023.49309883936	445887.601313572	11
2023.52217958248	744471.981349565	53
2023.55126032559	884113.703730872	325
2023.58034106871	679309.719228662	211
2023.60942181183	547341.592734372	231
2023.63850255495	470735.217699389	266
2023.66758329807	392802.441367867	189.5
2023.69666404119	282084.043360611	84
2023.72574478431	240034.218055583	50
2023.75482552743	276879.402533286	69
2023.78390627054	248698.133894718	69
2023.81298701366	263863.903935522	97
2023.84206775678	140331.450777784	119
2023.8711484999	170972.27162373	136
2023.90022924302	134057.298299324	97
2023.92930998614	130749.554843379	90
2023.95839072926	144673.076301865	46
2023.98747147238	235597.26238332	28
2024.01655221549	161087.423327976	23
2024.04563295861	9791014.94596329	18
2024.07471370173	4549837.02115782	18
2024.10379444485	154667.337729835	33
2024.13287518797	330008.309191982	64
2024.16195593109	239317.464410992	37
2024.19103667421	137345.546055491	27
2024.22011741733	165016.014928806	7
2024.24919816045	48058.4108058645	7
2024.27827890356	69662.7516857402	8
2024.30735964668	26683.041066271	7
2024.3364403898	41789.0400118779	0
2024.36552113292	9799.42917009919	1
2024.39460187604	530.964837393689	2.5
2024.42368261916	14084.4846813756	0
2024.45276336228	13707.4499245163	0
2024.4818441054	13238.7752054265	0
2024.51092484851	17819.1360986247	0
2024.54000559163	15743.2324487527	2
2024.56908633475	2461.34891571633	1
2024.59816707787	NA	0
2024.62724782099	NA	0
2024.65632856411	NA	0
2024.68540930723	NA	0
2024.71449005035	9581.5434291281	2
2024.74357079346	4148.08380213716	1
2024.77265153658	425.813722593785	1
2024.8017322797	NA	0
2024.83081302282	NA	0
2024.85989376594	NA	0
2024.88897450906	NA	0
2024.91805525218	NA	0
2024.9471359953	NA	0
2024.97621673842	NA	0
2025.00529748153	NA	0
2025.03437822465	NA	0
2025.06345896777	NA	0
2025.09253971089	NA	0
2025.12162045401	NA	0
2025.15070119713	NA	0
2025.17978194025	NA	0
2025.20886268337	NA	0
2025.23794342648	NA	0
2025.2670241696	NA	0
2025.29610491272	NA	0
2025.32518565584	368.440409185336	1
