time	diffusion_coefficient	number_of_branches
2022.4383402252	20821.4767263634	0
2022.45171724455	30977.7678575118	0
2022.4650942639	NA	0
2022.47847128325	10722.9449888966	0
2022.4918483026	37156.1335454372	0
2022.50522532196	58418.5584508921	0
2022.51860234131	45107.7377198271	0
2022.53197936066	42250.5559829226	0
2022.54535638001	40498.8923990235	0
2022.55873339936	46375.2390507396	0
2022.57211041871	70367.735181047	0
2022.58548743807	46097.5489521568	0
2022.59886445742	45915.9704637343	0
2022.61224147677	50581.5648926266	0
2022.62561849612	63984.0281778246	0
2022.63899551547	72937.2498559165	0
2022.65237253482	73846.2239083482	0
2022.66574955418	86569.9942488443	0
2022.67912657353	88652.6495349052	0
2022.69250359288	90085.9937599417	0
2022.70588061223	94528.6697114729	2
2022.71925763158	112659.485090202	2
2022.73263465094	119294.607900264	2
2022.74601167029	129512.540171051	2
2022.75938868964	136957.479239382	3
2022.77276570899	148775.048731358	3
2022.78614272834	166173.505825419	3
2022.79951974769	161569.664484185	3
2022.81289676705	171065.325226917	5
2022.8262737864	154247.929662981	5
2022.83965080575	151547.405190843	3
2022.8530278251	122105.089718229	0
2022.86640484445	109304.262746655	0
2022.87978186381	399986.883435439	1
2022.89315888316	242135.83876886	1
2022.90653590251	64197.4629501495	1
2022.91991292186	24229.6860557564	0
2022.93328994121	178037.293609698	1
2022.94666696056	73639.9728392046	2
2022.96004397992	21951.1877257025	2
2022.97342099927	5770.32839316436	1
2022.98679801862	36701.1787563178	0
2023.00017503797	27607.2970000331	0
2023.01355205732	37427.1087288663	0
2023.02692907668	51954.7313467768	0
2023.04030609603	42615.8763180153	0
2023.05368311538	35863.3806003463	0
2023.06706013473	40720.5205928001	0
2023.08043715408	44775.662942328	0
2023.09381417343	51125.1515334294	0
2023.10719119279	51400.9487972871	0
2023.12056821214	49099.9992355089	0
2023.13394523149	57909.4374809479	0
2023.14732225084	58715.1476869553	0
2023.16069927019	5999.93755782211	1
2023.17407628954	5501.32335710644	2
2023.1874533089	3507.92150871399	2
2023.20083032825	1265.34321393222	1
2023.2142073476	68.1847552986099	1
2023.22758436695	121779.086390933	0
2023.2409613863	139359.058806446	0
2023.25433840566	118641.1504015	0
2023.26771542501	160132.21675925	0
2023.28109244436	17642.0597236236	1
2023.29446946371	13487.7655311961	1
2023.30784648306	8229.5203615999	1
2023.32122350241	169434.775840431	0
2023.33460052177	173637.098524188	3
2023.34797754112	180373.428042118	4
2023.36135456047	262442.090691903	7
2023.37473157982	320900.588371176	10
2023.38810859917	392117.100213303	9
2023.40148561853	367702.325642662	9
2023.41486263788	322472.423093735	8
2023.42823965723	321605.510806386	9
2023.44161667658	321585.892587246	9
2023.45499369593	344384.46179315	9
2023.46837071528	390646.937799769	9
2023.48174773464	435071.475888042	10
2023.49512475399	494049.027333949	10
2023.50850177334	591700.404281705	22
2023.52187879269	801953.521580675	48
2023.53525581204	1039706.86134749	141
2023.5486328314	1102257.71459352	249
2023.56200985075	1157993.32623308	255
2023.5753868701	1066142.70042151	229
2023.58876388945	872302.808419299	129
2023.6021409088	819201.93729361	138
2023.61551792815	810933.976124541	153
2023.62889494751	807066.704425948	156
2023.64227196686	793766.797797817	140
2023.65564898621	755453.6867672	115
2023.66902600556	735309.186596967	81
2023.68240302491	604169.005217715	61
2023.69578004427	407290.295995974	37
2023.70915706362	385448.313379602	20
2023.72253408297	310243.205136557	24
2023.73591110232	262382.976653224	44
2023.74928812167	293899.960110741	51
2023.76266514102	224120.927538833	43
