# BEAST v10.5.0-beta5 Prerelease #fb0d1ded5
# Generated Sun Mar 01 14:15:55 CET 2026 [seed=1772370950270]
# -overwrite C21_RRW_pols.xml
state	joint	prior	likelihood	Current Tree	location.precision.col11	location.precision.col12	location.precision.col21	location.precision.col22	correlation	location.varCovar.location.precision.col11	location.varCovar.location.precision.col12	location.varCovar.location.precision.col21	location.varCovar.location.precision.col22	location.diffusionRate	location.traitLikelihood
0	-36505.91418271004	-464.99633022029917	-36040.91785248974	410.0	0.05	0.002	0.002	0.05	-0.04	20.03205128205128	-0.8012820512820512	-0.8012820512820512	20.03205128205128	3039.1919432134073	-36040.91785248974
10000	-1094.9782790502518	-341.2318825570218	-753.74639649323	267.0	4.392975553404023E-4	-2.650742470101869E-4	-2.650742470101869E-4	8.462715464919315E-4	0.43474367631675365	2806.864609108448	879.1829594214747	879.1829594214747	1457.0367703655168	2971.270626739787	-753.74639649323
20000	-970.7682396772803	-218.9919492207007	-751.7762904565797	535.0	5.917214231808811E-4	-1.9619115940433258E-4	-1.9619115940433258E-4	4.913727170618477E-4	0.3638440419170076	1947.8450097649422	777.7191478818457	777.719147881846	2345.636176558042	2948.1240131974982	-751.7762904565797
30000	-997.0169118312236	-248.49717371278302	-748.5197381184406	416.0	6.374757549753122E-4	-2.6269030480712815E-4	-2.6269030480712815E-4	6.9675050805455E-4	0.3941609186259652	1857.2319164472951	700.2173842561014	700.2173842561014	1699.2313667732442	2966.3087312884786	-748.5197381184406
40000	-954.2376525220878	-213.94765323733122	-740.2899992847566	948.0	3.5724314022714124E-4	-1.6060368019398414E-4	-1.6060368019398414E-4	5.772374930929781E-4	0.35366841634349466	3199.399163823005	890.1626908645112	890.1626908645113	1980.0574595387868	3042.8833756706726	-740.2899992847566
50000	-986.8214573342977	-232.47575159575618	-754.3457057385416	697.0	4.5927913106517476E-4	-1.940837774935406E-4	-1.940837774935406E-4	6.887815344129344E-4	0.3450723269592395	2471.6348420287186	696.4533785512238	696.4533785512238	1648.0846913599303	3177.9753467898395	-754.3457057385416
60000	-961.1934755810737	-224.84138094047245	-736.3520946406013	429.0	4.4487737273961694E-4	-1.5035151773295355E-4	-1.5035151773295355E-4	6.092367811048556E-4	0.28879827867600777	2452.3470825873733	605.2065753586421	605.2065753586422	1790.7548608089774	2957.1685352425193	-736.3520946406013
70000	-1002.1208310730894	-218.50624620921593	-783.6145848638736	561.0	4.283054220974074E-4	-2.713988236459204E-4	-2.713988236459204E-4	5.38849024957748E-4	0.5649338841775988	3429.2186189564386	1727.173765012272	1727.1737650122716	2725.7225308547104	3294.485417389916	-783.6145848638736
80000	-976.3339526896327	-221.16088417674706	-755.1730685128856	438.0	3.577274701328708E-4	-1.5584805091053633E-4	-1.5584805091053633E-4	4.290443079785026E-4	0.3978085904915386	3320.973787959899	1206.325972292036	1206.325972292036	2768.9530648755203	3122.0977708918945	-755.1730685128856
90000	-978.7902679958067	-231.91515059595386	-746.8751173998529	465.0	5.446465724569594E-4	-1.604622984221376E-4	-1.604622984221376E-4	3.390297587220306E-4	0.37341925735869436	2133.560927652479	1009.8113261953549	1009.8113261953549	3427.5358327077233	3064.8531306303616	-746.8751173998529
100000	-1005.9801391241622	-276.2989429863304	-729.6811961378318	470.0	5.022386717823865E-4	-9.055380547933732E-5	-9.055380547933732E-5	5.25940478444804E-4	0.17619084263224372	2054.8751545374603	353.79814380998755	353.79814380998755	1962.2710374855276	3011.327246027504	-729.6811961378318
110000	-924.0983084011941	-225.32049524324188	-698.7778131579522	880.0	4.6163574810536965E-4	-1.798008467558979E-4	-1.798008467558979E-4	6.608623289664742E-4	0.3255266270266888	2422.9659014060903	659.216453470422	659.2164534704222	1692.5275167048374	2896.3823597167825	-698.7778131579522
120000	-960.0753058293437	-227.06460834341814	-733.0106974859256	396.0	4.892411827152645E-4	-1.3531781341130945E-4	-1.3531781341130945E-4	5.104704844174794E-4	0.2707747413810626	2205.701382941062	584.6972494765962	584.6972494765963	2113.971299512472	2657.454228977819	-733.0106974859256
130000	-987.5993354388615	-267.18727068165236	-720.4120647572092	540.0	4.6327905035185846E-4	-1.14690961001693E-4	-1.14690961001693E-4	6.930864639234873E-4	0.2024016983470455	2250.730710333982	372.4477126027447	372.4477126027447	1504.4535427493229	2736.1832435989436	-720.4120647572092
140000	-1041.0613012854888	-251.4593616193745	-789.6019396661142	371.0	3.300193480892867E-4	-1.1307475262311858E-4	-1.1307475262311858E-4	4.5562633872774913E-4	0.29160269566108205	3311.728726960306	821.8859945664186	821.8859945664187	2398.7519215237157	3081.9717624131968	-789.6019396661142
150000	-923.0769250674088	-190.74640182632356	-732.3305232410852	535.0	4.936827327022076E-4	-1.492560743692508E-4	-1.492560743692508E-4	4.2218547013848744E-4	0.3269312273759567	2268.00603694772	801.8127142308753	801.8127142308751	2652.0936822818007	2956.217108917234	-732.3305232410852
160000	-1034.7998302993526	-273.4157679574513	-761.3840623419013	319.0	4.948289930298765E-4	-2.045888135602604E-4	-2.045888135602604E-4	5.900341938523848E-4	0.3786306129293863	2359.1040222964148	817.9971568014081	817.9971568014081	1978.449859293605	3078.1930447298287	-761.3840623419013
170000	-1018.0804633587105	-246.68751284718164	-771.3929505115289	165.0	5.768082609098364E-4	-2.4404496053277898E-4	-2.4404496053277898E-4	4.3294689510036316E-4	0.4883562986731173	2276.6380320473727	1283.3029754137128	1283.3029754137126	3033.128632743799	2765.822981657558	-771.3929505115289
180000	-958.7304331436444	-238.28719894959914	-720.4432341940452	470.0	5.838076185087716E-4	-2.7482573632261825E-4	-2.7482573632261825E-4	5.823119569622301E-4	0.4713512544605926	2202.148855730075	1039.3177978436804	1039.3177978436804	2207.8050496719925	2751.422347730511	-720.4432341940452
190000	-1000.1731198555715	-242.7999360226307	-757.3731838329408	786.0	4.552214719857075E-4	-2.914554690002821E-4	-2.914554690002821E-4	6.81790733173911E-4	0.5231609173362073	3024.542070260007	1292.9470652893972	1292.9470652893972	2019.4414888816868	2961.6838453257265	-757.3731838329408
200000	-977.2057687088432	-256.1648410552984	-721.0409276535448	821.0	5.734055959743665E-4	-2.270476715343577E-4	-2.270476715343577E-4	5.519641862713727E-4	0.4035809320604334	2083.286951509927	856.9495326743655	856.9495326743655	2164.213595243772	2825.405293035226	-721.0409276535448
210000	-913.8196484159134	-214.52393644613437	-699.2957119697791	353.0	4.407464620535981E-4	-2.823937476469826E-4	-2.823937476469826E-4	8.213318868106048E-4	0.46935485828795626	2909.9148409151408	1000.499031458022	1000.499031458022	1561.5303528406096	2735.4425404718345	-699.2957119697791
220000	-977.2634331972615	-205.8636247147419	-771.3998084825196	68.0	3.4934045772646086E-4	-1.8969790014773427E-4	-1.8969790014773427E-4	4.333965605141791E-4	0.4875232711015542	3755.028150516738	1643.5777762139187	1643.5777762139187	3026.750492253495	3144.189946653226	-771.3998084825196
230000	-927.7016513799783	-213.32496421566628	-714.376687164312	184.0	4.361579725682065E-4	-2.534547041588207E-4	-2.534547041588207E-4	7.956788844569185E-4	0.4302387588282475	2813.550658800298	896.2254293687938	896.2254293687938	1542.2711033708765	3145.7588507879136	-714.376687164312
240000	-978.5733870953595	-220.2805414600727	-758.2928456352868	626.0	3.89815383533005E-4	-2.0001386205655212E-4	-2.0001386205655212E-4	5.939956549248586E-4	0.4156607095646537	3101.107050805705	1044.22379648706	1044.2237964870599	2035.1314430736948	2940.678410653056	-758.2928456352868
250000	-1005.6023216679685	-241.99503048427374	-763.6072911836948	476.0	3.848681651016873E-4	-2.441522679109023E-4	-2.441522679109023E-4	6.03644878450625E-4	0.5065403055181477	3495.06751896463	1413.626938154736	1413.6269381547363	2228.3635146263387	2952.8817697619293	-763.6072911836948
260000	-1037.3302650150938	-300.7311995331241	-736.5990654819698	73.0	4.213514409857469E-4	-2.0081594768779631E-4	-2.0081594768779631E-4	7.595607616404E-4	0.3549724897586431	2715.481204855486	717.9306240145423	717.9306240145423	1506.3599601492558	3076.288784832411	-736.5990654819698
270000	-1003.9495822946101	-237.30730718398928	-766.6422751106209	454.0	5.257801462813971E-4	-2.420249475378618E-4	-2.420249475378618E-4	4.8569263102787104E-4	0.47893578308345947	2468.057368270044	1229.854885407379	1229.8548854073788	2671.7629241639434	3315.983797114146	-766.6422751106209
280000	-1027.765907234881	-271.3007229707468	-756.4651842641342	542.0	4.0594626124836655E-4	-1.9718562458151357E-4	-1.9718562458151357E-4	7.572302059148269E-4	0.3556534391150258	2820.0918863208635	734.3626490832117	734.3626490832119	1511.833189810148	3161.6658953308543	-756.4651842641342
290000	-1012.6571023213293	-254.57880457227603	-758.0782977490533	708.0	5.549885812055715E-4	-3.2623491803994344E-4	-3.2623491803994344E-4	6.785052151784169E-4	0.5316328693794353	2511.7410600670228	1207.680678847922	1207.6806788479219	2054.4979995707445	3126.2796194706143	-758.0782977490533
300000	-1055.9864181618193	-281.37017927879907	-774.6162388830202	877.0	5.547228580375597E-4	-2.524487808498404E-4	-2.524487808498404E-4	5.04687315799742E-4	0.47711607805116596	2334.0170527508294	1167.4946863207567	1167.4946863207567	2565.4153961818347	3124.7392952794394	-774.6162388830202
