time	diffusion_coefficient	number_of_branches
2023.87825441656	75301.4566825219	10.684
2023.88340472777	88237.3688682567	13.886
2023.88855503899	99630.5013436096	17.416
2023.8937053502	110739.186849598	21.14
2023.89885566142	120350.542165998	22.752
2023.90400597264	125635.124070899	23.501
2023.90915628385	126614.841933498	24.198
2023.91430659507	130756.9298511	24.662
2023.91945690628	134554.182291095	24.517
2023.9246072175	128965.031053628	24.923
2023.92975752871	125554.312343039	24.135
2023.93490783993	120447.116267191	23.106
2023.94005815114	116506.610151065	22.285
2023.94520846236	115953.100088533	22.327
2023.95035877358	125576.374692948	22.466
2023.95550908479	146934.0694734	22.451
2023.96065939601	138301.721894062	21.489
2023.96580970722	136451.284782149	19.977
2023.97096001844	145225.811977897	17.536
2023.97611032965	142822.792065267	16.266
2023.98126064087	126631.527097383	15.865
2023.98641095209	109257.178389556	15.952
2023.9915612633	109047.49893344	13.358
2023.99671157452	106756.363284779	12.097
2024.00186188573	103122.316702139	18.013
2024.00701219695	130444.200048627	27.467
2024.01216250816	246807.749425332	37.784
2024.01731281938	326455.696155067	45.059
2024.02246313059	395822.158885026	48.072
2024.02761344181	390143.914827707	49.517
2024.03276375303	377925.649647075	51.264
2024.03791406424	367863.762802661	53.176
2024.04306437546	381272.809010443	50.475
2024.04821468667	427696.999925781	42.24
2024.05336499789	378070.263216101	34.897
2024.0585153091	322188.871077538	26.876
2024.06366562032	135080.713854334	23.77
2024.06881593153	101124.690285533	24.324
2024.07396624275	89451.7058963653	25.411
2024.07911655397	87048.3123166933	33.323
2024.08426686518	80552.9469562548	36.454
2024.0894171764	67478.0526461843	42.512
2024.09456748761	59863.3288783978	48.409
2024.09971779883	54713.1314587391	51.855
2024.10486811004	60405.5270484654	58.739
2024.11001842126	64385.92128378	66.452
2024.11516873248	67709.9920764848	76.919
2024.12031904369	76980.5996162135	80.709
2024.12546935491	87153.3054553386	84.563
2024.13061966612	88064.4066057226	81.613
2024.13576997734	87907.9076099135	79.762
2024.14092028855	85247.2334257355	78.347
2024.14607059977	80917.1031961338	72.28
2024.15122091098	76052.872322771	65.728
2024.1563712222	71428.4674789972	55.942
2024.16152153342	63281.3912606669	47.695
2024.16667184463	35641.8278329342	33.452
2024.17182215585	30058.8670295053	33.674
2024.17697246706	28623.0906868396	27.92
2024.18212277828	21526.237382677	26.987
2024.18727308949	19033.9066785832	25.492
2024.19242340071	18797.8341236624	24.661
2024.19757371192	15902.4161608841	23.602
2024.20272402314	18048.056967289	16.387
2024.20787433436	17950.1065177373	15.155
2024.21302464557	25967.3169127108	15.877
2024.21817495679	68794.0651824608	16.837
2024.223325268	75189.9207325715	15.327
2024.22847557922	68372.1910248992	16.987
2024.23362589043	78261.4928021515	16.936
2024.23877620165	140924.161319149	17.095
2024.24392651287	150533.839116584	15.961
2024.24907682408	150147.30195131	15.426
2024.2542271353	170994.045193396	12.392
2024.25937744651	123013.248637619	11.238
2024.26452775773	119184.497720817	11.765
2024.26967806894	128531.455828722	10.578
2024.27482838016	118751.644233221	10.332
2024.27997869137	76540.4685189846	10.318
2024.28512900259	34165.4346110336	8.675
2024.29027931381	31180.7645344199	8.817
2024.29542962502	25967.6578099448	8.747
2024.30057993624	32207.760607001	5.629
2024.30573024745	28599.812093262	5.527
2024.31088055867	20797.2324634821	6.353
2024.31603086988	16791.6766125169	6.033
2024.3211811811	14530.7108654142	4.567
2024.32633149231	10646.8050268364	3.157
2024.33148180353	2028.14997152391	2.051
2024.33663211475	1294.20408110254	2.046
2024.34178242596	560.081352287601	2.046
2024.34693273718	150.920260296584	1
2024.35208304839	NA	0
2024.35723335961	NA	0
2024.36238367082	NA	0
2024.36753398204	NA	0
2024.37268429326	4056.2846301993	1
2024.37783460447	3519.06411897145	1
2024.38298491569	2981.72422887237	1
2024.3881352269	2444.26552117588	1
